# Wordlist

# DATA
ID	DOCULECT	LANGUAGE_CORE	SUBGROUP	CONCEPT	COGID	TOKENS	FORM	ALIGNMENT	STRUCTURE
1390	Cashibo		Pano	demon	671	ɲ o ʃ i ∼	ɲõ'šĩ	ɲ o ʃ i ∼ -	C V C V C
9745	Chacobo		Pano	demon	671	j o ʃ i n i	yoshini	j o ʃ i n i	C V C V C V
6141	Kakataibo		Pano	demon	671	ɲ ɯ ʃ i n	ñushin	ɲ ɯ ʃ i n -	C V C V C
#
3427	Amahuaca		Pano	dew	2574	n i β i i	nívii	n i β i i -	C V C V V
3742	Capanahua		Pano	dew	2574	n i β i	nibí	n i β i - -	C V C V
970	Cashibo		Pano	dew	2574	n i β i	ni'βi	n i β i - -	C V C V
9588	Chacobo		Pano	dew	2574	n i β i tʃ i	nibichi	n i β i tʃ i	C V C V C V
6613	Isconahua		Pano	dew	2574	n i β i	nibí	n i β i - -	C V C V
6142	Kakataibo		Pano	dew	2574	n i β i	nibí	n i β i - -	C V C V
5105	Matses		Pano	dew	2574	n i b e d	nibed	n i b e d -	C V C V C
1882	ShipiboConibo		Pano	dew	2574	n i β i	niβi	n i β i - -	C V C V
2462	Yaminahua		Pano	dew	2574	n i β i	niβi	n i β i - -	C V C V
#
7890	Araona		Tacana	die	4769	m a n o	mano	m a n o - - -	C V C V
#
6143	Kakataibo		Pano	dig	2604	n a ɨ t i	naëti	n a ɨ t i	C V V C V
3276	Amahuaca		Pano	dig	5835	p o k i n	póquinquín	p o k i n	C V C V C
3822	Capanahua		Pano	dig	5835	p o k i n	poquinquin	p o k i n	C V C V C
5583	Sharanahua		Pano	dig	5835	p u k i	poqui	p u k i -	C V C V
#
1800	Catuquina		Pano	dirty	3518	tʃ o ʂ tʃ a	ṣ̌ošṣ̌a-	tʃ o ʂ tʃ a	C V C C V
5585	Sharanahua		Pano	dirty	3518	tʃ u ʃ t a	choshta	tʃ u ʃ t a	C V C C V
2367	ShipiboConibo		Pano	dirty	3518	o ʃ t a	ošta	o ʃ t a -	V C C V
2894	Yaminahua		Pano	dirty	3518	tʃ o ʃ t a	čošta	tʃ o ʃ t a	C V C C V
7983	Cavinena		Tacana	dirty	3258	a s i k a	asika	a s i k a	V C V C V
4279	Moseten		Mosetén	dirty	3258	a ʔ tʃ i	aʔ'tči	a ʔ tʃ i -	V C C V
#
1024	Cashibo		Pano	dog	2684	k a m o ∼	ka'mõ	k a m o ∼	C V C V C
1465	Catuquina		Pano	dog	2684	k a m a ∼	kamã	k a m a ∼	C V C V C
5588	Sharanahua		Pano	dog	2684	k a m a n	caman	k a m a n	C V C V C
#
10096	Araona		Tacana	door	2709	ts e kʷ e t o m o i	tsecue tomoi	ts e kʷ e t o m o i	C V C V C V C V V
265	EseEjja		Tacana	door	2709	s e kʷ e	e-sekʷe	s e kʷ e - - - - -	C V C V
#
4287	Moseten		Mosetén	dream (something)	889	t a m i ɲ i	tami'ñi	t a m i ɲ i -	C V C V C V
9226	Tsimane		Mosetén	dream (something)	889	t a m i n j i	taminyi	t a m i n j i	C V C V C C V
3418	Amahuaca		Pano	dream (something)	2742	n a m a	námaahí	n a m a - -	C V C V
3726	Capanahua		Pano	dream (something)	2742	n a m a	namaquin	n a m a - -	C V C V
1106	Cashibo		Pano	dream (something)	2742	n a m a t i	na'ma-ti	n a m a t i	C V C V C V
1548	Catuquina		Pano	dream (something)	2742	n a m a	nama-	n a m a - -	C V C V
9579	Chacobo		Pano	dream (something)	2742	n a m a	namahaina	n a m a - -	C V C V
6618	Isconahua		Pano	dream (something)	2742	n a m a	nama	n a m a - -	C V C V
6147	Kakataibo		Pano	dream (something)	2742	n a m a t i	namáti	n a m a t i	C V C V C V
5932	Sharanahua		Pano	dream (something)	2742	n a m a i	namai	n a m a i -	C V C V V
2051	ShipiboConibo		Pano	dream (something)	2742	n a m a t i	nama-ti	n a m a t i	C V C V C V
2610	Yaminahua		Pano	dream (something)	2742	n a m a k i	nama-kĩ	n a m a k i	C V C V C V
5112	Matses		Pano	dream (something)	6001	i s	is	i s - - -	V C
#
9948	Araona		Tacana	drink	1260	i ɽ i	izi	i ɽ i - -	V C V
8081	Cavinena		Tacana	drink	1260	i h i	iji	i h i - -	V C V
229	EseEjja		Tacana	drink	1260	i ʃ i k a	iši-ka-	i ʃ i k a	V C V C V
724	HuarayoEseEjja		Tacana	drink	1260	i ʃ i	iši-kwe	i ʃ i - -	V C V
1138	Cashibo		Pano	drink	2768	ʃ ɨ a	šɨa-	ʃ ɨ a - -	C V V
6148	Kakataibo		Pano	drink	2768	ʂ ɨ a	xëa	ʂ ɨ a - -	C V V
2088	ShipiboConibo		Pano	drink	2768	ʂ ɨ a t i	ṣ̌ɨa-ti	ʂ ɨ a t i	C V V C V
2642	Yaminahua		Pano	drink	2772	a j a k i	aya-kĩ	a j a k i -	V C V C V
#
7715	Isconahua		Pano	drunk	2833	p a ɨ n m i s	paenmis	p a ɨ n m i s	C V V C C V C
5594	Sharanahua		Pano	drunk	2833	p a ɨ a n	pauan	p a ɨ a n - -	C V V V C
2634	Yaminahua		Pano	drunk	2833	p a ɨ a	pãɨa	p a ɨ a - - -	C V V V
9617	Chacobo		Pano	drunk	1314	p a ʔ ɨ	pahë	p a ʔ ɨ	C V C V
#
9979	Araona		Tacana	duck	2888	h o h e	joje	h o h e	C V C V
8147	Cavinena		Tacana	duck	2888	h u h e	juje	h u h e	C V C V
86	EseEjja		Tacana	duck	2888	x o x i	xoxi	x o x i	C V C V
8701	Tacana		Tacana	duck	2888	s u s e	suse	s u s e	C V C V
3244	Amahuaca		Pano	duck	2886	n o n o n	nónon	n o n o n -	C V C V C
3779	Capanahua		Pano	duck	2886	n o n o n	nonon	n o n o n -	C V C V C
1014	Cashibo		Pano	duck	2886	n o n o ∼	no'nõ	n o n o ∼ -	C V C V C
1457	Catuquina		Pano	duck	2886	n o n o ∼	nonõ	n o n o ∼ -	C V C V C
9604	Chacobo		Pano	duck	2886	n o n o m a	nonoma	n o n o m a	C V C V C V
620	HuarayoEseEjja		Tacana	duck	2886	n o n o	nono	n o n o - -	C V C V
6622	Isconahua		Pano	duck	2886	n o n o n	nonon	n o n o n -	C V C V C
6151	Kakataibo		Pano	duck	2886	n ɯ n ɯ n	nunun	n ɯ n ɯ n -	C V C V C
5596	Sharanahua		Pano	duck	2886	n u n u n	nonon	n u n u n -	C V C V C
1934	ShipiboConibo		Pano	duck	2886	n o n o ∼	nonõ	n o n o ∼ -	C V C V C
2510	Yaminahua		Pano	duck	2886	n o n o ∼	nõnõ	n o n o ∼ -	C V C V C
3778	Capanahua		Pano	duck	2889	p a t o	pato	p a t o	C V C V
5115	Matses		Pano	duck	2889	p a t u	patu	p a t u	C V C V
4296	Moseten		Mosetén	duck	2889	p a t o	pa'to	p a t o	C V C V
#
2961	Amahuaca		Pano	dust	2910	p o t o	póto	p o t o - - -	C V C V
3823	Capanahua		Pano	dust	2910	p o t o	poto	p o t o - - -	C V C V
7425	Chipaya		Uru-Chipaya	dust	2910	pʰ o t a	phota	pʰ o t a - - -	C V C V
6623	Isconahua		Pano	dust	2910	p o t o	poto	p o t o - - -	C V C V
6152	Kakataibo		Pano	dust	2910	p ɯ t ɯ	putu	p ɯ t ɯ - - -	C V C V
5116	Matses		Pano	dust	2910	p u t u	putu	p u t u - - -	C V C V
4298	Moseten		Mosetén	dust	2910	p ɨ d ai	pœ'dai	p ɨ d ai - - -	C V C V
1854	ShipiboConibo		Pano	dust	2910	p o t o	poto	p o t o - - -	C V C V
9161	Tsimane		Mosetén	dust	2910	pʰ ɨ d ɨ h k i	p̂udujqui	pʰ ɨ d ɨ h k i	C V C V C C V
2443	Yaminahua		Pano	dust	2076	m a p o	mapo	m a p o - -	C V C V
#
1067	Cashibo		Pano	ear	4862	p a β i	pa'βi	p a β i - -	C V C V
5599	Sharanahua		Pano	ear	4862	p a β i k i	pafiqui	p a β i k i	C V C V C V
1503	Catuquina		Pano	ear	2946	p a tʃ o	pãṣ̌o	p a tʃ o	C V C V
5598	Sharanahua		Pano	ear	2946	p a tʃ u	pacho	p a tʃ u	C V C V
2562	Yaminahua		Pano	ear	2946	p a tʃ o	pačo	p a tʃ o	C V C V
#
556	HuarayoEseEjja		Tacana	earth (soil)	2911	m e ʃ i	meši	m e ʃ i - -	C V C V
7763	Tacana		Tacana	earth (soil)	2911	m e ɽ i	med’i	m e ɽ i - -	C V C V
5118	Matses		Pano	earth (soil)	4170	n i d a i d	nidaid	n i d a i d	C V C V V C
3446	Amahuaca		Pano	earth (soil)	2787	m a i	maí	m a i - -	C V V
3673	Capanahua		Pano	earth (soil)	2787	m a i	mai	m a i - -	C V V
1391	Catuquina		Pano	earth (soil)	2787	m a i	mai	m a i - -	C V V
9538	Chacobo		Pano	earth (soil)	2787	m a i	mai	m a i - -	C V V
6625	Isconahua		Pano	earth (soil)	2787	m a i	mai	m a i - -	C V V
10131	Kaxarari		Pano	earth (soil)	2787	m a w i	maˈwi	m a w i -	C V C V
5600	Sharanahua		Pano	earth (soil)	2787	m a i	mai	m a i - -	C V V
2442	Yaminahua		Pano	earth (soil)	2787	m a i	mai	m a i - -	C V V
#
1130	Cashibo		Pano	eat	3243	p i t i	pi-ti	p i t i	C V C V
1572	Catuquina		Pano	eat	3243	p i	pi-	p i - -	C V
9635	Chacobo		Pano	eat	3243	p i	pihaina	p i - -	C V
6626	Isconahua		Pano	eat	3243	p i	pi	p i - -	C V
10194	Kaxarari		Pano	eat	3243	p i	pi-	p i - -	C V
5601	Sharanahua		Pano	eat	3243	p i i	pii	p i i -	C V V
#
10132	Kaxarari		Pano	egg	4337	b a tʃ i	baˈtʃi	b a tʃ i - -	C V C V
9891	Araona		Tacana	egg	3030	h a	eja	h a	C V
7922	Cavinena		Tacana	egg	3030	k a	-ka	k a	C V
249	EseEjja		Tacana	egg	3030	x a	exa	x a	C V
745	HuarayoEseEjja		Tacana	egg	3030	x a	e-'xa	x a	C V
8493	Tacana		Tacana	egg	3030	h a	e-ja	h a	C V
3079	Amahuaca		Pano	egg	3029	β a tʃ i	vachí	β a tʃ i	C V C V
3450	Capanahua		Pano	egg	3029	β a tʃ i	bachi	β a tʃ i	C V C V
1158	Cashibo		Pano	egg	3029	β a ts i	βac̷i	β a ts i	C V C V
1600	Catuquina		Pano	egg	3029	β a tʃ i	βaṣ̌i	β a tʃ i	C V C V
9348	Chacobo		Pano	egg	3029	β a tʃ i	bachi	β a tʃ i	C V C V
6627	Isconahua		Pano	egg	3029	β a tʃ i	bachi	β a tʃ i	C V C V
6155	Kakataibo		Pano	egg	3029	β a ts i	batsi	β a ts i	C V C V
2114	ShipiboConibo		Pano	egg	3029	β a tʃ i	βači	β a tʃ i	C V C V
#
3121	Amahuaca		Pano	elbow	5930	β a p o ʂ k o	vapóxco	β a p o ʂ k o -	C V C V C C V
9816	Araona		Tacana	elbow	5930	b a ts o	batso	b a ts o - - - -	C V C V
3471	Capanahua		Pano	elbow	5930	β a ʂ p o ʂ k o	baxpoxco	β a ʂ p o ʂ k o	C V C C V C C V
1077	Cashibo		Pano	elbow	5930	β a β o ʂ o	βãβuṣ̌u	β a β o ʂ o - -	C V C V C V
1515	Catuquina		Pano	elbow	5930	w a p o ʂ k o	wapoško	w a p o ʂ k o -	C V C V C C V
9364	Chacobo		Pano	elbow	5930	β a ʂ p o t o	baxpoto	β a ʂ p o t o -	C V C C V C V
159	EseEjja		Tacana	elbow	5930	ɓ a ʃ o	e-ɓašo	ɓ a ʃ o - - - -	C V C V
6628	Isconahua		Pano	elbow	5930	β a h o n	bahon	β a h o n - - -	C V C V C
6156	Kakataibo		Pano	elbow	5930	β a n β ɯ ʂ ɯ	banbuxu	β a n β ɯ ʂ ɯ -	C V C C V C V
4310	Moseten		Mosetén	elbow	5930	ts o ʔ t k i	c̷oʔt'ki	ts o ʔ t k i - -	C V C C C V
8471	Tacana		Tacana	elbow	5930	b a ts u	e-batsu	b a ts u - - - -	C V C V
9260	Tsimane		Mosetén	elbow	5930	ts o ʔ tʲ i ʔ	tso’tyi’	ts o ʔ tʲ i ʔ - -	C V C C V C
#
1345	Cashibo		Pano	embrace	3072	ʔ i k u t i	ʔi'ku-ti	ʔ i k u t i	C V C V C V
6158	Kakataibo		Pano	embrace	3072	ʔ i k ɯ t i	'ikúti	ʔ i k ɯ t i	C V C V C V
2376	ShipiboConibo		Pano	embrace	3072	i k o t i	ikoti	i k o t i -	V C V C V
3109	Amahuaca		Pano	embrace	3071	ʔ i k o	hícoquín	ʔ i k o - - - - - - - - - -	C V C V
3769	Capanahua		Pano	embrace	3071	ʔ i k o	hicóquin	ʔ i k o - - - - - - - - - -	C V C V
7840	Chacobo		Pano	embrace	3071	ʂ ɨ k o	xëcohaina	ʂ ɨ k o - - - - - - - - - -	C V C V
5605	Sharanahua		Pano	embrace	3071	i k u a n k ɨ n β u a n n i	icoancunfoanni	i k u a n k ɨ n β u a n n i	V C V V C C V C C V V C C V
#
1748	Catuquina		Pano	empty	3099	ʂ a k a	šaka	ʂ a k a	C V C V
2836	Yaminahua		Pano	empty	3099	ʂ a k a	ṣ̌aka	ʂ a k a	C V C V
#
10027	Araona		Tacana	enter	3135	n o b i	nobi	n o b i - -	C V C V
8242	Cavinena		Tacana	enter	3135	n u b i	nubi	n u b i - -	C V C V
346	EseEjja		Tacana	enter	3135	ɗ o ɓ i k i	ɗoɓi-ki-	ɗ o ɓ i k i	C V C V C V
813	HuarayoEseEjja		Tacana	enter	3135	n o b i	nobi-kwe	n o b i - -	C V C V
8643	Tacana		Tacana	enter	3135	n u b i	nubi	n u b i - -	C V C V
3080	Amahuaca		Pano	enter	3133	h i k i	jíquihí	h i k i	C V C V
1686	Catuquina		Pano	enter	3133	h i k o	hiko-	h i k o	C V C V
9519	Chacobo		Pano	enter	3133	h i k o	jicohaina	h i k o	C V C V
5606	Sharanahua		Pano	enter	3133	i k i	iqui	i k i -	V C V
2211	ShipiboConibo		Pano	enter	3133	h i k i	hiki-	h i k i	C V C V
#
2856	Yaminahua		Pano	evening	5350	j a m ɨ i	yamɨ-i	j a m ɨ i - -	C V C V V
4038	Capanahua		Pano	evening	2594	j a n t a n	yantan	j a n t a n - - - - -	C V C C V C
1764	Catuquina		Pano	evening	2594	j a ∼ t a p a k ɨ n o	yãta pakɨ-nõ	j a ∼ t a p a k ɨ n o	C V C C V C V C V C V
9741	Chacobo		Pano	evening	2594	j a t a	yata	j a t a - - - - - - -	C V C V
6923	Kakataibo		Pano	evening	2594	ɲ a n t a n	ñantan	ɲ a n t a n - - - - -	C V C C V C
#
2977	Amahuaca		Pano	extinguish	3202	n o k a	nocáquin	n o k a - -	C V C V
3749	Capanahua		Pano	extinguish	3202	n o k a	nocajaquin	n o k a - -	C V C V
9596	Chacobo		Pano	extinguish	3202	n o k a	nocahaina	n o k a - -	C V C V
5607	Sharanahua		Pano	extinguish	3202	n u k a i	nocai	n u k a i -	C V C V V
1898	ShipiboConibo		Pano	extinguish	3202	n o k a t i	noka-ti	n o k a t i	C V C V C V
#
4327	Moseten		Mosetén	eye	4917	b e h	beh	b e h - - - - -	C V C
3203	Amahuaca		Pano	eye	4929	β ɨ r o	vúro	β ɨ r o	C V C V
3483	Capanahua		Pano	eye	4929	β ɨ r o	bero	β ɨ r o	C V C V
1064	Cashibo		Pano	eye	4929	β ɨ r o	βɨro	β ɨ r o	C V C V
1500	Catuquina		Pano	eye	4929	β ɨ r o	βɨro	β ɨ r o	C V C V
9379	Chacobo		Pano	eye	4929	β ɨ r o	bëro	β ɨ r o	C V C V
6631	Isconahua		Pano	eye	4929	β ɨ ɾ o	bero	β ɨ ɾ o	C V C V
6163	Kakataibo		Pano	eye	4929	β ɨ ɾ ɯ	bëru	β ɨ ɾ ɯ	C V C V
5608	Sharanahua		Pano	eye	4929	β ɨ r u	furo	β ɨ r u	C V C V
1988	ShipiboConibo		Pano	eye	4929	β ɨ r o	βɨ-ro	β ɨ r o	C V C V
2559	Yaminahua		Pano	eye	4929	β ɨ r o	βɨ-ro	β ɨ r o	C V C V
5125	Matses		Pano	eye	6006	ɨ ʂ ɨ	ëʂë	ɨ ʂ ɨ -	V C V
#
1066	Cashibo		Pano	eyelash	4917	β ɨ n i	βɨni	β ɨ n i - - - -	C V C V
#
3330	Amahuaca		Pano	face	4917	β ɨ n m a n n a	vúnmanná	β ɨ n m a n n a	C V C C V C C V
3480	Capanahua		Pano	face	4917	β ɨ ʔ o n ʂ	behonx	β ɨ ʔ o n ʂ - -	C V C V C C
1983	ShipiboConibo		Pano	face	4917	β ɨ	βɨ-	β ɨ - - - - - -	C V
9297	Tsimane		Mosetén	face	4917	ʋ e h	vej	ʋ e h - - - - -	C V C
3478	Capanahua		Pano	face	4942	β ɨ m a n a n	bemanan	β ɨ m a n a n	C V C V C V C
1060	Cashibo		Pano	face	4942	β ɨ m a n a	βɨ'mana	β ɨ m a n a -	C V C V C V
9370	Chacobo		Pano	face	4942	β ɨ m a n a	bëmana	β ɨ m a n a -	C V C V C V
6633	Isconahua		Pano	face	4942	β ɨ m a n a	bemana	β ɨ m a n a -	C V C V C V
6166	Kakataibo		Pano	face	4942	β ɨ m a n a	bëmana	β ɨ m a n a -	C V C V C V
1982	ShipiboConibo		Pano	face	4942	β ɨ m a n a ∼	βɨ-manã	β ɨ m a n a ∼	C V C V C V C
2555	Yaminahua		Pano	face	4942	β ɨ m a n a ∼	βɨ̃-mãnã	β ɨ m a n a ∼	C V C V C V C
#
3218	Amahuaca		Pano	fall	4325	p a k ɨ	pácuuhí	p a k ɨ - -	C V C V
3772	Capanahua		Pano	fall	4325	p a k ɨ t i	paqueti	p a k ɨ t i	C V C V C V
9623	Chacobo		Pano	fall	4325	p a k ɨ	paquëhaina	p a k ɨ - -	C V C V
7716	Isconahua		Pano	fall	4325	p a k ɨ	pake	p a k ɨ - -	C V C V
5611	Sharanahua		Pano	fall	4325	p a k ɨ i	pacui	p a k ɨ i -	C V C V V
2178	ShipiboConibo		Pano	fall	4325	p a k ɨ t i	pakɨ-ti	p a k ɨ t i	C V C V C V
2741	Yaminahua		Pano	fall	4325	p a k ɨ k i	pakɨ-kĩ	p a k ɨ k i	C V C V C V
#
8250	Cavinena		Tacana	fan (action)	1634	p e i	pei	p e i - - - -	C V V
311	EseEjja		Tacana	fan (action)	1634	p e e n a h e	pee-nahe	p e e n a h e	C V V C V C V
788	HuarayoEseEjja		Tacana	fan (action)	1634	p i o	pio-kwe	p i o - - - -	C V V
1652	Catuquina		Pano	fan (action)	1640	w ɨ k o ʔ a	wɨkoʔa-	w ɨ k o ʔ a - - - -	C V C V C V
6634	Isconahua		Pano	fan (action)	1640	w ɨ k a w ɨ k a a k	weka weka ak	w ɨ k a w ɨ k a a k	C V C V C V C V V C
5991	Sharanahua		Pano	fan (action)	1640	β ɨ k a f ɨ k a k i	fucafucaqui	β ɨ k a f ɨ k a k i	C V C V C V C V C V
#
3587	Capanahua		Pano	far	458	ʔ o n o	hojno	ʔ o n o	C V C V
#
8192	Cavinena		Tacana	fart	560	kʷ e h i	kweji	kʷ e h i	C V C V
1550	Catuquina		Pano	fart	3490	ts i p i s	c̷ipis-	ts i p i s	C V C V C
7040	Matses		Pano	fart	3490	ts i p i s	tsipis	ts i p i s	C V C V C
2055	ShipiboConibo		Pano	fart	3490	ts i p i s	c̷ipis	ts i p i s	C V C V C
3980	Capanahua		Pano	fart	3492	ts i p i s i	tsipisi	ts i p i s i	C V C V C V
6033	Sharanahua		Pano	fart	3492	ts i p i s i	tsipisi	ts i p i s i	C V C V C V
#
2848	Yaminahua		Pano	fast	5133	k o ʃ i	koši	k o ʃ i	C V C V
8011	Cavinena		Tacana	fast	3513	w e n i	weni	w e n i - -	C V C V
6171	Kakataibo		Pano	fast	3513	β ɨ n ɨ t	bënët	β ɨ n ɨ t -	C V C V C
#
3740	Capanahua		Pano	fasten	1726	n ɨ ʂ a	nexaquin	n ɨ ʂ a - -	C V C V
7824	Chacobo		Pano	fasten	1726	n ɨ ʂ a	nëxahaina	n ɨ ʂ a - -	C V C V
#
4008	Capanahua		Pano	fat (organic substance)	3547	ʂ ɨ n i	xeni	ʂ ɨ n i	C V C V
1153	Cashibo		Pano	fat (organic substance)	3547	ʂ ɨ n i	ṣ̌ɨni	ʂ ɨ n i	C V C V
1592	Catuquina		Pano	fat (organic substance)	3547	ʂ ɨ n i	šɨni	ʂ ɨ n i	C V C V
8149	Cavinena		Tacana	fat (organic substance)	3547	ts e r i	tseri	ts e r i	C V C V
9732	Chacobo		Pano	fat (organic substance)	3547	ʂ ɨ n i	xëni	ʂ ɨ n i	C V C V
242	EseEjja		Tacana	fat (organic substance)	3547	s e i	e-sei	s e i -	C V V
738	HuarayoEseEjja		Tacana	fat (organic substance)	3547	s e i	e-sei	s e i -	C V V
6173	Kakataibo		Pano	fat (organic substance)	3547	ʂ ɨ n i	xëni	ʂ ɨ n i	C V C V
5935	Sharanahua		Pano	fat (organic substance)	3547	ʃ ɨ n i	shuni	ʃ ɨ n i	C V C V
2106	ShipiboConibo		Pano	fat (organic substance)	3547	ʂ ɨ n i	ṣ̌ɨni	ʂ ɨ n i	C V C V
8530	Tacana		Tacana	fat (organic substance)	3547	ts e i	e-tsei	ts e i -	C V V
2660	Yaminahua		Pano	fat (organic substance)	3547	ʂ i n i	ṣ̌ini	ʂ i n i	C V C V
#
3770	Capanahua		Pano	father	3565	p a p a	papa	p a p a	C V C V
999	Cashibo		Pano	father	3565	p a p a	papa	p a p a	C V C V
1439	Catuquina		Pano	father	3565	p a p a	papa	p a p a	C V C V
6174	Kakataibo		Pano	father	3565	p a p a	papa	p a p a	C V C V
5132	Matses		Pano	father	3565	p a p a	papa	p a p a	C V C V
4342	Movima		Movima	father	3565	p a ʔ a	paʔa	p a ʔ a	C V C V
1916	ShipiboConibo		Pano	father	3565	p a p a	papa	p a p a	C V C V
3172	Amahuaca		Pano	father	1851	ʔ ɨ p a	húpa	ʔ ɨ p a - -	C V C V
3771	Capanahua		Pano	father	1851	ʔ ɨ p a	hepa	ʔ ɨ p a - -	C V C V
9492	Chacobo		Pano	father	1851	h a ʔ ɨ p a	jahëpa	h a ʔ ɨ p a	C V C V C V
6637	Isconahua		Pano	father	1851	ɨ p a	epa	ɨ p a - - -	V C V
10134	Kaxarari		Pano	father	1851	i p a	iˈpa	i p a - - -	V C V
2492	Yaminahua		Pano	father	1851	ɨ p a	ɨpa	ɨ p a - - -	V C V
#
1349	Cashibo		Pano	fear (fright)	3615	r a t o	rato-	r a t o - -	C V C V
2908	Yaminahua		Pano	fear (fright)	3615	r a t ɨ k i	ratɨ-kĩ	r a t ɨ k i	C V C V C V
3089	Amahuaca		Pano	fear (fright)	3589	r a k ɨ ɨ	rácuu	r a k ɨ ɨ - - - - - - -	C V C V V
3876	Capanahua		Pano	fear (fright)	3589	r a k i ɨ p a ʔ w a n i	raqiepahhuani	r a k i ɨ p a ʔ w a n i	C V C V V C V C C V C V
9665	Chacobo		Pano	fear (fright)	3589	r a k ɨ	raquë	r a k ɨ - - - - - - - -	C V C V
2381	ShipiboConibo		Pano	fear (fright)	3589	r a k ɨ a t i	rakɨ-ati	r a k ɨ a t i - - - - -	C V C V V C V
#
9888	Araona		Tacana	feather	110	i ɲ a	eiña	i ɲ a	V C V
3158	Amahuaca		Pano	feather	5073	r a n i	ráni	r a n i	C V C V
9633	Chacobo		Pano	feather	5073	r a n i	rani	r a n i	C V C V
2587	Yaminahua		Pano	feather	3209	p ɨ i	pɨi	p ɨ i -	C V V
#
1295	Cashibo		Pano	few	3651	t ɨ ʂ ɨ	tɨṣ̌ɨ	t ɨ ʂ ɨ	C V C V
6176	Kakataibo		Pano	few	3651	t ɨ ʂ ɨ	tëxë	t ɨ ʂ ɨ	C V C V
2295	ShipiboConibo		Pano	few	5452	w ɨ s t i	wɨsti	w ɨ s t i -	C V C C V
#
2992	Amahuaca		Pano	field	2604	n a ɨ	naú	n a ɨ - -	C V V
1180	Cashibo		Pano	field	2604	n a ɨ	naɨ	n a ɨ - -	C V V
2993	Amahuaca		Pano	field	3695	β a i	vái	β a i	C V V
9459	Chacobo		Pano	field	3695	w a i	huai	w a i	C V V
2131	ShipiboConibo		Pano	field	3695	w a i	wai	w a i	C V V
9295	Tsimane		Mosetén	field	3695	ʋ a ʋ	vav	ʋ a ʋ	C V C
#
2434	ShipiboConibo		Pano	fight	26	s i n a	sina	s i n a - -	C V C V
#
5616	Sharanahua		Pano	finger	5943	m ɨ t u t i	mutoti	m ɨ t u t i	C V C V C V
2014	ShipiboConibo		Pano	finger	5969	m ɨ β i	mɨ-βi	m ɨ β i	C V C V
3712	Capanahua		Pano	finger	5987	m ɨ t o t i	metoti	m ɨ t o t i	C V C V C V
2013	ShipiboConibo		Pano	finger	5987	m ɨ t o t i	mɨ-toti	m ɨ t o t i	C V C V C V
2577	Yaminahua		Pano	finger	5987	m ɨ t o t i	mɨ-to-ti	m ɨ t o t i	C V C V C V
9552	Chacobo		Pano	finger	5988	m ɨ tʃ i	mëchi	m ɨ tʃ i - -	C V C V
#
3210	Amahuaca		Pano	fingernail	5984	m ɨ n ts i s	muntzíz	m ɨ n ts i s	C V C C V C
3700	Capanahua		Pano	fingernail	5984	m ɨ n ts i s	mentsis	m ɨ n ts i s	C V C C V C
1519	Catuquina		Pano	fingernail	5984	m ɨ ∼ ts i s	mɨ̃c̷is	m ɨ ∼ ts i s	C V C C V C
9561	Chacobo		Pano	fingernail	5984	m ɨ ts i s i	mëtsisi	m ɨ ts i s i	C V C V C V
2015	ShipiboConibo		Pano	fingernail	5984	m ɨ ∼ ts i s	mɨ̃-c̷is	m ɨ ∼ ts i s	C V C C V C
2578	Yaminahua		Pano	fingernail	5984	m i ts i s	mi-c̷is	m i ts i s -	C V C V C
9128	Tsimane		Mosetén	fingernail	988	p a ʔ tʲ i ʔ	pa’tyi’	p a ʔ tʲ i ʔ	C V C C V C
10008	Araona		Tacana	fingernail	5988	m e t e ɽ i	métezi	m e t e ɽ i	C V C V C V
10136	Kaxarari		Pano	fingernail	5988	m ɨ tʃ i s i	mɨtʃiˈsi	m ɨ tʃ i s i	C V C V C V
8501	Tacana		Tacana	fingernail	5988	m e t i ɽ i	e-metid’i	m e t i ɽ i	C V C V C V
#
3901	Capanahua		Pano	finish	2385	k ɨ j o	queyoquin	k ɨ j o - - -	C V C V
1305	Cashibo		Pano	finish	2385	k ɨ ɲ o	kɨɲo-	k ɨ ɲ o - - -	C V C V
7703	Isconahua		Pano	finish	2385	k i o	kio	k i o - - - -	C V V
6182	Kakataibo		Pano	finish	2385	k ɨ ɲ ɯ	këñu	k ɨ ɲ ɯ - - -	C V C V
2311	ShipiboConibo		Pano	finish	2385	k ɨ j o t i	kɨyo-ti	k ɨ j o t i -	C V C V C V
2850	Yaminahua		Pano	finish	2385	k ɨ j o k i	kɨyo-kĩ	k ɨ j o k i -	C V C V C V
#
9853	Araona		Tacana	fire	1119	kʷ a t i	cuati	kʷ a t i	C V C V
32	EseEjja		Tacana	fire	1119	kʷ a k i	kʷa-ki	kʷ a k i	C V C V
580	HuarayoEseEjja		Tacana	fire	1119	kʷ a k i	kwaki	kʷ a k i	C V C V
5139	Matses		Pano	fire	1119	kʷ ɨ t e	cuëte	kʷ ɨ t e	C V C V
2996	Amahuaca		Pano	fire	2088	tʃ i ʔ i	chíhi	tʃ i ʔ i	C V C V
3536	Capanahua		Pano	fire	2088	tʃ i ʔ i	chihi	tʃ i ʔ i	C V C V
979	Cashibo		Pano	fire	2088	ts i i	c̷ii	ts i i -	C V V
1417	Catuquina		Pano	fire	2088	tʃ i ʔ i	ṣ̌iʔi	tʃ i ʔ i	C V C V
