ID	STRUCTURE	FREQUENCY	Amahuaca	Capanahua	Cashibo	Catuquina	Chacobo	Isconahua	Kakataibo	Kaxarari	Matses	Sharanahua	ShipiboConibo	Yaminahua	COGNATESETS	CONCEPTS
224-2	V	2	Ø	i	i	i	a	i	i	Ø	Ø	i	i	i	1269:2, 2520:3	deep / seize / trap (catch)
269-2	V	2	Ø	Ø	o	s	s	Ø	ɯ	Ø	Ø	s	n	Ø	4694:1, 4722:1	know (something) / laugh
324-1	V	1	Ø	Ø	Ø	-	Ø	a	Ø	Ø	Ø	-	Ø	-	1648:6	chicken
338-1	V	1	Ø	i	ʃ	ʃ	Ø	ʃ	Ø	Ø	Ø	ʃ	ʃ	ʃ	2406:4	darkness / morning / night / yesterday
343-1	V	1	Ø	a	-	-	Ø	-	-	Ø	Ø	i	t	k	2771:3	drink / swallow
356-1	V	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	-	ɨ	4038:5	star
358-1	V	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	-	o	4038:7	star
359-1	V	1	Ø	Ø	a	Ø	Ø	Ø	a	Ø	Ø	Ø	j	Ø	4044:2	fly (move through air)
360-1	V	1	Ø	i	ɨ	Ø	i	i	Ø	i	i	i	i	i	4091:1	bark / body / skin
362-1	V	1	Ø	i	β	Ø	i	i	Ø	i	i	i	i	i	4091:3	bark / body / skin
380-1	V	1	Ø	o	u	o	o	i	ɯ	Ø	Ø	i	o	i	4428:1	heart
393-1	V	1	Ø	i	n	i	i	n	n	Ø	Ø	Ø	n	n	4583:3	animal
398-1	V	1	Ø	i	i	a	a	a	i	a	i	a	a	a	4703:1	lake
405-1	V	1	Ø	Ø	a	Ø	Ø	Ø	k	Ø	Ø	Ø	k	Ø	4800:2	lift
426-1	V	1	Ø	a	a	Ø	a	Ø	Ø	i	Ø	a	a	a	5248:1	below or under
449-1	V	1	Ø	Ø	o	w	Ø	Ø	Ø	w	Ø	w	w	β	5497:2	parrot
458-1	V	1	Ø	i	s	i	i	s	Ø	s	s	s	Ø	∼	5568:1	penis / piss
459-1	V	1	Ø	o	∼	o	o	n	Ø	l	n	i	Ø	o	5568:3	penis / piss
489-1	V	1	Ø	-	i	Ø	-	Ø	i	Ø	-	Ø	t	Ø	5969:3	dream (something) / look / see
495-1	V	1	Ø	Ø	-	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	-	Ø	6042:5	sharp
502-1	V	1	Ø	o	β	β	Ø	Ø	Ø	Ø	Ø	Ø	β	Ø	6142:3	knee
503-1	V	1	Ø	o	ʂ	ʂ	Ø	Ø	Ø	Ø	Ø	Ø	ʂ	Ø	6142:5	knee
504-1	V	1	Ø	-	o	o	Ø	Ø	Ø	Ø	Ø	Ø	o	Ø	6142:6	knee
2-118	V	118	o	o	o	o	o	o	ɯ	u	u	u	o	o	672:1, 2889:1, 2889:3, 3875:3, 4890:3, 5650:1, 6081:3, 5471:1, 5471:3, 392:1, 565:1, 565:3, 5523:1, 112:1, 112:3, 2913:1, 2913:3, 4257:1, 5810:1, 928:1, 928:5, 2949:3, 3522:1, 5113:1, 1144:1, 1144:6, 4551:1, 4551:3, 212:1, 212:3, 948:1, 1207:1, 107:1, 107:3, 165:1, 165:3, 305:1, 305:3, 1816:3, 4044:1, 6042:3, 1235:1, 3190:3, 637:1, 637:3, 705:1, 5955:3, 1084:3, 5723:4, 1240:4, 4037:1, 4322:1, 4322:3, 5023:3, 5023:7, 175:1, 177:1, 185:1, 426:3, 476:4, 483:1, 501:1, 522:1, 575:1, 678:1, 686:1, 793:1, 820:3, 823:1, 908:1, 967:1, 985:1, 1351:3, 1396:1, 1412:1, 1483:3, 1621:3, 1711:1, 1840:1, 1991:1, 1997:0, 2079:3, 2133:3, 2206:3, 2350:1, 2396:1, 2539:3, 2933:1, 3097:3, 3205:1, 3443:3, 3877:3, 3901:3, 3985:1, 4043:1, 4153:1, 4178:1, 4226:3, 4517:1, 4599:4, 4707:1, 4891:3, 4920:3, 4953:1, 5074:3, 5111:1, 5171:3, 5175:1, 5283:1, 5373:1, 5515:1, 5558:1, 5605:1, 5802:1, 5839:3, 6004:1, 6043:3, 6069:1	arm / arrive / ash / ask (inquire) / ask (request) / axe / back / bee / belly / bitter / black / blow (of wind) / body / boil (something) / brain / breast / burn (something) / burning / buttocks / buy / canoe / carry / cassava / center or middle / cheek / chest / chew / chili pepper / clean / cloth / clothes / cloud / comb / come / come back / cotton / crawl or creep / dark / deep / deer / demon / dig / duck / dust / ear / extinguish / eye / finger / firewood / first / float / flour / fly (move through air) / follow / food / frog / gather / ghost / girl / go / green / grow / honey / house / inside / jaw / join / language / light (weight) / love / milk / mouth / mud / nasal mucus (snot) / neck / needle (for sewing) / old man / old woman / older sister / owl / peel / penis / person / pinch / potato / pus / relatives / root / rotten / sell / sharp / shit (defecate) / shoulder / small / smoke (inhale) / snail / snake / soul / speak / spin / spring or well / stomach / suckle (breastfeed, nurse) / swim / tear (of eye) / tell / thick / thorn / thread / throw / tobacco / tree stump / unripe / up / wake up / wake up (someone) / want / wash / wave / we / whistle / who / wind / woman / worm / wrinkled / young / young man / young woman
236-8	V	8	o	-	u	o	o	-	ɯ	Ø	u	-	t	o	2295:4, 3075:3, 5556:1, 4258:1, 6083:6, 184:8, 258:3, 748:3	carry / cure / embrace / heel / lift / navel / pinch / spider / wake up
99-5	V	5	o	o	u	a	o	o	ɯ	Ø	o	u	o	o	3178:3, 3985:3, 4980:1, 5093:1, 6051:3	chieftain / fast / float / get lost / man / marry / mighty or powerful or strong / sharpen (something) / swim
134-4	V	4	o	o	a	o	o	a	a	Ø	Ø	a	o	Ø	142:1, 1644:3, 3074:3, 4402:1	bloom / embrace / fan (action) / flower / hard
204-4	V	4	o	o	u	o	o	o	ɯ	ɯi	i	i	o	i	137:3, 691:3, 1100:1, 1410:1	boy / breathe / comb / get tired / rest / soft / young man
94-3	V	3	o	o	-	-	o	-	-	u	ɨ	-	o	-	455:3, 459:3, 467:3	far / testicles / there / they
203-3	V	3	o	o	o	i	-	i	ɯ	Ø	Ø	i	t	k	473:3, 3443:1, 6159:4	cough / cover / older sister / shut
227-3	V	3	o	o	o	k	k	n	ɯ	Ø	a	u	k	k	473:1, 1625:3, 4693:1	cloth / cough / know (something) / wash
230-3	V	3	o	o	∼	o	o	-	n	Ø	Ø	n	∼	∼	307:3, 459:1, 4888:3	far / stomach / tear (of eye) / there
20-2	V	2	o	o	u	o	o	o	ɯ	Ø	Ø	u	o	o	5018:3, 5087:1	cover / hair (head) / head / roof
53-2	V	2	o	o	o	o	o	o	-	h	-	u	o	o	531:2, 4763:3	bone / lick
71-2	V	2	o	Ø	-	r	-	-	-	Ø	Ø	Ø	-	-	703:6, 5069:3	cure / medicine / up
80-2	V	2	o	a	a	∼	n	n	a	n	a	n	∼	-	4703:2, 6089:7	heel / lake
97-2	V	2	o	o	o	o	o	o	s	a	s	u	o	o	681:1, 5914:3	cloud / ring / smoke (exhaust)
107-2	V	2	o	o	n	o	o	n	n	Ø	Ø	-	o	o	815:1, 5015:4	horn (anatomy) / man / person
111-2	V	2	o	o	a	ʂ	ʂ	h	a	ʃ	ʂ	ʃ	ʂ	ʂ	44:1, 810:4	day (not night) / nest / sleep / water
130-2	V	2	o	o	t	o	o	β	i	Ø	-	t	β	t	1765:3, 4861:3	chair / lizard / sit / sit down
147-2	V	2	o	o	Ø	Ø	-	o	i	Ø	-	u	t	t	4468:3, 6024:1	here / light (radiation) / shade
159-2	V	2	o	o	-	o	o	ɾ	-	Ø	-	u	-	-	2097:7, 5880:2	ash / light (ignite) / salt
173-2	V	2	o	o	u	i	i	i	ɯ	Ø	e	i	-	i	1454:1, 1668:3	chieftain / rain (precipitation)
212-2	V	2	o	o	Ø	o	Ø	tʃ	t	Ø	d	tʃ	o	tʃ	5393:1, 5914:5	older brother / ring
243-2	V	2	o	Ø	-	r	Ø	-	ɯ	Ø	Ø	-	Ø	-	107:5, 2223:1	near / snail
303-1	V	1	o	o	Ø	β	Ø	β	β	Ø	b	β	o	β	455:1	testicles
314-1	V	1	o	Ø	ʂ	o	o	Ø	ʂ	a	ʂ	ʃ	o	ʂ	897:1	clean / white
316-1	V	1	o	Ø	-	o	o	Ø	-	ɯ	-	-	o	-	897:3	clean / white
335-1	V	1	o	o	o	o	Ø	-	ɯ	Ø	Ø	Ø	o	o	2388:3	all / finish
336-1	V	1	o	-	-	s	Ø	-	-	Ø	Ø	Ø	t	k	2388:4	all / finish
389-1	V	1	o	o	n	Ø	o	Ø	ɯ	o	Ø	n	o	n	4475:1	hide (conceal)
418-1	V	1	o	o	o	ʂ	ʂ	h	ɯ	ʂ	ʂ	ʃ	ʂ	ʂ	5137:1	moon
429-1	V	1	o	m	o	o	Ø	Ø	ɯ	Ø	Ø	u	o	o	5283:3	needle (for sewing)
462-1	V	1	o	o	o	ʔ	o	-	-	Ø	-	u	o	o	5650:2	pus
479-1	V	1	o	p	o	o	p	o	β	Ø	Ø	Ø	Ø	Ø	5898:3	elbow
482-1	V	1	o	k	-	o	o	-	ɯ	Ø	Ø	Ø	Ø	Ø	5898:6	elbow
