ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	COGID	COGIDS	MORPHEMES	BORROWING	ALIGNMENT
252	EseEjja	alcohol (fermented drink)	šixe-ʔena	šixe-ʔena	ʃ i x e + ʔ e n a	None	Tacana	4	10 1368	?		ʃ i x - e + ʔ e n a
750	HuarayoEseEjja	alcohol (fermented drink)	e-iši-xi	e-iši-xi	i ʃ i	None	Tacana	1195	149	drink		i ʃ i
751	HuarayoEseEjja	alcohol (fermented drink)	bi'šo-'na	bi'šo-'na	b i ʃ o + n a	None	Tacana	1202	15 25	water		b i ʃ o + - - - n a
1606	Catuquina	alcohol (fermented drink)	kaṣ̌a	kaṣ̌a	k a tʃ a	None	Pano	2356	3	?		k a tʃ a
2145	ShipiboConibo	alcohol (fermented drink)	paɨ	paɨ	p a ɨ	None	Pano	1594	2	alcohol		p a ɨ -
2146	ShipiboConibo	alcohol (fermented drink)	moka	moka	m o k a	None	Pano	1258	1568	strong		m o k a
2740	Yaminahua	alcohol (fermented drink)	mãmã	mãmã	m ã m ã	None	Pano	4999	9	?		m ã m ã
2741	Yaminahua	alcohol (fermented drink)	mãmã paɨa	mãmã paɨa	m ã m ã + p a ɨ a	None	Pano	5000	9 2	?		m ã m ã + p a ɨ a
3089	Amahuaca	alcohol (fermented drink)	hayatí	hayatí	ʔ a j a t í/i	?	Pano	2	1	?		ʔ a j a t í/i
3838	Capanahua	alcohol (fermented drink)	pahe	pahe	p a ʔ ɨ	None	Pano	1245	1551	strong		p a ʔ ɨ -
4433	Moseten	alcohol (fermented drink)	'čukye	'čukye	tʃ u k j e	None	Mosetén	3	10	?		tʃ u k j e
4434	Moseten	alcohol (fermented drink)	šokdʸeʔ	šokdʸeʔ	ʃ o k + dʲ e.ʔ	None	Mosetén	0	10 1957	_:nmlz		ʃ o k - - + dʲ e.ʔ -
4435	Movima	alcohol (fermented drink)	poʔ-so	poʔ-so	p o ʔ + s o	None	Movima	3585	5 1567	?		p o ʔ + s o
6623	Isconahua	alcohol (fermented drink)	oma	oma	o m a	None	Pano	1259	1569	?		o m a
7469	Chipaya	alcohol (fermented drink)	lik-chi	lik-chi	l i k + tʃ i	None	Uru-Chipaya	1160	1452 2801	drink _:deriv		l i k + tʃ i
8171	Cavinena	alcohol (fermented drink)	enajewe	enajewe	n a h e w e	None	Tacana	3155	4	?		n a h e w e
8602	Tacana	alcohol (fermented drink)	e-id’i	e-id’i	i ɽ i	None	Tacana	1195	149	drink		i ɽ i
9020	Tsimane	alcohol (fermented drink)	ćhono’macdyes	ćhono’macdyes	tʃʰ o n o.ʔ + m a k dʲ e + s	None	Mosetén	939	13 1409 2559	? _:nmlz		tʃʰ o n o.ʔ + m a k dʲ e + s
9633	Chacobo	alcohol (fermented drink)	jënë-shapo	jënë-shapo	h ɨ n ɨ + ʃ a p o	None	Pano	2474	315 6	water ?		h ɨ n ɨ + ʃ a p o
423	EseEjja	all	oxaɲa	oxaɲa	o x a ɲ a	None	Tacana	2724	35	?		o x a ɲ a
424	EseEjja	all	wasee	wasee	w a s e.e	None	Tacana	3075	39	?		w a - s e.e
1299	Cashibo	all	kamaβi	kamaβi	k a m a + β i	None	Pano	2357	30 2718	?		k a m a + β i
1751	Catuquina	all	kɨyo-s-ka	kɨyo-s-ka	k ɨ j o + s + k a	None	Pano	2147	27 3950 38	finish _:particle? _:adj		k ɨ j o + s + k a
2340	ShipiboConibo	all	-tiiβi	-tiiβi	t i i + β i	None	Pano	2157	2711 2718	one ?		t i i + β i
2341	ShipiboConibo	all	hatiβi	hatiβi	h a t i + β i	None	Pano	2302	29 2718	?		h a t i + β i
2904	Yaminahua	all	kɨyo-kõi	kɨyo-kõi	k ɨ j o + k õ i	None	Pano	2148	27 2736	finish many		k ɨ j o + k õ i
3044	Amahuaca	all	quíyoo	quíyoo	k í/i j o.o	None	Pano	2147	27	finish		k í/i j o.o
3708	Capanahua	all	jatihibi, rahsi	jatihibi	h a t i + ʔ i + β i	None	Pano	1388	29 174 2718	_:verbal ?		h a t i + ʔ i + β i
3709	Capanahua	all	jatihibi, rahsi	rahsi	r a ʔ s i	None	Pano	3075	39	all		r a ʔ s i
4409	Moseten	all	e'rehtum	e'rehtum	e r e.h/e + t u m	None	Mosetén	2915	37 2592	all ?		e r e.h/e - + t u m
4410	Movima	all	ɓa-ra	ɓa-ra	ɓ a + r a	None	Movima	2271	2855 3970	?		ɓ a + r a
5106	Matses	all	tedi	tedi	t e d i	None	Pano	2582	33	?		t e d i
6005	Sharanahua	all	nantifi	nantifi	n a n t i + β i	None	Pano	1639	2052 2718	?		n a n t i + β i
6124	Kakataibo	all	kamabi	kamabi	k a m a + β̞ i	None	Pano	2357	30 2718	?		k a m a + β̞ i
6624	Isconahua	all	aranabi	aranabi	a ɾ a n a + β i	None	Pano	2832	36 2718	?		a ɾ a n a + β i
7467	Chipaya	all	liju, thapa	liju	l i x u	None	Uru-Chipaya	2651	34	?		l i x u
7468	Chipaya	all	liju, thapa	thapa	tʰ a p a	None	Uru-Chipaya	3224	41	?		tʰ a p a
8149	Cavinena	all	dutya	dutya	d u tʲ a	None	Tacana	3156	40	?		d u tʲ a
8763	Tacana	all	pamapa	pamapa	p a m a + p a	None	Tacana	2425	31 2720	?		p a m a + p a
9289	Tsimane	all	räj, tas	räj	r ə h	None	Mosetén	3075	39	all		r ə h - -
9290	Tsimane	all	räj, tas	tas	t a s	None	Mosetén	1641	2055	?		t a s
9627	Chacobo	all	jatiroha ca	jatiroha ca	h a t i + r o ʔ a + k a	None	Pano	2301	29 440 38	? _:adj		h a t i + r o ʔ a + k a
9913	Araona	all	babaohue	babaohue	b a b a o + w e	None	Tacana	2232	28 1268	stative		b a b a o + w e
85	EseEjja	animal	ixiakaxi	ixiakaxi	i x i a k a x i	None	Tacana	3988	62	?		i x i a k a x i
1019	Cashibo	animal	ɲuina	ɲuina	ɲ u i n a	None	Pano	3904	59	?		ɲ u - i n a -
1461	Catuquina	animal	yoʔina	yoʔina	j o ʔ i n a	None	Pano	3904	59	?		j o ʔ i n a -
1945	ShipiboConibo	animal	yoina	yoina	j o i n a	None	Pano	3904	59	?		j o - i n a -
2578	Yaminahua	animal	yõinã	yõinã	j õ i n ã	None	Pano	3904	59	?		j õ - i n ã -
3109	Amahuaca	animal	chítu	chítu	tʃ í/i t ɨ	None	Pano	3268	415	?		tʃ í/i t ɨ
4141	Capanahua	animal	yohinah	yohinah	j o ʔ i n a ʔ	None	Pano	3904	59	?		j o ʔ i n a ʔ
4164	Moseten	animal	hebak-'dʸe	hebak-'dʸe	h e b + a + k + dʲ e	None	Mosetén	3283	418 1185 895 1957	eat _:VI _:intrans _:nmlz		h e b + a + k + dʲ e -
4165	Movima	animal	popoi-kʷa	popoi-kʷa	p o p o i + kʷ a	None	Movima	3280	417 1177	absolute_state		p o p o i + kʷ a
5576	Sharanahua	animal	fishtui	fishtui	β i ʃ t ɨ i	None	Pano	4042	64	?		β i ʃ t ɨ i
6125	Kakataibo	animal	ñuina	ñuina	ɲ ɯ i n a	None	Pano	3904	59	animal		ɲ ɯ - i n a -
6625	Isconahua	animal	yoina	yoina	j o i n a	None	Pano	3904	59	?		j o - i n a -
7289	Chipaya	animal	uywa, yaticha	uywa	u j w a	None	Uru-Chipaya	3958	61	?		u j w a
7290	Chipaya	animal	uywa, yaticha	yaticha	j a t i tʃ a	None	Uru-Chipaya	3857	58	?		j a t i tʃ a
8443	Cavinena	animal	upati, kwanubi	upati	u p a t i	None	Tacana	3928	60	?		u p a t i
8444	Cavinena	animal	upati, kwanubi	kwanubi	kʷ a n u b i	None	Tacana	4104	66	?		kʷ a n u b i
8478	Tacana	animal	animalu	animalu	a n i m a l u	None	Tacana	4072	65	?		a n i m a l u
9137	Tsimane	animal	jebacdye’	jebacdye’	h e b + a + k + dʲ e.ʔ	None	Mosetén	3283	418 1185 895 1957	eat _:VI _:intrans _:nmlz		h e b + a + k + dʲ e.ʔ -
9860	Chacobo	animal	yohina	yohina	j o ʔ i n a	None	Pano	3904	59	?		j o ʔ i n a -
103	EseEjja	ant	šeme	šeme	ʃ e m e	None	Tacana	4667	80	?		ʃ e m e
638	HuarayoEseEjja	ant	poxi aso	poxi aso	p o x i + a s o	None	Tacana	4806	84 475	?		p o x i + - a s o
1035	Cashibo	ant	ku'tiš	ku'tiš	k u t i ʃ	None	Pano	4779	83	?		k u t i ʃ
1477	Catuquina	ant	hima	hima	h i m a	None	Pano	4667	80	?		h i m a
1964	ShipiboConibo	ant	βona	βona	β o n a	None	Pano	5001	90	?		β o n a
2594	Yaminahua	ant	ɨɨ	ɨɨ	ɨ ɨ	None	Pano	4870	86	?		ɨ ɨ
3102	Amahuaca	ant	jíma	jíma	h í/i m a	None	Pano	4667	80	?		h í/i m a
3722	Capanahua	ant	jisis, jiin, xehi	jisis	h i s i s	None	Pano	4751	82	?		h i s i s
3723	Capanahua	ant	jisis, jiin, xehi	jiin	h i i n	None	Pano	5103	93	?		h i i n
3724	Capanahua	ant	jisis, jiin, xehi	xehi	ʂ ɨ ʔ i	None	Pano	4751	82	?		ʂ ɨ ʔ i -
4166	Moseten	ant	kya'ki	kya'ki	k j a k i	None	Mosetén	4903	87	?		k j a k i
4167	Moseten	ant	a'yuša	a'yuša	a j u ʃ a	None	Mosetén	4837	85	?		a j u ʃ a
4168	Movima	ant	či-heɬ	či-heɬ	tʃ i + h e ɬ	None	Movima	4937	88 89	?		tʃ i + h e ɬ
5107	Matses	ant	bacuë	bacuë	b a kʷ ɨ	None	Pano	3489	474	?		b a kʷ ɨ
6126	Kakataibo	ant	ima	ima	i m a	None	Pano	4667	80	?		- i m a
6127	Kakataibo	ant	ëu	ëu	ɨ ɯ	None	Pano	4870	86	?		ɨ ɯ
6626	Isconahua	ant	e	e	ɨ	None	Pano	4870	86	?		ɨ -
6627	Isconahua	ant	ima	ima	i m a	None	Pano	4667	80	?		- i m a
8699	Tacana	ant	id’ui	id’ui	i ɽ u i	None	Tacana	5031	91	?		i ɽ u i
9344	Tsimane	ant	tayen’	tayen’	t a j e n.ʔ	None	Mosetén	5076	92	?		t a j e n.ʔ
9953	Araona	ant	bototo	bototo	b o t o t o	None	Tacana	4715	81	?		b o t o t o
3854	Capanahua	approach	pataxquin	pataxquin	p a t a ʂ	None	Pano	196	107	near		p a t a ʂ
4169	Moseten	approach	čeiʔ'yai	čeiʔ'yai	tʃ ei.ʔ j ai	None	Mosetén	226	108	?		tʃ ei.ʔ j ai -
4170	Movima	approach	nen-kʷa-niwa	nen-kʷa-niwa	n e n + kʷ a + n i w a	None	Movima	478	116 1177 117	absolute_state ?		n e n + kʷ a + n i w a
5577	Sharanahua	approach	fishtai	fishtai	β i ʃ t a i	None	Pano	555	118	?		β i ʃ t a i
6128	Kakataibo	approach	nërënkiti	nërënkiti	n ɨ ɾ ɨ n + k i t i	None	Pano	419	114 576	approach verbal_stem		n ɨ ɾ ɨ n + k i t i
7728	Chipaya	approach	zhkatzin-z, makat-z	zhkatzin-z	ʐ k a t z i n	None	Uru-Chipaya	389	113	?		ʐ k a t z i n
7729	Chipaya	approach	zhkatzin-z, makat-z	makat-z	m a k a t	None	Uru-Chipaya	611	120	?		m a k a t
7896	Chacobo	approach	basimahaina	basimahaina	β a s i m a	None	Pano	356	112	?		β a s i m a
8254	Cavinena	approach	jipe, sita	jipe	h i p e	None	Tacana	2431	3111	?		h i p e
8255	Cavinena	approach	jipe, sita	sita	s i t a	None	Tacana	226	108	?		s i t a -
8708	Tacana	approach	ja-naria-ti	ja-naria-ti	h a + n a ɾ i a + t i	None	Tacana	578	1205 119 1204	_:prefix ? _:verbal		h a - + n a ɾ i a + t i
8875	Cashibo	approach	čiča-ti	čiča-ti	tʃ i tʃ a + t i	None	Pano	0	3110 1167	_:verbal		tʃ i tʃ a + t i
8889	Catuquina	approach	taβa_ka-	taβa_ka-	t a β a + k a	None	Pano	0	108 1206	_:verbal		t a β a - + k a
9005	Tsimane	approach	ćhéi’yaij jeyeyaqui	ćhéi’yaij jeyeyaqui	tʃʰ ẽi.ʔ j ai h + h e j e	None	Mosetén	227	108 111	?		tʃʰ ẽi.ʔ j ai h + h e j e
9965	Araona	approach	cuaetiqui	cuaetiqui	kʷ a e t i + k i	None	Tacana	0	106 350	_:verbal		kʷ a e t i + k i
161	EseEjja	arm	e-aa	e-aa	a a	None	Tacana	981	131	arm		a - a
677	HuarayoEseEjja	arm	yaa	yaa	j a a	None	Tacana	99	1044	arm		- - j a - a
1083	Cashibo	arm	pɨ'ɲã	pɨ'ɲã	p ɨ + ɲ ã	None	Pano	2777	355 1044	:back_prefix arm		p ɨ + - ɲ - ã - -
1520	Catuquina	arm	põyã	põyã	p õ + j ã	None	Pano	5061	915 1044	arm arm		p õ - + - - j ã - -
2027	ShipiboConibo	arm	po-yã	po-yã	p o + j ã	None	Pano	5061	915 1044	arm arm		p o - + - - j ã - -
2643	Yaminahua	arm	põ-ya	põ-ya	p õ + j a	None	Pano	5061	915 1044	arm arm		p õ - + - - j a - -
3437	Amahuaca	arm	pónyan, póxtuu	pónyan	p ó/o + n j a n	None	Pano	5061	915 1044	arm arm		p ó/o - + - n j a n -
3438	Amahuaca	arm	pónyan, póxtuu	póxtuu	p ó/o + ʂ t ɨ ɨ	None	Pano	5057	915 1038	arm arm		p ó/o - + ʂ t ɨ ɨ
3905	Capanahua	arm	poyan, pexo xao, bax	poyan	p o + j a n	None	Pano	5061	915 1044	arm arm		p o - + - - j a n -
3906	Capanahua	arm	poyan, pexo xao, bax	pexo xao	p ɨ + ʂ o + ʂ a o	None	Pano	2774	355 1038 1163	:back_prefix arm bone		p ɨ + ʂ - - o + ʂ a - - o
3907	Capanahua	arm	poyan, pexo xao, bax	bax	β a + ʂ	None	Pano	941	130 1038	arm arm		β a - - + ʂ - - -
4171	Moseten	arm	œɲ'ya	œɲ'ya	ɨ ɲ j a	None	Mosetén	99	1044	arm		ɨ ɲ j a - -
4172	Movima	arm	ɓosa-kʷa	ɓosa-kʷa	ɓ o s a + kʷ a	None	Movima	92	1040 1177	arm absolute_state		ɓ o s a + kʷ a
5108	Matses	arm	podo	podo	p o + d o	None	Pano	5058	915 1041	arm arm		p o - + d o
5578	Sharanahua	arm	poyan	poyan	p u + j a n	None	Pano	5061	915 1044	arm arm		p u - + - - j a n -
6129	Kakataibo	arm	pëñan	pëñan	p ɨ + ɲ a n	None	Pano	2777	355 1044	:back_prefix arm		p ɨ + - ɲ - a n -
6628	Isconahua	arm	ponyan	ponyan	p o + n j a n	None	Pano	5061	915 1044	arm arm		p o - + - n j a n -
7554	Chipaya	arm	qhara	qhara	qʰ a r a	None	Uru-Chipaya	1050	134	arm/wing		qʰ a r a
8025	Cavinena	arm	-bi	-bi	b i	None	Tacana	940	130	arm		b i - -
8582	Tacana	arm	e-bai	e-bai	b a i	None	Tacana	940	130	arm		b a - i
9462	Chacobo	arm	ba-, bamisco	ba-	β a	None	Pano	940	130	arm		β a - -
9463	Chacobo	arm	ba-, bamisco	bamisco	β a + m i s k o	None	Pano	942	130 1042	arm ?		β a - - + m i s k o
10000	Araona	arm	ebai	ebai	b a.i	None	Tacana	940	130	arm		b a.i - -
162	EseEjja	armpit	enakʷiši	enakʷiši	n a kʷ i ʃ i	None	Tacana	1282	159	?		- n a kʷ i ʃ i
1521	Catuquina	armpit	pički	pički	p i ʃ + k i	None	Pano	1269	158 5721	armpit open		p i ʃ + k i
2028	ShipiboConibo	armpit	βaṣ̌ka	βaṣ̌ka	β a + ʂ k a	None	Pano	946	130 1834	arm ? ?		β a - - + ʂ k a
2029	ShipiboConibo	armpit	βa-	βa-	β a	None	Pano	940	130	arm		β a - -
2644	Yaminahua	armpit	po-čo	po-čo	p o + tʃ o	None	Pano	5063	915 165	arm ?		p o - + tʃ o
3484	Amahuaca	armpit	píshcan	píshcan	p í/i ʃ + k a n	None	Pano	1267	158 906	armpit		p í/i ʃ + k a n
3886	Capanahua	armpit	pishquin	pishquin	p i ʃ	None	Pano	1267	158	armpit		p i ʃ
4173	Moseten	armpit	c̷a'kaʔ	c̷a'kaʔ	ts a k a.ʔ	None	Mosetén	1319	164	?		ts a k a.ʔ
4174	Movima	armpit	čowi-kʷa	čowi-kʷa	tʃ o w i + kʷ a	None	Movima	1330	166 1177	absolute_state		tʃ o w i + kʷ a
5109	Matses	armpit	podo ambuadquid	podo ambuadquid	p o + d o + a m b u a d + k i d	None	Pano	5059	915 1041 163 1178	arm arm ? agent_nmlz		p o - + d o + a m b u a d + k i d
5110	Matses	armpit	podo ana	podo ana	p o + d o + a n a	None	Pano	5060	915 1041 917	arm arm ?		p o - + d o + a n a
5579	Sharanahua	armpit	pocho	pocho	p u + tʃ u	None	Pano	5067	915 2330	arm ?		p u - + tʃ u
6130	Kakataibo	armpit	pëxan kini	pëxan kini	p ɨ + ʂ a n + k i n i	None	Pano	2784	355 1831 1832	:back_prefix ? ?		p ɨ + ʂ a n + k i n i
7235	Chipaya	armpit	ljakz(a)	ljakz	ɬ a k z	None	Uru-Chipaya	1291	160	?		ɬ a k z
8197	Cavinena	armpit	inyukwija	inyukwija	i n j u + kʷ i h a	None	Tacana	1282	159 919	undefined		i n - - - j u + kʷ i h a
9361	Tsimane	armpit	tsaca’	tsaca’	ts a k a.ʔ	None	Mosetén	1319	164	?		ts a k a.ʔ
9755	Chacobo	armpit	pishquini, batsisto	pishquini	p i ʃ + k i n i	None	Pano	1268	158 1832	armpit ?		p i ʃ + k i n i
9756	Chacobo	armpit	pishquini, batsisto	batsisto	β a + ts i s t o	None	Pano	947	130 916	arm ?		β a - - + ts i s t o
10145	Araona	armpit	nócuizi	nócuizi	n o kʷ i ɽ i	None	Tacana	1282	159	?		- n o kʷ i ɽ i
349	EseEjja	arrive	poe-	poe-	p o + e	None	Tacana	3604	5005 941	go movement/diph?		- - p o - + e
350	EseEjja	arrive	yeka-	yeka-	j e + k a	None	Tacana	0	183 1255	_:verbal		j e + k a
1249	Cashibo	arrive	βɨβa-ti	βɨβa-ti	β ɨ + β a + t i	None	Pano	1475	184 2410 1167	come arrive _:verbal		β ɨ + β a + t i
1692	Catuquina	arrive	noko-t-	noko-t-	n o k o + t	None	Pano	524	1173 2157	meet/arrive ?		n o k o - + t
2250	ShipiboConibo	arrive	noko-ti	noko-ti	n o k o + t i	None	Pano	523	1173 1167	meet/arrive _:verbal		n o k o - + t i
2251	ShipiboConibo	arrive	inã-ti	inã-ti	i n ã + t i	None	Pano	0	2162 1167	_:verbal		i n ã + t i
2837	Yaminahua	arrive	noko-kĩ	noko-kĩ	n o k o + k ĩ	None	Pano	523	1173 1186	meet/arrive _:verbal		n o k o - + - k ĩ
3326	Amahuaca	arrive	nócoohí	nócoohí	n ó/o k o.o	None	Pano	523	1173	meet/arrive		n ó/o k o.o -
3827	Capanahua	arrive	nocoti	nocoti	n o k o + t i	None	Pano	523	1173 1167	meet/arrive _:verbal		n o k o - + t i
4788	Moseten	arrive	'wen'čui	'wen'čui	w e n tʃ u i	None	Mosetén	1528	190	?		w e n tʃ u i -
4789	Movima	arrive	hoʔ-yah	hoʔ-yah	h o ʔ + j a h	None	Movima	1484	185 191	?		h o ʔ + j a h
5543	Matses	arrive	chinun	chinun	tʃ i n u n	None	Pano	1729	2158	?		tʃ i n u n
5580	Sharanahua	arrive	nocoi	nocoi	n u k u + i	None	Pano	523	1173 591	meet/arrive _:verbal		n u k u - + - i
6131	Kakataibo	arrive	bëbati	bëbati	β̞ ɨ + β̞ a + t i	None	Pano	1475	184 2410 1167	come arrive _:verbal		β̞ ɨ + β̞ a + t i
6629	Isconahua	arrive	noko	noko	n o k o	None	Pano	523	1173	meet/arrive		n o k o -
7408	Chipaya	arrive	ira-nti-z	ira-nti-z	i r a + n t i	None	Uru-Chipaya	1502	187 2161	?		i r a + n t i
8546	Tacana	arrive	cuina	cuina	kʷ i n a	None	Tacana	3818	569	arrive		kʷ i n a
9417	Tsimane	arrive	venjoij	venjoij	ʋ e n h o i h	None	Mosetén	1528	190	?		ʋ e n h o i h
9520	Chacobo	arrive	cahëhaina	cahëhaina	k a + ʔ ɨ	None	Pano	3587	5004 1147	go ?		k a - - + ʔ ɨ
10309	Kaxarari	arrive	hu-	hu-	h u	None	Pano	1520	189	?		h u
557	EseEjja	arrow	emehe	emehe	m e h e	None	Tacana	1709	213	?		m e h - e
956	HuarayoEseEjja	arrow	e-mese	e-mese	m e s e	None	Tacana	1709	213	?		m e s - e
1391	Cashibo	arrow	pia	pia	p i a	None	Pano	1689	211	?		p i - a
1854	Catuquina	arrow	pia	pia	p i a	None	Pano	1689	211	?		p i - a
2507	ShipiboConibo	arrow	pia	pia	p i a	None	Pano	1689	211	?		p i - a
3029	Yaminahua	arrow	pia	pia	p i a	None	Pano	1689	211	?		p i - a
3193	Amahuaca	arrow	piyá	piyá	p i j á/a	None	Pano	1689	211	?		p i j á/a
4003	Capanahua	arrow	tahua, huexa	tahua	t a w a	None	Pano	1704	212	?		t a w a
4004	Capanahua	arrow	tahua, huexa	huexa	w ɨ ʂ a	None	Pano	2811	3572	?		w ɨ ʂ a
4175	Moseten	arrow	ih'meʔ	ih'meʔ	i h m e.ʔ	None	Mosetén	1709	213	?		- i h m e.ʔ
4176	Movima	arrow	huɬ-pa	huɬ-pa	h u ɬ + p a	None	Movima	1722	215 211	?		h u ɬ + p a - -
5111	Matses	arrow	pia	pia	p i a	None	Pano	1689	211	?		p i - a
5581	Sharanahua	arrow	cafiti	cafiti	k a β i t i	None	Pano	1713	214	?		k a β i t i
5582	Sharanahua	arrow	pia	pia	p i a	None	Pano	1689	211	?		p i - a
6132	Kakataibo	arrow	pia	pia	p i a	None	Pano	1689	211	?		p i - a
6630	Isconahua	arrow	kabiti	kabiti	k a β i t i	None	Pano	1713	214	?		k a β i t i
6631	Isconahua	arrow	koa	koa	k o a	None	Pano	1735	217	?		k o a
8372	Cavinena	arrow	piya	piya	p i j a	None	Tacana	1689	211	?		p i j a
8777	Tacana	arrow	pisa	pisa	p i s a	None	Tacana	1689	211	?		p i s a
9040	Tsimane	arrow	comora, yajsi	comora	k o m o r a	None	Mosetén	1730	216	?		k o m o r a
9041	Tsimane	arrow	comora, yajsi	yajsi	j a h s i	None	Mosetén	1743	218	?		j a h s i
9751	Chacobo	arrow	pia	pia	p i a	None	Pano	1689	211	?		p i - a
10155	Araona	arrow	pia	pia	p i a	None	Tacana	1689	211	?		p i - a
10233	Kaxarari	arrow	piˈja	piˈja	p i j a	None	Pano	1689	211	?		p i j a
34	EseEjja	ash	kʷaki-maxo	kʷaki-maxo	kʷ a + k i + m a x o	None	Tacana	1925	240 235 237	fire ash dust		kʷ a + k i - + m a x o
35	EseEjja	ash	kʷaki-powi	kʷaki-powi	kʷ a + k i + p o w i	None	Tacana	1927	240 235 241	fire ash ash		kʷ a + k i - + p o w i
588	HuarayoEseEjja	ash	powi	powi	p o w i	None	Tacana	1933	241	ash		p o w i
989	Cashibo	ash	či-mapo	či-mapo	tʃ i + m a p o	None	Pano	1906	238 237	fire dust		tʃ i - - + m a p o
1426	Catuquina	ash	ṣ̌iʔi mapo	ṣ̌iʔi mapo	tʃ i ʔ i + m a p o	None	Pano	1906	238 237	fire dust		tʃ i ʔ i + m a p o
1900	ShipiboConibo	ash	čii-mapo	čii-mapo	tʃ i i + m a p o	None	Pano	1906	238 237	fire dust		tʃ i - i + m a p o
2540	Yaminahua	ash	čii mapo	čii mapo	tʃ i i + m a p o	None	Pano	1906	238 237	fire dust		tʃ i - i + m a p o
3116	Amahuaca	ash	chíhimapó	chíhimapó	tʃ í/i ʔ i + m a p ó/o	None	Pano	1906	238 237	fire dust		tʃ í/i ʔ i + m a p ó/o
3611	Capanahua	ash	chihi mapo	chihi mapo	tʃ i ʔ i + m a p o	None	Pano	1906	238 237	fire dust		tʃ i ʔ i + m a p o
4177	Moseten	ash	čim	čim	tʃ i + m	None	Mosetén	1903	238 2388	fire		tʃ i - - + m
4178	Movima	ash	βeʔe-βus	βeʔe-βus	β e ʔ e + β u s	None	Movima	1939	242 255	dust		β e ʔ e + β u s
5112	Matses	ash	isisapuc	isisapuc	i s i s a + p u k	None	Pano	4635	79 254	?		i s i s a + p u k
5583	Sharanahua	ash	mapo	mapo	m a p u	None	Pano	1892	237	dust		m a p u
6133	Kakataibo	ash	chimapu	chimapu	tʃ i + m a p ɯ	None	Pano	1906	238 237	fire dust		tʃ i - - + m a p ɯ
6632	Isconahua	ash	mapo	mapo	m a p o	None	Pano	1892	237	dust		m a p o
7566	Chipaya	ash	qhup, qhupa	qhup(a)	qʰ u p a	None	Uru-Chipaya	1864	233	?		qʰ u p a
8183	Cavinena	ash	etikimuru	etikimuru	t i + k i + m u r u	None	Tacana	1883	236 235 18	burn ash dust		t i + k i - + m u r u
8641	Tacana	ash	e-timu	e-timu	t i + m u	None	Tacana	1884	236 237	burn dust		t i + m u - -
9014	Tsimane	ash	chim	chim	tʃ i + m	None	Mosetén	1903	238 2388	fire		tʃ i - - + m
9685	Chacobo	ash	mishpo	mishpo	m i ʃ p o	None	Pano	3399	444	ash		m i ʃ p o
10196	Araona	ash	timo	timo	t i + m o	None	Tacana	1884	236 237	burn dust		t i + m o - -
10234	Kaxarari	ash	mapuˈʔu	mapuˈʔu	m a p u + ʔ u	None	Pano	1895	237 251	dust ?		m a p u + ʔ u
543	EseEjja	ask (inquire)	wowiaxa-ka-	wowiaxa-ka-	w o w i a x a + k a	None	Tacana	2173	273 1255	ask _:verbal		w o w i a x a + k a
1380	Cashibo	ask (inquire)	ɲu'ka-ti	ɲu'ka-ti	ɲ u k a + t i	None	Pano	0	271 1167	_:verbal		ɲ u k a + t i
1843	Catuquina	ask (inquire)	yoka-	yoka-	j o k a	None	Pano	2153	271	ask		j o k a
2488	ShipiboConibo	ask (inquire)	yoka-ti	yoka-ti	j o k a + t i	None	Pano	2153	271 1167	ask _:verbal		j o k a + t i
2489	ShipiboConibo	ask (inquire)	pirikõta ati	pirikõta ati	p i r i k õ t a + a t i	None	Pano	2870	3633 171	speak		p i r i k õ t a + a t i
3013	Yaminahua	ask (inquire)	yõka-kĩ	yõka-kĩ	j õ k a + k ĩ	None	Pano	2153	271 1186	ask _:verbal		j õ k a + - k ĩ
4136	Capanahua	ask (inquire)	yocaquin	yocaquin	j o k a	None	Pano	2153	271	ask		j o k a
4179	Moseten	ask (inquire)	kodak-'dʸe	kodak-'dʸe	k o d a k + dʲ e	None	Mosetén	0	275 272	_:verbal		k o d a k + dʲ e
4180	Movima	ask (inquire)	ɗaha-wane-ɬe	ɗaha-wane-ɬe	ɗ a h a + w a n e + ɬ e	None	Movima	2869	3632 276 277	?		ɗ a h a + w a n e + ɬ e
5113	Matses	ask (inquire)	chui	chui	tʃ u i	None	Pano	2350	299	tell		tʃ u i
5584	Sharanahua	ask (inquire)	yocain	yocain	j u k a + i n	None	Pano	2154	271 3628	ask ?		j u k a + i n
6134	Kakataibo	ask (inquire)	ñukáti	ñukáti	ɲ ɯ k a + t i	None	Pano	0	271 1167	_:verbal		ɲ ɯ k a + t i
6633	Isconahua	ask (inquire)	yokai	yokai	j o k a + i	None	Pano	2153	271 591	ask _:verbal		j o k a + - i
7522	Chipaya	ask (inquire)	peku-z	peku-z	p e k u	None	Uru-Chipaya	2866	3629	?		p e k u
8108	Cavinena	ask (inquire)	baka	baka	b a k a	None	Tacana	1815	2258	ask		b a k a
8789	Tacana	ask (inquire)	quisa-ba	quisa-ba	k i s a + b a	None	Tacana	2184	274 3631	?		k i s a + b a
9145	Tsimane	ask (inquire)	jéyaqui	jéyaqui	h ẽ	None	Mosetén	2220	278	?		h ẽ
9707	Chacobo	ask (inquire)	nicahaina	nicahaina	n i k a	None	Pano	3752	5486	hear		n i k a
