ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
141	MayorunaFera	670	ROOT	ihustapon
142	MayorunaFera	730	SNAKE	dounon
143	MayorunaFera	1430	STAR	huispa
144	MayorunaFera	1343	SUN	bari
145	MayorunaFera	1173	EYEBROW	barocoupetai
146	MayorunaFera	1228	EARTH (SOIL)	mapo
147	MayorunaFera	1252	HOUSE	chrubo
148	MayorunaFera	1251	BELLY	pousa
149	MayorunaFera	1493	ONE	patxi
150	MayorunaFera	1498	TWO	dabui
151	MayorunaFera	492	THREE	macadilantan-tai
153	MayorunaFera	2009	DOG	huapa
154	MayorunaFera	925	CASSAVA	hac̹a
155	JaunAvo	1752	LEAVE	ca-tsanta
156	JaunAvo	1335	WHITE	osso
157	JaunAvo	948	WATER	oni-passna
158	JaunAvo	948	WATER	om passna
159	JaunAvo	906	TREE	j-úi
160	JaunAvo	671	SAND	maschina
161	JaunAvo	1401	DRINK	sche am
162	JaunAvo	1261	SING	paveué
163	JaunAvo	2648	HAIR (HEAD)	voôn
164	JaunAvo	1256	HEAD	mápo
165	JaunAvo	634	MEAT	name
166	JaunAvo	1329	TOMORROW	oké sabaká
167	JaunAvo	1447	GIVE	ökö a-ué
168	JaunAvo	1303	FINGER	mué toti
169	JaunAvo	962	WOMAN	jussa
170	JaunAvo	1424	YELLOW	schini roabé
171	JaunAvo	123	FOREHEAD	boe maná
172	JaunAvo	1654	LIGHTNING	cananna
173	JaunAvo	1507	FRUIT	vimin
174	JaunAvo	1287	COLD	ini
175	JaunAvo	606	GRASS	guassi
176	JaunAvo	221	FIRE	tschü
177	JaunAvo	737	LIGHT (IGNITE)	tschü uvá ué
178	JaunAvo	635	MILK	schrúma
179	JaunAvo	857	STONE	saáschu
180	JaunAvo	420	FOREST	j-úi
181	JaunAvo	1205	TONGUE	haná
182	JaunAvo	1402	BREAST	srúma
183	JaunAvo	1277	HAND	muékana
184	JaunAvo	1216	MOTHER	kai
185	JaunAvo	1222	PENIS	iná
186	JaunAvo	1403	BITE	eakö
187	JaunAvo	1221	NOSE	erö-kin
188	JaunAvo	1233	NIGHT	waskitscha
189	JaunAvo	163	BLACK	tschekö
190	JaunAvo	1301	FOOT	taé
191	JaunAvo	227	FISH	oáka
192	JaunAvo	1201	FEATHER	poe
193	JaunAvo	1201	FEATHER	poö
