ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
147	MayorunaFera	1269	NO	bamanch
148	MayorunaFera	1489	CLOUD	so-ou
149	MayorunaFera	674	MOUTH	ira
150	MayorunaFera	1301	FOOT	tahi
151	MayorunaFera	1301	FOOT	tao in lingua yarura
152	MayorunaFera	227	FISH	iapa
153	MayorunaFera	658	RAIN (PRECIPITATION)	houai-ai
154	MayorunaFera	670	ROOT	ihustapon
155	MayorunaFera	730	SNAKE	dounon
156	MayorunaFera	1430	STAR	huispa
157	MayorunaFera	1343	SUN	bari
158	MayorunaFera	1173	EYEBROW	barocoupetai
159	MayorunaFera	1228	EARTH (SOIL)	mapo
160	MayorunaFera	1252	HOUSE	chrubo
161	MayorunaFera	1251	BELLY	pousa
164	MayorunaFera	1493	ONE	patxi
165	MayorunaFera	1498	TWO	dabui
166	MayorunaFera	492	THREE	macadilantan-tai
167	MayorunaFera	1500	FOUR	daraim-pa
168	MayorunaFera	2009	DOG	huapa
169	MayorunaFera	1350	MONKEY	nahuan
172	MayorunaFera	925	CASSAVA	hac̹a
173	JaunAvo	1752	LEAVE	ca-tsanta
174	JaunAvo	1335	WHITE	osso
175	JaunAvo	948	WATER	oni-passna
176	JaunAvo	948	WATER	om passna
177	JaunAvo	906	TREE	j-úi
178	JaunAvo	671	SAND	maschina
179	JaunAvo	671	SAND	maschina
180	JaunAvo	1401	DRINK	sche am
182	JaunAvo	1261	SING	paveué
183	JaunAvo	2648	HAIR (HEAD)	voôn
184	JaunAvo	1256	HEAD	mápo
185	JaunAvo	634	MEAT	name
187	JaunAvo	1329	TOMORROW	oké sabaká
188	JaunAvo	1447	GIVE	ökö a-ué
189	JaunAvo	1303	FINGER	mué toti
190	JaunAvo	962	WOMAN	jussa
191	JaunAvo	1424	YELLOW	schini roabé
193	JaunAvo	123	FOREHEAD	boe maná
194	JaunAvo	1654	LIGHTNING	cananna
195	JaunAvo	1507	FRUIT	vimin
196	JaunAvo	1287	COLD	ini
197	JaunAvo	606	GRASS	guassi
198	JaunAvo	221	FIRE	tschü
199	JaunAvo	737	LIGHT (IGNITE)	tschü uvá ué
200	JaunAvo	635	MILK	schrúma
201	JaunAvo	857	STONE	saáschu
202	JaunAvo	420	FOREST	j-úi
203	JaunAvo	1205	TONGUE	haná
204	JaunAvo	1402	BREAST	srúma
205	JaunAvo	1277	HAND	muékana
206	JaunAvo	1216	MOTHER	kai
207	JaunAvo	1222	PENIS	iná
209	JaunAvo	1403	BITE	eakö
211	JaunAvo	1221	NOSE	erö-kin
212	JaunAvo	1233	NIGHT	waskitscha
213	JaunAvo	163	BLACK	tschekö
215	JaunAvo	1301	FOOT	taé
216	JaunAvo	227	FISH	oáka
217	JaunAvo	1201	FEATHER	poe
218	JaunAvo	1201	FEATHER	poö
219	JaunAvo	658	RAIN (PRECIPITATION)	ui
221	JaunAvo	670	ROOT	ivi tapóna
222	JaunAvo	156	RED	schini
223	JaunAvo	677	AXE	mané mosturóme
224	JaunAvo	1430	STAR	uistin
225	JaunAvo	977	ARROW	püa
226	JaunAvo	946	BLOOD	imi
227	JaunAvo	1343	SUN	baari
228	JaunAvo	1228	EARTH (SOIL)	maai
229	JaunAvo	1150	THUNDER	terénke
233	JaunAvo	1251	BELLY	puschú
234	JaunAvo	960	WIND	uenna
236	JaunAvo	1425	GREEN	iavan
237	JaunAvo	1493	ONE	aares
238	JaunAvo	1498	TWO	eranbué
239	JaunAvo	492	THREE	kimischá
240	JaunAvo	1500	FOUR	eranbue narábue
241	JaunAvo	493	FIVE	mueken tüna
242	JaunAvo	2009	DOG	tschaspa
243	JaunAvo	1936	DEER	tschassú
244	JaunAvo	641	MUSHROOM	uróo
245	JaunAvo	1208	CAT	kăman püska
246	JaunAvo	1250	JAGUAR	kămán
247	JaunAvo	974	TOBACCO	rúmoe
249	Culino	1752	LEAVE	nuncapa
251	Culino	1374	RING	yusá
252	Culino	948	WATER	yacu
253	Culino	948	WATER	kuhua
254	Culino	948	WATER	uaka
255	Culino	906	TREE	huibý
256	Culino	1733	RAINBOW	noaway
257	Culino	1408	HEAR	nighaky
259	Culino	1496	GRANDMOTHER	tschya
260	Culino	937	BIRD	tschay
261	Culino	1247	EAR	tsabynky
262	Culino	1482	SHOULDER	puümaty
263	Culino	1383	GRANDFATHER	auntia
264	Culino	1645	SHORT	tukutscha
265	Culino	980	HEEL	tautschi-tschoko
266	Culino	2648	HAIR (HEAD)	wo
268	Culino	1480	BODY	üá
269	Culino	801	RIB	bispy
270	Culino	981	ELBOW	matüká
