DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Araona	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		
Araona	1520	CRUSH	crush	machacar, aplastar		
Araona	1524	ACCOMPANY	accompany	acompañar	vinho	
Araona	1531	BRANCH	branch	rama	galho	
Araona	1533	BE HUNGRY	be hungry	hambriento	TER FOME	
Araona	1571	SELL	sell	vender	vender	
Araona	1577	AND	and	y	e	
Araona	1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	cheirar	
Araona	1588	TURN	turn	girar, voltearse	virar	
Araona	1590	WAIT (FOR)	wait (for)	esperar		
Araona	1615	ESCAPE	escape	escapar		
Araona	1625	DEAD	dead	muerto	morto	
Araona	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	
Araona	1660	LOSE	lose	perder		
Araona	1666	MUTE	mute	mudo	mudo	
Araona	1674	POOR	poor	pobre	pobre	
Araona	1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar	
Araona	1690	FENCE	fence	quitamiedos	cerca	
Araona	1711	TELL	tell	contar, narrar	dizer	
Araona	1720	SIGN	sign	marca		
Araona	1730	CHEEK	cheek	mejilla	bochecha	
Araona	1741	ABOVE	above	encima	encima	
Araona	1778	APPROACH	approach	acercarse	aproximar	
Araona	1786	DRY UP	dry up	secar	secar	
Araona	1803	WOOD	wood	madera	madeira	
Araona	1827	HARVEST CROPS	harvest crops	cosechar		
Araona	1836	VAGINA	vagina	vagina	vagina	
Araona	1837	VULVA	vulva	vulva	órgão sexual feminino	
Araona	1840	BUILD	build	construir, edificar	construir	
Araona	1844	BOAT	boat	bote	canoa	
Araona	1860	BEAD	bead	chaquira, abalorio	contas, miçanga	
Araona	1879	DANCE	dance	bailar	dançar	
Araona	1883	IN FRONT OF	in front of	delante	frente	
Araona	1913	PRESS	press	presionar	comprimir, apertar	
Araona	1937	THERE	there	allí	lá	
Araona	1955	GRIEVE	grieve	afligirse		
Araona	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	
Araona	1983	SNORE	snore	roncar	roncar, ressonar	
Araona	1986	DISEASE	disease	enfermedad (dolencia)		
Araona	1996	GET TIRED	get tired	cansar(se)		
Araona	2003	FLOW	flow	fluir, correr	fluir	
Araona	2012	COLLAR	collar	collar	colarinho	
Araona	2015	MAKE DRY	make dry	secar		
Araona	2019	HAMMOCK	hammock	hamaca, chinchorro	rede	
Araona	2069	SOAK (VERB)	soak (verb)	mojar		
Araona	2070	COMB (VERB)	comb (verb)	peinar		
Araona	2102	BURN	burn	quemar, arder	queimar	
Araona	2106	MALE PERSON	male person	varón, hombre		
Araona	2108	RAINING OR RAIN	raining or rain	lluvia		
Araona	2110	WARM (OF WEATHER)	warm (of weather)	cálido		
Araona	2112	OLD (AGED)	old (aged)	viejo		
Araona	2113	OLD (USED)	old (used)	usado		
Araona	2117	DESIRE	desire	desear		
Araona	2124	SMELL	smell	olor	cheirar	
Araona	2142	RUN AWAY	run away	escapar		
Araona	2159	GROUND	ground	piso		
Araona	2215	BECOME ANGRY	become angry	enojarse		
Araona	2223	BE ANGRY	be angry	enojado		
Araona	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		
Araona	2271	THINK	think	pensar	pensar	
Araona	2272	HOT OR WARM	hot or warm	caliente	quente	
Araona	2295	SUNSET	sunset	atardecer, puesta de sol		
Araona	2296	SUNRISE	sunrise	amanecer		
Araona	2297	DUSK	dusk	anochecer, atardecer		
Araona	2308	THIN	thin	delgado	fino	
