ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE
3178	lip	Amahuaca	Pano	cúxaa	cúxaa	k ɨ + ʂ a	3348	710 866	k ɨ ʂ - - a	mouth_prefix lip		None
3179	grow	Amahuaca	Pano	húhúhi	húhúhi	ʔ ɨ ʔ ɨ + ʔ i	2633	222 174	ʔ ɨ ʔ ɨ ʔ i	 _:verbal		None
3180	kidney	Amahuaca	Pano	taunxcó	taunxcó	t a ɨ n ʂ k ó/o	3053	1108	t a - ɨ n ʂ k ó/o			None
3181	three	Amahuaca	Pano	quimishá	quimishá	k i m i ʃ á/a	5768	11634	k i m i ʃ á/a	Q_three		None
3182	cure	Amahuaca	Pano	rahóóquin	rahóóquin	r a ʔ o.o + k i n	1289	7116 356	r a ʔ ó/o.ó/o + k i n	medicine _:verbal		None
3183	lift	Amahuaca	Pano	zánanquín	zánanquín	s á/a n a n	3265	8778	s á/a n a n	put		None
3184	maize	Amahuaca	Pano	xúqui	xúqui	ʂ ɨ k i	3464	6965	ʂ ɨ k - i			None
3185	nest	Amahuaca	Pano	náha	náha	n á/a ʔ a	3849	7734	n á/a ʔ a			None
3186	copulate	Amahuaca	Pano	háqui	háqui	ʔ á/a k i	1193	3506	ʔ á/a - - - k i			None
3187	ant	Amahuaca	Pano	jíma	jíma	h í/i m a	49	80	h í/i m a			None
3188	piss	Amahuaca	Pano	jínzonhí	jínzonhí	h í/i n + s o n	4224	8361 2150	h í/i n + s o n	penis/tail ?		None
3189	potato	Amahuaca	Pano	chonví	chonví, póva	tʃ o n β í/i	4266	8604	tʃ o n β í/i			None
3190	potato	Amahuaca	Pano	póva	chonví, póva	p ó/o β a	4268	8606	p ó/o β a			None
3191	lie (mislead)	Amahuaca	Pano	hóntzahí	hóntzahí	ʔ ó/o n ts a	3240	6511	ʔ ó/o n ts a			None
3192	hide (conceal)	Amahuaca	Pano	jónuquín	jónuquín	h ó/o n ɨ	2803	5643	h ó/o n ɨ	hide		None
3193	grass	Amahuaca	Pano	vazí	vazí	β a s í/i	2585	5170	β a - s - í/i -			None
3194	animal	Amahuaca	Pano	chítu	chítu	tʃ í/i t ɨ	38	415	- - tʃ í/i t ɨ			None
3195	lake	Amahuaca	Pano	hínyanún	hínyanún	ʔ í/i n j a n ɨ n	3125	6265	ʔ í/i n j a n ɨ n			None
3196	leaf	Amahuaca	Pano	púhi	púhi	p ɨ + ʔ i	3169	355 1039	p ɨ + ʔ i	:back_prefix wing		None
3197	light (radiation)	Amahuaca	Pano	nutú	nutú	n ɨ t ɨ	3306	204	n ɨ t ɨ	day		None
3198	lizard	Amahuaca	Pano	tuó	tuó, xavó	t ɨ ó/o	3362	6768	t ɨ ó/o			None
3199	lizard	Amahuaca	Pano	xavó	tuó, xavó	ʂ a β ó/o	3364	6770	ʂ a - β ó/o			None
3200	mountain	Amahuaca	Pano	níhi	níhi	n í/i ʔ i	3659	7367	n í/i ʔ i - -			None
3201	ash	Amahuaca	Pano	chíhimapó	chíhimapó	tʃ í/i ʔ i + m a p ó/o	131	238 237	tʃ í/i ʔ i + m a ( - ) p ó/o	fire dust		None
3202	rain (precipitation)	Amahuaca	Pano	hóvi	hóvi	ʔ ó/o β i	4375	319	ʔ ó/o β i	water		None
3203	bee	Amahuaca	Pano	máno	máno, shára	m á/a n o	339	492	m á/a n o -	bee		None
3204	bee	Amahuaca	Pano	shára	máno, shára	ʃ á/a r a	342	5748	ʃ á/a r a	bee		None
3205	river	Amahuaca	Pano	junú	junú, páro	h ɨ n ɨ	4521	315	h ɨ n ɨ	water		None
3206	river	Amahuaca	Pano	páro	junú, páro	p á/a r o	4530	1198	p á/a r o			None
3207	root	Amahuaca	Pano	tápon	tápon	t á/a + p o n	4559	981 3166	t á/a + p o n	:root root		None
3208	sand	Amahuaca	Pano	míshpopán	míshpopán	m í/i ʃ p o + p á/a n	4657	444 2130	m í/i ʃ p o + p á/a n	ash ?		None
3209	mouth	Amahuaca	Pano	cúxacún	cúxacún	k ɨ + ʂ a + k ɨ n	3681	710 866 639	k ɨ ʂ a k ɨ n	mouth_prefix lip ?		None
3210	axe	Amahuaca	Pano	rovú	rovú, yamí	r o β ɨ	162	327	r o β ɨ			None
3211	axe	Amahuaca	Pano	yamí	rovú, yamí	j a m í/i	164	329	j a m í/i			None
3212	beard	Amahuaca	Pano	cuní	cuní	k ɨ + n í/i	301	710 697	k ɨ n í/i	mouth_prefix beard		None
3213	bright	Amahuaca	Pano	shívisháraa	shívisháraa	ʃ í/i β i ʃ á/a r a	694	3066	ʃ í/i β i ʃ á/a r a			None
3214	break (destroy or get destroyed)	Amahuaca	Pano	tóshiihí	tóshiihí	t ó/o ʃ i.i	639	1273	t ó/o ʃ i i			None
3215	side	Amahuaca	Pano	pára	pára	p á/a r a	5007	10034	p á/a r a - -			None
3216	lung	Amahuaca	Pano	tánxan	tánxan	t á/a n + ʂ a n	3453	1092 1091	t á/a n + ʂ a n	intestines organ		None
3217	bring	Amahuaca	Pano	vúquin	vúquin	β ɨ + k i n	715	184 356	β ɨ + k i n	come _:verbal		None
3218	get	Amahuaca	Pano	háchiquín	háchiquín	ʔ á/a tʃ i	2420	3262	ʔ á/a tʃ i			None
3219	go	Amahuaca	Pano	cáhi	cáhi, vóhi	k á/a + ʔ i	2502	5004 174	k á/a ʔ i	go _:verbal		None
3220	go	Amahuaca	Pano	vóhi	cáhi, vóhi	β ó/o + ʔ i	2507	5005 174	β ó/o ʔ i	go _:verbal		None
3221	carry	Amahuaca	Pano	híyaaquín	híyaaquín	ʔ í/i + j a	842	2098 943	ʔ í/i + j a	directed_movement ?		None
3222	clean	Amahuaca	Pano	joxó	joxó	h o ʂ ó/o	1012	12722	h o ʂ ó/o	white		None
3223	go up (ascend)	Amahuaca	Pano	hínaahí	hínaahí	ʔ í/i + n a	2547	2098 1202	ʔ í/i + n a	directed_movement _:verbal		None
3224	dark	Amahuaca	Pano	cúchuxún	cúchuxún	k ɨ tʃ ɨ ʂ ɨ n	1346	982	k ɨ tʃ ɨ ʂ ɨ n -			None
3225	remember	Amahuaca	Pano	shínanhí	shínanhí	ʃ í/i n a.n	4440	351	ʃ í/i n a n	think/remember		None
3226	shine	Amahuaca	Pano	shivínquin	shivínquin	ʃ i β í/i n + k i n	4855	3043 356	ʃ i β í/i n + k i n	 _:verbal		None
3227	steal	Amahuaca	Pano	víhanquín	víhanquín	β í/i ʔ a n	5446	3556	β í/i ʔ a n			None
3228	seed	Amahuaca	Pano	juxú	juxú	h ɨ ʂ ɨ	4717	9508	h ɨ ʂ ɨ -	seed		None
3229	shout	Amahuaca	Pano	cáxaahí	cáxaahí	k á/a ʂ a	4957	675	k á/a - ʂ a -	shout		None
3230	sweet	Amahuaca	Pano	vatá	vatá	β a t á/a	5585	494	- β a t - - á/a	bee		None
3231	find	Amahuaca	Pano	ránanquín	ránanquín	r á/a n a n	2012	4064	r á/a n a n			None
3232	first	Amahuaca	Pano	jáviz	jáviz	h á/a β i s	2081	2804	h á/a β i s			None
3233	snake	Amahuaca	Pano	ronó	ronó	r o n ó/o	5191	10442	r o n ó/o			None
3234	beverage	Amahuaca	Pano	háyatí	háyatí	ʔ á/a j a + t í/i	434	3126 547	ʔ á/a j a	drink _:n_rel/instr		None
3235	owl	Amahuaca	Pano	popó	popó, xoxó	p o p ó/o	4077	8195	p o - p ó/o - -	owl		None
3236	owl	Amahuaca	Pano	xoxó	popó, xoxó	ʂ o ʂ ó/o	4087	8205	ʂ o ʂ ó/o			None
3237	light (ignite)	Amahuaca	Pano	jurúúquin	jurúúquin	h ɨ r ɨ + ɨ k i n	3286	78 253	h ɨ r ɨ + ɨ k i n	burn burn		None
3238	egg	Amahuaca	Pano	vachí	vachí	β a tʃ í/i	1676	3368	β a tʃ - í/i	egg		None
3239	enter	Amahuaca	Pano	jíquihí	jíquihí	h í/i k i	1739	3486	h í/i k i			None
3240	cover	Amahuaca	Pano	vúniquín	vúniquín	β ɨ n i	1225	2470	β ɨ n i			None
3241	outside	Amahuaca	Pano	júmannáqui	júmannáqui	h ɨ m a n n á/a k i	4063	2290	h ɨ m a n n á/a k i			None
3242	skin	Amahuaca	Pano	xácacún	xácacún	ʂ á/a k a	5065	552	ʂ á/a k a	skin		None
3243	move	Amahuaca	Pano	vánahí	vánahí, xúcuuhi	β á/a n a	3691	8550	β á/a n a	move/plant		None
3244	move	Amahuaca	Pano	xúcuuhi	vánahí, xúcuuhi	ʂ ɨ k ɨ + ɨ ʔ i	3692	7430 151	ʂ ɨ k ɨ ɨ ʔ i			None
3245	belt	Amahuaca	Pano	chínuxúti	chínuxúti	tʃ í/i + n ɨ ʂ ɨ + t i	394	796 1648 547	tʃ í/i + n ɨ ʂ ɨ t i	 ? _:n_rel/instr		None
3246	flute	Amahuaca	Pano	rúú	rúú	r ɨ ɨ	2187	4424	r ɨ - ɨ	flute		None
3247	smoke (exhaust)	Amahuaca	Pano	cóhin	cóhin	k ó/o ʔ i n	5149	1211	k ó/o ʔ i n -	cloud		None
3248	fear (fright)	Amahuaca	Pano	rácuu	rácuu	r á/a k ɨɨ	1922	3901	r á/a k ɨ ɨ			None
3249	testicles	Amahuaca	Pano	jóvo	jóvo	h ó/o β o	5673	11389	h ó/o β o - - -			None
3250	jaw	Amahuaca	Pano	cóvii	cóvii	k ó/o + β i i	3009	737 735	k ó/o - β i - - - - i	jaw mouth		None
3251	rib	Amahuaca	Pano	pishí	pishí, rúmacó	p i ʃ í/i	4465	9009	p i ʃ í/i	side/rib		None
3252	rib	Amahuaca	Pano	rúmacó	pishí, rúmacó	r ɨ m a k ó/o	4474	9020	r ɨ m a k ó/o			None
3253	half	Amahuaca	Pano	caxcú	caxcú	k a ʂ k ɨ	2667	5339	k a ʂ k ɨ -	half		None
3254	stomach	Amahuaca	Pano	chinxánto	chinxánto	tʃ i n ʂ á/a n t o	5468	10980	tʃ i n ʂ á/a n t o			None
3255	roll	Amahuaca	Pano	chíyuxcúhuhi	chíyuxcúhuhi	tʃ í/i j ɨ ʂ k ɨ ʔ ɨ ʔ i	4531	9133	tʃ í/i j ɨ ʂ k ɨ ʔ ɨ ʔ i			None
3256	buttocks	Amahuaca	Pano	chixó	chixó	tʃ i + ʂ ó/o	796	1130 1132	tʃ i + ʂ ó/o	ass_prefix ass		None
3257	blue	Amahuaca	Pano	náva	náva	n á/a β a	558	1098	- - n - á/a β a	blue/green		None
3258	spider	Amahuaca	Pano	múncha	múncha	m ɨ n tʃ a	5306	10657	m ɨ n tʃ a			None
3259	stone	Amahuaca	Pano	máncan	máncan	m á/a n k a n	5486	11010	m á/a n k a n -			None
3260	pumpkin	Amahuaca	Pano	váran	váran	β á/a r a n	4310	8678	β á/a r a n			None
3261	cough	Amahuaca	Pano	hócohí	hócohí	ʔ ó/o k o	1215	1144	- - ʔ ó/o k - - o	cough		None
3262	bitter	Amahuaca	Pano	hátimá	hátimá	ʔ á/a t i m á/a	495	957	ʔ á/a t i m á/a			None
3263	tree	Amahuaca	Pano	jíí	jíí	h í/i í/i	5929	72	h í/i - í/i	tree		None
3264	drum	Amahuaca	Pano	tamóra	tamóra	t a m ó/o r a	1582	3148	t a m - ó/o r a			None
3265	chili pepper	Amahuaca	Pano	yochí	yochí	j o tʃ í/i	980	1984	- j o tʃ í/i			None
3266	love	Amahuaca	Pano	cúunhí	cúunhí	k ɨ ɨ.n	3438	12394	k ɨ ɨ.n	want		None
3267	cassava	Amahuaca	Pano	hátza	hátza	ʔ á/a ts a	859	1694	ʔ á/a ts a			None
3268	embrace	Amahuaca	Pano	hícoquín	hícoquín	ʔ í/i k o	1696	3419	ʔ í/i k o			None
3269	bird	Amahuaca	Pano	hítzaa	hítzaa	ʔ í/i ts a	468	907	ʔ í/i - ts a - -			None
3270	honey	Amahuaca	Pano	jayá	jayá, míshquin	h a j á/a	2860	3126	h a j á/a	drink		None
3271	honey	Amahuaca	Pano	míshquin	jayá, míshquin	m í/i ʃ + k i n	2867	1550 356	m í/i ʃ + k i n	 _:verbal		None
3272	blood	Amahuaca	Pano	jimí	jimí	h i m í/i	529	1031	h i m í/i	blood		None
3273	water	Amahuaca	Pano	junú	junú, vacónhma	h ɨ n ɨ	6166	315	h ɨ n ɨ	water		None
3274	water	Amahuaca	Pano	vacónhma	junú, vacónhma	β a k ó/o n ʔ m a	6176	12493	β a k ó/o n ʔ m a			None
3275	flee	Amahuaca	Pano	hónuuhi	hónuuhi	ʔ ó/o n ɨ ɨ ʔ i	2126	4308	ʔ ó/o n ɨ ɨ ʔ i			None
3276	wind	Amahuaca	Pano	níyu	níyu	n í/i j ɨ	6323	12832	n í/i j ɨ			None
3277	woman	Amahuaca	Pano	xáno	xáno	ʂ á/a n o	6343	133	ʂ á/a n o	woman		None
3278	arrow	Amahuaca	Pano	piyá	piyá	p i j á/a	121	211	p i j á/a			None
3279	heel	Amahuaca	Pano	táhu-chípon	táhu-chípon	t á/a ʔ ɨ + tʃ í/i + p o n	2766	981 990 3166	t á/a - ʔ ɨ + tʃ - í/i p o n - -	foot heel root		None
3280	elbow	Amahuaca	Pano	vapóxco	vapóxco	β a + p ó/o ʂ k o	1686	942 1146	β a + p ó/o ʂ + k o	undefined elbow		None
3281	bow	Amahuaca	Pano	chíyun	chíyun, yóhirí	tʃ í/i j ɨ n	603	1187	tʃ í/i j ɨ n			None
3282	bow	Amahuaca	Pano	yóhirí	chíyun, yóhirí	j ó/o ʔ i r í/i	614	1196	j ó/o ʔ i r í/i			None
3283	deaf	Amahuaca	Pano	páta	páta	p á/a t a	1404	2807	p á/a - t a			None
3284	put	Amahuaca	Pano	ratánquin	ratánquin, váquin	r a t á/a n + k i n	4355	8777 356	r a t á/a n + k i n	 _:verbal		None
3285	put	Amahuaca	Pano	váquin	ratánquin, váquin	β á/a + k i n	4372	130 356	β á/a + k i n	arm _:verbal		None
3286	bridge	Amahuaca	Pano	júnxaa-pócutá	júnxaa-pócutá	h ɨ n ʂ a + p ó/o k ɨ t á/a	683	1359 3295	h ɨ n ʂ a + p ó/o k ɨ t á/a			None
3287	right	Amahuaca	Pano	múztun	múztun	m ɨ + s t ɨ n	4475	948 2481	m ɨ s t ɨ n	hand_prefix ?		None
3288	whistle	Amahuaca	Pano	xúiquín	xúiquín	ʂ ɨ i	6259	12692	ʂ ɨ ( - ) i ( - )			None
3289	grind	Amahuaca	Pano	rúnuquin	rúnuquin	r ɨ n ɨ + k i n	2614	5222 356	r ɨ n ɨ + k i n	grind _:verbal		None
3290	good	Amahuaca	Pano	sháracún	sháracún	ʃ á/a r a + k ɨ n	2564	5135 3987	ʃ á/a r a k ɨ n			None
3291	increase	Amahuaca	Pano	vóhoquín	vóhoquín	β ó/o ʔ o	2980	5998	β ó/o ʔ o			None
3292	shut	Amahuaca	Pano	cúntuquín	cúntuquín	k ɨ n t ɨ	4976	9976	k ɨ n t ɨ			None
3293	pursue	Amahuaca	Pano	chívanquín	chívanquín	tʃ í/i β a n	4319	1917	tʃ í/i β a n	follow		None
3294	call	Amahuaca	Pano	cúnaahí	cúnaahí	k ɨ n a	822	1613	k ɨ - n a -	call		None
3295	light (weight)	Amahuaca	Pano	vachó	vachó, xatá	β a tʃ ó/o	3323	3767	β a - - tʃ ó/o			None
3296	light (weight)	Amahuaca	Pano	xatá	vachó, xatá	ʂ a t á/a	3327	6666	- - ʂ a t á/a			None
3297	trap (pitfall)	Amahuaca	Pano	mávan	mávan	m á/a β a n	5911	11937	m á/a β a n			None
3298	follow	Amahuaca	Pano	chíronváhinquin	chíronváhinquin	tʃ í/i r o n β á/a ʔ i n + k i n	2245	4533 356	tʃ í/i r o n β á/a ʔ i n + k i n	 _:verbal		None
3299	work (activity)	Amahuaca	Pano	yónchí	yónchí	j ó/o n tʃ í/i	6362	12924	j ó/o n tʃ - í/i			None
3300	fasten	Amahuaca	Pano	cátaxquín	cátaxquín	k á/a t a ʂ	1897	3838	k á/a t a ʂ			None
3301	cook (something)	Amahuaca	Pano	jováquin	jováquin	h o β á/a + k i n	1157	2324 356	h o β á/a + k i n	 _:verbal		None
3302	go out	Amahuaca	Pano	cáinhí	cáinhí, jóconhí	k á/ai.n	2531	5004	k á/a i n	go		None
3303	go out	Amahuaca	Pano	jóconhí	cáinhí, jóconhí	h ó/o + k o n	2543	2261 2160	h ó/o + k o n	come ?		None
3304	wound	Amahuaca	Pano	chóro	chóro	tʃ ó/o r o	6386	12969	tʃ ó/o r o			None
3305	send	Amahuaca	Pano	níchinquín	níchinquín	n í/i tʃ i n	4748	9573	n í/i tʃ i n			None
3306	orphan	Amahuaca	Pano	hivóma	hivóma	ʔ i β ó/o + m a	4047	407 809	ʔ i β ó/o +  m a	 neg		None
3307	open	Amahuaca	Pano	vúpunquín	vúpunquín	β ɨ + p ɨ n	4028	681 2767	β ɨ + p ɨ n	eye/round ?		None
3308	because	Amahuaca	Pano	cuzánon	cuzánon	k ɨ s á/a + n o n	316	4106 1545	k ɨ s á/a n o n			None
3309	thread	Amahuaca	Pano	jóco	jóco, yómun	h ó/o k o	5756	11606	h ó/o k o			None
3310	thread	Amahuaca	Pano	yómun	jóco, yómun	j ó/o m ɨ n	5758	11608	j ó/o m ɨ n			None
3311	ghost	Amahuaca	Pano	yóshin	yóshin	j ó/o ʃ i.n	2448	1209	j ó/o ʃ i n	ghost		None
3312	palm of hand	Amahuaca	Pano	múcun-nátaa	múcun-nátaa	m ɨ + k ɨ n + n á/a t a	4098	948 949 945	m ɨ + k ɨ n + n á/a t a	hand_prefix hand palm		None
3313	give birth	Amahuaca	Pano	vácu-víquin	vácu-víquin	β á/a k ɨ + β í/i + k i n	2490	360 4990 356	β á/a k ɨ + β í/i + k i n	child ? _:verbal		None
3314	many	Amahuaca	Pano	cáhtin	cáhtin	k á/a ʔ t i n	3483	7016	k á/a ʔ t i n			None
3315	wife	Amahuaca	Pano	háin	háin	ʔ.á/a i.n	6308	12803	ʔ á/a i n			None
3316	husband	Amahuaca	Pano	vunú	vunú	β ɨ n ɨ	2959	4252	β ɨ n ɨ	marry		None
3317	feather	Amahuaca	Pano	ráni	ráni	r á/a n i	1937	708	r á/a - n i	hair		None
3318	big	Amahuaca	Pano	tóha	tóha	t ó/o ʔ a	446	2551	t ó/o ʔ - a			None
3319	long	Amahuaca	Pano	chaítan	chaítan	tʃ a í/i + t a n	3379	2594 2607	tʃ a + í/i t a n	long ?		None
3320	bark	Amahuaca	Pano	ráxvii	ráxvii	r á/a ʂ β i i	223	453	r á/a ʂ β i i			None
3321	tongue	Amahuaca	Pano	jána	jána	h á/a n a	5859	645	h - á/a n a	mouth		None
3322	young	Amahuaca	Pano	máxco	máxco, xóó	m á/a ʂ k o	6502	2823	m á/a ʂ k o	small		None
3323	young	Amahuaca	Pano	xóó	máxco, xóó	ʂ ó/o ó/o	6516	12123	- ʂ ó/o - - - ó/o	unripe		None
3324	cat	Amahuaca	Pano	mishííto	mishííto	m i ʃ í/i í/i t o	866	1717	m i - ʃ í/i í/i t o			None
3325	i	Amahuaca	Pano	hún	hún	ʔ ɨ n	2966	413	ʔ - ɨ n	1sg		None
3326	heavy	Amahuaca	Pano	hiyú	hiyú	ʔ i j ɨ	2756	5534	ʔ i j ɨ			None
3327	we	Amahuaca	Pano	nón	nón	n ó/o n	6182	12527	n ó/o - - ( n )	1sg_pl		None
3328	you	Amahuaca	Pano	mán	mán	m á/a n	6494	13162	m á/a n - - - -	2sg_pl		None
3329	thou	Amahuaca	Pano	mín	mín	m í/i + n	5752	11571 1747	m í/i + n	2sg pl		None
3330	mother	Amahuaca	Pano	-ha	-ha	ʔ a	3648	7343	ʔ a			None
3331	father	Amahuaca	Pano	húpa	húpa	ʔ ɨ p a	1915	3875	( - - ) ʔ ɨ p a - -			None
3332	rope	Amahuaca	Pano	nínxo	nínxo, nishí	n í/i n ʂ o	4570	9224	n í/i n ʂ o			None
3333	rope	Amahuaca	Pano	nishí	nínxo, nishí	n i ʃ í/i	4570	9224	n i - ʃ í/i	rope		None
3334	worm	Amahuaca	Pano	xúna	xúna	ʂ ɨ n a	6372	12939	ʂ ɨ n a			None
3335	tail	Amahuaca	Pano	jína	jína	h í/i n + a	5618	8361 2779	h í/i n + a	penis/tail :penis/tail		None
3336	nose	Amahuaca	Pano	rúquin	rúquin	r ɨ + k i n	3896	3533 666	r ɨ - - k i n -	nose_prefix nose		None
3337	penis	Amahuaca	Pano	vóxqui	vóxqui	β ó/o ʂ k i	4149	8359	β ó/o - ʂ k i -			None
3338	heart	Amahuaca	Pano	jóvintí	jóvintí	h ó/o β i n + t í/i	2747	1344 547	h ó/o β i n + t í/i	breathe _:n_rel/instr		None
3339	liver	Amahuaca	Pano	tacá	tacá	t a + k á/a	3357	1092 1093	t a + k á/a	intestines liver		None
3340	day (not night)	Amahuaca	Pano	hóxaa	hóxaa, nutú	ʔ ó/o ʂ a	1385	10197	ʔ ó/o ʂ a	sleep		None
3341	day (not night)	Amahuaca	Pano	nutú	hóxaa, nutú	n ɨ t ɨ	1387	204	n ɨ t - - - - ɨ	day		None
3342	year	Amahuaca	Pano	vári-xútuu	vári-xútuu	β á/a r i + ʂ ɨ t ɨɨ	6432	51 2975	β á/a r i - - - - + ʂ ɨ t ɨ ɨ	sun/moon ?		None
3343	old	Amahuaca	Pano	xuní	xuní	ʂ ɨ n í/i	3929	7918	ʂ ɨ n - - í/i	old		None
3344	dirty	Amahuaca	Pano	cháho	cháho	tʃ á/a ʔ o	1493	2976	tʃ á/a ʔ o			None
3345	new	Amahuaca	Pano	vúnaa	vúnaa	β ɨ n a	3861	7762	β ɨ - n a			None
3346	night	Amahuaca	Pano	yámuu	yámuu	j á/a m ɨɨ	3875	7791	j á/a m ɨ ɨ	night		None
3347	smooth	Amahuaca	Pano	váton	váton	β á/a t o n	5166	10394	β á/a t o n			None
3348	who	Amahuaca	Pano	tzóva	tzóva	ts ó/o β a	6282	12747	ts ó/o - β a -			None
3349	what	Amahuaca	Pano	jáí	jáí	h á/a í/i	6215	4126	- - h á/a - í/i			None
3350	where	Amahuaca	Pano	ráni	ráni, ráqui	r á/a n i	6244	4147	r á/a - n i			None
3351	where	Amahuaca	Pano	ráqui	ráni, ráqui	r á/a k i	6244	4157	r á/a - k i			None
3352	when	Amahuaca	Pano	canón	canón	k a n ó/o n	6228	4134	- - - k a n ó/o n	when		None
3353	how	Amahuaca	Pano	cuzá	cuzá	k ɨ s á/a	2913	4106	- k ɨ s - á/a			None
3354	not	Amahuaca	Pano	jiyá	jiyá, yamá	h i j á/a	3908	3228	h i j á/a - - -	not		None
3355	not	Amahuaca	Pano	yamá	jiyá, yamá	j a m á/a	3908	7820	j a m á/a - - -	neg		None
3356	some	Amahuaca	Pano	túxu	túxu	t ɨ ʂ ɨ	5246	3963	t ɨ ʂ - ɨ	some/few		None
3357	few	Amahuaca	Pano	míshtin	míshtin	m í/i ʃ t i n	1950	2737	m í/i ʃ t i n -			None
3358	thick	Amahuaca	Pano	cúvin	cúvin	k ɨ β i n	5705	11469	k ɨ β i n			None
3359	small	Amahuaca	Pano	jaztó	jaztó, míshtin	h a s t ó/o	5110	2570	h a - - s t ó/o -			None
3360	small	Amahuaca	Pano	míshtin	jaztó, míshtin	m í/i ʃ t i n	5125	2574	m í/i - - ʃ t i n			None
3361	ear	Amahuaca	Pano	pavínqui	pavínqui	p a β í/i + n k i	1644	665 837	p a β í/i n k i	ear poss?		None
3362	eye	Amahuaca	Pano	vúro	vúro	β ɨ + r o	1771	681 608	β ɨ r o	eye/round eye		None
3363	belly	Amahuaca	Pano	chinxantó	chinxantó, xánquin	tʃ i n + ʂ a n + t ó/o	371	3210 1091 3211	tʃ i n	squeeze organ ?		None
3364	belly	Amahuaca	Pano	xánquin	chinxantó, xánquin	ʂ á/a n + k i n	379	1091 3206	ʂ á/a n k i n	organ ?		None
3365	house	Amahuaca	Pano	tápaz	tápaz	t á/a p a s	2900	5833	t á/a p a s			None
3366	head	Amahuaca	Pano	mápo	mápo; ma	m á/a + p o	2726	707 3159	m á/a + p o	:head head/brain		None
3368	wing	Amahuaca	Pano	púhi	púhi	p ɨ + ʔ i	6334	355 1039	p ɨ + ʔ i	:back_prefix wing		None
3369	fingernail	Amahuaca	Pano	jontzíz	jontzíz, muntzíz	h o + n ts í/i s	2038	4117 950	h o + n ts í/i s	 nail		None
3370	fingernail	Amahuaca	Pano	muntzíz	jontzíz, muntzíz	m ɨ + n ts í/i s	2038	948 950	m ɨ n ts í/i s - -	hand_prefix nail		None
3371	sing	Amahuaca	Pano	vúahí	vúahí	β ɨ a	5025	10070	β ɨ a			None
3372	yes	Amahuaca	Pano	júnhun	júnhun	h ɨ n ʔ ɨ n	6459	4092	h ɨ n ʔ ɨ n -			None
3373	no	Amahuaca	Pano	máqui	máqui, jiyá	m á/a k i	3888	4097	- - - m á/a - k i -			None
3374	no	Amahuaca	Pano	jiyá	máqui, jiyá	h i j á/a	3895	3228	h i j á/a	not		None
3375	salt	Amahuaca	Pano	tashí	tashí	t a ʃ í/i	4649	9369	t a ʃ í/i	salt		None
3376	hand	Amahuaca	Pano	múcun	múcun	m ɨ + k ɨ n	2691	948 949	m ɨ k ɨ n - -	hand_prefix hand		None
3377	vomit	Amahuaca	Pano	jánanquín	jánanquín	h á/a n a n	6049	1240	h á/a n a n - -	vomit		None
3378	fall	Amahuaca	Pano	pácuuhí	pácuuhí	p á/a k ɨ.ɨ	1825	5043	p á/a k ɨ ɨ	go_down		None
3379	hot	Amahuaca	Pano	hítziz	hítziz	ʔ í/i ts i s	2888	5806	ʔ í/i ts i s -			None
3380	cold	Amahuaca	Pano	matzí	matzí	m a ts í/i	1090	2191	m a ts - - í/i	cold		None
3381	back	Amahuaca	Pano	catú	catú	k a + t ɨ	193	208 394	k a + t ɨ	:back-prefix bow		None
3382	bad	Amahuaca	Pano	híromá	híromá	ʔ í/i r o + m á/a	206	3996 809	ʔ í/i r o + m á/a	 neg		None
3383	leg	Amahuaca	Pano	vítaxún	vítaxún, quíshtuu	β í/i t a ʂ ɨ n	3212	6451	β í/i - t a ʂ ɨ n			None
3384	leg	Amahuaca	Pano	quíshtuu	vítaxún, quíshtuu	k í/i ʃ t ɨ ɨ	3225	980	k í/i ʃ t ɨ ɨ	leg		None
3385	foot	Amahuaca	Pano	táhu	táhu	t á/a + ʔ ɨ	2278	981 3163	t á/a + ʔ ɨ	:root foot		None
3386	finger	Amahuaca	Pano	múcun	múcun	m ɨ + k ɨ n	2023	948 949	m ɨ k ɨ n -	hand_prefix hand		None
3387	child (young human)	Amahuaca	Pano	vacú	vacú	β a k ɨ	969	360	β a k ɨ	child		None
3388	language	Amahuaca	Pano	jóvi	jóvi	h ó/o β i	3131	6287	h ó/o β i	tell		None
3389	moon	Amahuaca	Pano	hóxu	hóxu	ʔ ó/o ʂ ɨ	3619	7274	ʔ ó/o ʂ - ɨ	moon		None
3390	chicken	Amahuaca	Pano	hátapá	hátapá	ʔ á/a t a p á/a	941	1895	ʔ á/a t a - - p á/a			None
3391	slip	Amahuaca	Pano	tayánzqui	tayánzqui	t a j á/a + n s k i	5087	2001 2128	t a j á/a n s k i	slip ?		None
3392	friend	Amahuaca	Pano	jaquínhti	jaquínhti	h a k í/i n ʔ t i	2340	3598	h a k í/i n ʔ t i -			None
3393	neck	Amahuaca	Pano	túxo	túxo	t ɨ + ʂ o	3813	683 731	t ɨ ʂ - - o -	neck neck		None
3394	white	Amahuaca	Pano	joxó	joxó	h o ʂ ó/o	6272	12722	h o ʂ ó/o - -	white		None
3395	eat	Amahuaca	Pano	cócoquín	cócoquín, jírihí	k ó/o + k o	1664	1420 1420	k ó/o k o			None
