ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE
50	person	EseEjja	Tacana	-dexa	-dexa	d e x a	4166	296	d e x a -	person		None
51	person	EseEjja	Tacana	-pona	-pona	p o n a	4174	127	p o n a	woman		None
52	man	EseEjja	Tacana	e-ɗexa	e-ɗexa	ɗ e x a	3475	296	ɗ e x a -	person		None
53	woman	EseEjja	Tacana	e-pona	e-pona	p o n a	6344	127	p o n a	woman		None
55	boy	EseEjja	Tacana	e-šoʔi-dexa	e-šoʔi-dexa	ʃ o ʔ i + d e x a	619	96 296	( - ) ʃ o ʔ i + d e x a	young person		None
56	young man	EseEjja	Tacana	ešoʔi	ešoʔi	ʃ o ʔ i	6524	96	( - ) ʃ o ʔ i	young		None
57	young man	EseEjja	Tacana	ošoʔi-yawe	ošoʔi-yawe	o ʃ o ʔ i + j a w e	6524	96 5940	( o ) ʃ o ʔ i + j a w e	 marry		None
58	girl	EseEjja	Tacana	e-šoʔi-pona	e-šoʔi-pona	ʃ o ʔ i + p o n a	2465	96 127	( - ) ʃ o ʔ i + p o n a	young woman		None
59	young woman	EseEjja	Tacana	ešoʔipona	ešoʔipona	ʃ o ʔ i + p o n a	6538	96 127	( - ) ʃ o ʔ i + p o n a	young woman		None
60	child (young human)	EseEjja	Tacana	e-ɓakʷa	e-ɓakʷa	ɓ a kʷ a	969	360	ɓ a kʷ a	child		None
61	child (young human)	EseEjja	Tacana	e-šoʔinee	e-šoʔinee	ʃ o ʔ i + n ee	978	96 126	ʃ o ʔ i + n e e	young ?		None
62	baby	EseEjja	Tacana	ešoʔi	ešoʔi	ʃ o ʔ i	185	96	( - ) ʃ o ʔ i	young		None
63	husband	EseEjja	Tacana	e-yawe	e-yawe	j a w e	2960	5940	j a w e	marry		None
64	husband	EseEjja	Tacana	e-yawi	e-yawi	j a w i	2960	5940	j a w i	marry		None
65	wife	EseEjja	Tacana	e-wanase	e-wanase	w a n a + s e	6313	7052 1596	w a n a + s e	marry ?		None
66	wife	EseEjja	Tacana	činani	činani	tʃ i n a n i	6321	12807	tʃ i n a ( n i )			None
67	marry	EseEjja	Tacana	xawanaki-	xawanaki-	x a w a n a + k i	3511	7052 1425	x a w a n a k i	marry go		None
68	marry	EseEjja	Tacana	xawiaki-	xawiaki-	x a w i a + k i	3511	7052 1425	x a w i a k i	marry go		None
69	father	EseEjja	Tacana	kaka	kaka	k a k a	1918	3877	k a k a			None
70	mother	EseEjja	Tacana	nae	nae	n a e	3654	7349	- n a e	mother		None
71	older brother	EseEjja	Tacana	e-ɗoe	e-ɗoe	ɗ o e	3979	8009	ɗ o e			None
72	older brother	EseEjja	Tacana	e-nono	e-nono	n o n o	3980	8010	n o n o	older_brother		None
73	younger brother	EseEjja	Tacana	čawa	čawa	tʃ a w a	6553	1956	tʃ a w a	child		None
74	older sister	EseEjja	Tacana	xoʔi	xoʔi	x o ʔ i	3989	377	x o ʔ i -			None
75	older sister	EseEjja	Tacana	šewi	šewi	ʃ e w i	3997	7918	ʃ e w i	old		None
76	younger sister	EseEjja	Tacana	čewi	čewi	tʃ e w i	6570	13312	tʃ e w i			None
77	old man	EseEjja	Tacana	e-dexa-tii	e-dexa-tii	d e x a + t i i	3947	296 7921	d e x a + t i i	person old		None
78	old woman	EseEjja	Tacana	e-pona-tii	e-pona-tii	p o n a + t i i	3965	127 7921	p o n a + t i i	woman old		None
79	orphan	EseEjja	Tacana	nae'ma	nae'ma	n a e + m a	4051	7349 404	n a e + m a	mother neg		None
80	orphan	EseEjja	Tacana	či'ma	či'ma	tʃ i + m a	4061	8146 404	tʃ i + m a	 neg		None
81	orphan	EseEjja	Tacana	e-či-mano	e-či-mano	tʃ i + m a n o	4062	8146 6345	tʃ i + m a n o -	 die		None
82	i	EseEjja	Tacana	e	e	e	2972	413	j a	1sg		None
