CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM	DOCULECT
1392	LOUSE	louse	piojo	piolho	hia, cai	Capanahua
624	LAKE	lake	lago	lago	hian	Capanahua
749	ENTER	enter	entrar	entrar	hihquihi, hihcohi	Capanahua
937	BIRD	bird	pájaro, ave	pássaro, ave	hihsá	Capanahua
1491	MOUSE	mouse	ratón	camundongo	hihshan	Capanahua
1210	HEAVY	heavy	pesado	pesado	hihué	Capanahua
1052	LIGHT (WEIGHT)	light (weight)	liviano, ligero (que pesa poco)	leve	hihuema	Capanahua
692	BRING	bring	traer	trazer	hihuequin, bequin	Capanahua
1447	GIVE	give	dar	dar	hinanquin, bihmaquin	Capanahua
1185	VULTURE	vulture	buitre	urubu, abutre	hishmin	Capanahua
1847	SICK	sick	estar enfermo	doente, doença	hisini	Capanahua
2009	DOG	dog	perro	cão, cachorro	hochiti	Capanahua
1406	FAR	far	lejos	longe	hochó, hojno	Capanahua
879	COUGH	cough	toser	tossir	hocohi, hihtani	Capanahua
658	RAIN (PRECIPITATION)	rain (precipitation)	lluvia	chuva	hoi	Capanahua
2108	RAINING OR RAIN	raining or rain	lluvia		hoihi	Capanahua
1410	KNOW (SOMETHING)	know (something)	saber	saber	honanquin	Capanahua
1388	SHADE	shade	sombra	sombra	hota	Capanahua
2374	DREAM	dream	sueño	SONHO / SONHAR	hoxa	Capanahua
1585	SLEEP	sleep	dormir	dormir	hoxahi	Capanahua
1313	MOON	moon	luna	lua	hoxné	Capanahua
203	MARRY	marry	casarse	casar	huanohi, benohi	Capanahua
1839	CRY	cry	llorar	chorar	huaohihqui, jiihihqui	Capanahua
864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo	moranga	huaran	Capanahua
1454	WIPE	wipe	limpiar		huasaquin, horoquin, chishcoquin	Capanahua
680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	romper	romper, quebrar	huaxaquin, toshaquin, tehcaquin	Capanahua
1850	COTTON	cotton	algodón	algodão	huaxmen	Capanahua
666	RIVER	river	río	rio	huean, huaca	Capanahua
297	CROOKED	crooked	torcido	torcido, torto	huehquiya, cahco	Capanahua
1743	JOIN	join	unirse	juntar, unir	hueichi	Capanahua
501	LIFT	lift	levantar	levantar, içar	hueniquin, huaquequin	Capanahua
1493	ONE	one	uno	um, uma	huestí	Capanahua
1242	FEW	few	pocos	poucos	huestíbo, hichama	Capanahua
1672	WRITE	write	escribir	escrever	huishaquin	Capanahua
1430	STAR	star	estrella	estrela	huishi	Capanahua
1250	JAGUAR	jaguar	jaguar	onça pintada	huiso hino	Capanahua
163	BLACK	black	negro	preto, negro	huiso, tahshini	Capanahua
813	DO	do	hacer	fazer	ja	Capanahua
78	THAT	that	eso, ese, aquel	esse	jaa, toá, hoá	Capanahua
956	FLEE	flee	huir	escapar, fugir	jabati	Capanahua
1209	I	i	yo, mi	eu	jahue	Capanahua
738	THING	thing	cosa	coisa	jahuequibo	Capanahua
773	HAVE	have	tener	ter	jai	Capanahua
1205	TONGUE	tongue	lengua	lí­ngua	jana	Capanahua
674	MOUTH	mouth	boca	boca	jana, coh	Capanahua
1405	NAME	name	nombre	nome	jane	Capanahua
1937	THERE	there	allí	lá	jano, hoá	Capanahua
945	SPEAR	spear	lanza	lança	jashi	Capanahua
98	ALL	all	todo	tudo, todo	jatihibi, rahsi	Capanahua
817	THEY	they	ellos, ellas	eles, elas	jato, jaabo	Capanahua
1363	VOICE	voice	voz	voz	jee	Capanahua
1644	RELATIVES	relatives	parientes, parentela	parentes	jená	Capanahua
948	WATER	water	agua	água	jene	Capanahua
906	TREE	tree	árbol	árvore	jihui	Capanahua
1295	STICK	stick	palo		jihui	Capanahua
946	BLOOD	blood	sangre	sangue	jimi	Capanahua
1220	TAIL	tail	cola/rabo	rabo	jina	Capanahua
1222	PENIS	penis	pene	órgão sexual masculino	jina, boshi	Capanahua
503	FROG	frog	rana	rã	jiri, tinjahihcashan	Capanahua
587	ANT	ant	hormiga	formiga	jisis, jiin, xehi	Capanahua
1142	URINE	urine	orina	urina	jison	Capanahua
489	KIDNEY	kidney	riñón	rim	jison borasa, jeoxco	Capanahua
592	PISS	piss	orinar	urinar	jisoni	Capanahua
1819	LOOK	look	mirar, contemplar	olhar para, fitar	jisquin	Capanahua
239	FLOWER	flower	flor	inflorescência	joa	Capanahua
1100	COOK (SOMETHING)	cook (something)	cocinar	cozinhar	joaquin	Capanahua
797	TESTICLES	testicles	testículo	testículo	jobo	Capanahua
1307	LANGUAGE	language	lengua, idioma	língua (idioma)	joi	Capanahua
1786	DRY UP	dry up	secar	secar	jomesaquin	Capanahua
602	HIDE (CONCEAL)	hide (conceal)	esconder (algo)	esconder	jonequin	Capanahua
683	PERSON	person	persona, ser humano	pessoa, ser humano	joni	Capanahua
156	RED	red	rojo	vermelho	joshini	Capanahua
1335	WHITE	white	blanco	branco	joxoni	Capanahua
1666	MUTE	mute	mudo	mudo	joyo	Capanahua
1240	NOT	not	no	não	ma	Capanahua
1269	NO	no	no, negativo	não, negativo	ma	Capanahua
1376	NOW	now	ahora	agora	ma, rahma, sca	Capanahua
857	STONE	stone	piedra	pedra	macan	Capanahua
1543	SNAIL	snail	caracol	lesma	mahchi raro	Capanahua
761	COVER	cover	cubrir	cobrir	mahpoquin, maanquin	Capanahua
1494	DIE	die	morir	morrer	mahuati, hhihqui	Capanahua
1228	EARTH (SOIL)	earth (soil)	tierra	terra (solo)	mai	Capanahua
1216	MOTHER	mother	madre	mãe	mama	Capanahua
112	TURTLE	turtle	tortuga, motelo	tartaruga	manan xahue	Capanahua
614	HILL	hill	colina		manan, mahto	Capanahua
1590	WAIT (FOR)	wait (for)	esperar		manati, manaquin	Capanahua
665	BEE	bee	abeja	abelha	mano, bona	Capanahua
705	GO UP (ASCEND)	go up (ascend)	subir	subir	mapeti, nihinati	Capanahua
1256	HEAD	head	cabeza	cabeça	mapo, bo, box	Capanahua
1571	SELL	sell	vender	vender	maromaquin	Capanahua
1869	BUY	buy	comprar	comprar	maroquin, bihquin	Capanahua
671	SAND	sand	arena	areia	mashi	Capanahua
1393	HORN (ANATOMY)	horn (anatomy)	cuerno	chifre, corno	mashpi	Capanahua
1287	COLD	cold	frío	frio	matsini	Capanahua
301	CHIEFTAIN	chieftain	jefe, cacique	chefe, cacique	maxéyahpa, hapo	Capanahua
1531	BRANCH	branch	rama	galho	mebi	Capanahua
1019	RIGHT	right	derecho	direito	mecáyaho	Capanahua
1726	WET	wet	mojado	molhado, úmido	mehchá	Capanahua
1892	TOUCH	touch	tocar	tocar	mehequin, tsasihi	Capanahua
1374	RING	ring	anillo, sortija	anel	mehosohti	Capanahua
244	LEFT	left	izquierdo	esquerdo	memiho	Capanahua
1258	FINGERNAIL	fingernail	uña	unha	mentsis	Capanahua
980	HEEL	heel	talón	calcanhar	mentsis, jotsisto	Capanahua
1277	HAND	hand	mano	mão	mequen	Capanahua
1183	PALM OF HAND	palm of hand	palma de la mano	palma de mão	mequen nahta, mequen mehta	Capanahua
719	FIND	find	encontrar, hallar	achar, encontrar	meraquin	Capanahua
1409	SEE	see	ver	ver	meraquin, jisquin	Capanahua
1594	FLOUR	flour	harina	farinha	meto	Capanahua
1303	FINGER	finger	dedo de la mano	dedo	metoti	Capanahua
1215	THOU	thou	usted	vocês	min, mia	Capanahua
1208	CAT	cat	gato	gato	misho	Capanahua
2638	FISHING	fishing	pescar	pescar	mishquiquin, haxanquin	Capanahua
1906	SOUR	sour	ácido, agrio	ácido, azedo	mocani, cachapi	Capanahua
1422	BE ALIVE	be alive	vivo	vivo	mohitahpa	Capanahua
1602	WAKE UP	wake up	despertarse	acordar	mohiti	Capanahua
124	THORN	thorn	ESPINA	espinho	moxa	Capanahua
1606	INSIDE	inside	adentro, dentro	dentro	na	Capanahua
321	CHEW	chew	masticar	mastigar, mascar	nacaquin	Capanahua
1733	RAINBOW	rainbow	arcoiris	arco-í­ris	nahuan bahi, yoshin bahi	Capanahua
1732	SKY	sky	cielo	céu	naí	Capanahua
1326	DOWN	down	abajo		naman	Capanahua
1485	BELOW OR UNDER	below or under	debajo	embaixo de	naman	Capanahua
1920	DREAM (SOMETHING)	dream (something)	soñar	sonhar	namaquin	Capanahua
634	MEAT	meat	carne	carne	nami, maxeti	Capanahua
3208	CENTER OR MIDDLE	center or middle	medio, centro	meio, centro	napon	Capanahua
138	BATHE	bathe	bañarse	tomar banho	nashihi	Capanahua
1838	NAVEL	navel	ombligo	umbigo	nashpi	Capanahua
46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar	naxntenquin	Capanahua
1214	THIS	this	este	este	ne, neá	Capanahua
1983	SNORE	snore	roncar	roncar, ressonar	neanhihqui	Capanahua
136	HERE	here	aquí	aqui	neno, neá	Capanahua
1203	LONG	long	largo	longo	nenqué, chai	Capanahua
1225	DAY (NOT NIGHT)	day (not night)	día	dia	nete	Capanahua
48	BE SILENT	be silent	callarse	ficar em silêncio	neteti, comocoqueti	Capanahua
1094	FASTEN	fasten	Amarrar		nexaquin, boxcajaquin	Capanahua
1977	DEW	dew	rocío	orvalho	nibí	Capanahua
1443	WALK	walk	caminar, andar	andar, caminhar	nichi	Capanahua
679	BRIGHT	bright	brillante, resplandor	claro, brilhante	nihbani	Capanahua
