CONCEPTICON_ID	CONCEPTICON_GLOSS
667	ROAD
2327	BECOME SICK	become sick	enfermarse, estar enfermo	
2334	MELT	melt	derretir	
2374	DREAM	dream	sueño	SONHO / SONHAR
2390	PECCARY	peccary	pecarí	
2409	BROWN	brown	moreno	
2411	HURT (SOMEBODY)	hurt (somebody)	herir	
2468	BAG	bag	bolsa	
2504	DIFFERENT	different	diferente	
2506	LOOSE	loose	suelto	
2561	HURT (SENSE PAIN)	hurt (sense pain)	doler	
2638	FISHING	fishing	pescar	pescar
2907	ROT	rot	pudrirse	
2912	FORWARD	forward	adelante	
3080	SPLIT OPEN	split open	rajar	
3224	WRING	wring	retorcer, estrujar	
3230	DECEIVE	deceive	engañar	
3463	RIVERBANK	riverbank	orilla, ribera	
3749	HATE (LOATHING)	hate (loathing)	odiar	
3861	FAIL	fail	fallar, fracasar	
3898	ACCEPT	accept	aceptar	
3923	FEMALE ANIMAL	female animal	hembra	
3924	MALE ANIMAL	male animal	macho	
620	INSECT	insect	insecto	
607	GRASSHOPPER	grasshopper	saltamontes	
3	BRAVE	brave	audaz, bravo, valiente	
1812	TRY	try	intentar	
2692	MATERNAL UNCLE (MOTHER'S BROTHER)	mother's brother	tio materno	
2693	MATERNAL AUNT (MOTHER'S SISTER)	mother's sister	tia materna	
498	CALF OF LEG	calf of leg	pantorrilla	antorrilha
1391	TOWN	town	ciudad	
930	VILLAGE	village	pueblo, comunidad	
