Grapheme	IPA
a	a
b	b
e	e
z	ʂ
ch	tʃ
ts	ts
i	i
h	h
v	v
è	e
r	r
c	k
ù	u
l	l
s	s
m	m
n	n
o	o
p	p
cu	kʷ
gu	gʷ
cù	kʷ
ê	e
û	u
à	a
qu	k
u	ɯ
s	s
t	t
u	u
j	x
