Grapheme	IPA
p	p
t	t
d	d
k	k
ř	r
b	b
s	s
š	ʃ
ts	ts
h	h
m	m
n	n
r	r
w	w
y	j
a	a
e	e
i	i
o	o
ʔ	ʔ
'	NULL
c̷	ts
č	tʃ
z	z
kʷ	kʷ
l	l
ɲ	ɲ
ǰ	dʒ
^-	NULL
-$	NULL
-	+
