Grapheme	IPA
a	a
b	b
c	k
ch	tʃ
s̈h	ʂ
e	ɨ
hu	w
i	i
j	x
h	h
m	m
n	n	
o	o
ó	o
r	r
y	j
p	p
qu	k
s	s
sh	ʃ
t	t
ts	ts
é	e
í	i
á	a
^-	NULL
-$	NULL
-	+
