Grapheme	IPA	Note
č	tʃ
š	ʃ
c̷	ts
w	w
a	a
β	β
k	k
ɨ	ɨ
ʔ	ʔ
h	h
m	m
n	n
o	o
p	p
ɾ	ɾ
t	t
s	s
ṣ̌	ʂ
y	j
