Grapheme	IPA
p	p
t	t
d	d
qu	k
c	k
b	b
s	s
tch	tʃ
c̆	tʃ
ch	tʃ
tz	ts
sh	ʃ
h	h
m	m
n	n
r	r
w	w
y	j
a	a
e	e
ü	ɨ
i	i
ui	ui
l	l
gu	g
g	g
u	u
o	o
f	f
k	k
v	v
j	h
aua	a w a
-	+
