Grapheme	IPA
p	p
t	t
d	d
k	k
qu	k
c	k
g	g
b	b
v	v
s	s
ch	tʃ
h	h
m	m
n	n
r	r
w	w
j	x
a	a
á	a
ã	ã
e	e
i	i
ú	u
u	u
o	o
ui	ui
ai	ai
au	au
uia	u j a
