Grapheme	IPA	Note
'	ʔ
a	a
e	e
i	i
u	u
b	b
o	o
h	h
gu	g
n	n
m	m
d	d
kw	kʷ
ts	ts
t	t
th	tʂ
ñ	ɲ
k	k
tc	tʃ
l	l
v	β
y	j
w	w
p	p
r	r
