Grapheme	IPA
a	a
b	b
d	d
e	ɛ
ë	ɨ
ʈʂ	tʂ
ʂ	ʂ
ch	tʃ
sh	ʃ
ts	ts
i	i
m	m
n	n
o	ɤ
p	p
cu	kʷ
qu	k
c	k
u	ɯ
s	s
t	t
u	u
y	j
w	w
-	+
