Grapheme	IPA
a	a
b	b
cu	kʷ
c	c
ch	tʃ
d	d
d´	ʂ
dh	ð
h	v
e	e
hu	w
i	i
j	x
m	m
n	n
p	p
qu	k
r	ɾ
sh	ʃ
ts	ts
s	s
t	t
u	u
y	j
’	ʔ
-	+
