Grapheme	IPA
a	a
b	b
c	k
ch	tʃ
č	tʃ
c̷	tʃ
š	ʃ
sh	ʃ
tʸ	tʲ
s̈h	ʂ
e	ɨ
hu	w
w	w
r	r
y	j
k	k
h	h
kʷ	kʷ
d	d
ɲ	ɲ
lʸ	lʲ
dʸ	dʲ
ʔ	ʔ
i	i
j	h
m	m
n	n	
o	o
p	p
qu	k
s	s
t	t
ts	ts
é	e
í	i
á	a
^-	NULL
-$	NULL
-	+
