Grapheme	IPA
sr	ʂ
tsch	tʃ
sch	ʃ
ts	ts
c	k
t	t
p	p
gu	w
j	y
h	h
r	r
s	s
a	a
u	u
ü	u
ú	u
i	i
iue	i w e
é	e
ĕ	e
e	e
ă	a
á	a
ö	o
ô	o
o	o
k	k
v	v
m	m
n	n
ss	s
-	+
