Grapheme	IPA
n	n
o	o
ó	o
á	a
a	a
ï	ɨ
r	r
w	w
ç	tʃ
š	ʃ
t	t
b	b
s	s
m	m
k	k
i	i
í	i
i:	i
ã	ã
p	p
h	h
␢	β
'	NULL
