Grapheme	IPA
sch	ʃ
ch	tʃ
sh	ʂ
sc	tʂ
v	v
qu	k
r	r
ts	ts
s	s
p	p
m	m
n	n
b	b
w	w
j	x
y	j
t	t
k	k
l	l
ay	ai
oi	oi
oui	o w i
a	a
u	u
i	i
ê	e
é	e
e	e
o	o
ï	ɨ
-	+
