Grapheme	IPA
p	p
t	t
d	d
k	k
ř	r
b	b
v	v
s	s
š	ʃ
ṣ̌	ʂ
tṣ̌	tʂ
č	tʃ
c̷	ts
h	h
m	m
n	n
r	r
w	w
y	j
a	a
e	e
ɨ	ɨ
ɨ̃	ɨ̃
õ	õ
ã	ã
ĩ	ĩ
β	β
i	i
o	o
ʔ	ʔ
'	NULL
^-	NULL
-$	NULL
...-mɨ̃	NULL
-	+
