Grapheme	IPA
ai	ai
a	a
á	a
i	i
u	u
ú	u
e	e
é	e
ay	ai	
b	b
d	d
cu-	ku + 
cua	kʷ a
qu	k
tr	tʂ
z	ʂ
ch	tʃ
sch	ʃ
sh	ʃ
m	m
n	n
o	o
p	p
k	k
s	s
t	t
u	u
j	x
y	j
w	w
-	NULL
	+
