Grapheme	IPA
a	a
b	b
k	k
č	tʃ
čʰ	tʃʰ
čˀ	tʃˀ
č̣ʰ	tʂʰ
č̣ˀ	tʂˀ
č̣	tʂ
š	ʃ
ṣ̌	ʂ
tʰ	tʰ
tˀ	tˀ
pˀ	pˀ
e	ɨ
hu	w
h	h
w	w
ḳʰ	kʰ
kˀ	kˀ
ḳˀ	kˀ
kʰ	kʰ
ḳ	k
c̷ʰ	tsʰ
c̷	ts
c̷ˀ	tsˀ
x	x
x̣ʷ	xʷ
xʷ	xʷ
i	i
j	h
y	j
m	m
n	n
ŋ	ŋ
o	o
u	u
pʰ	pʰ
p	p
qu	k
s	s
ṣ	s
x̣	x
lʸ	lʲ
r	r
t	t
ts	ts
é	e
í	i
á	a
uy	ui
ayi	a j i
ay	ai
z	z
kʷ	kʷ
l	l
ɲ	ɲ
ǰ	dʒ
š$	NULL
-š	NULL
^-	NULL
-$	NULL
-	+
