Grapheme	IPA	Note
p	p
t	t
k	k
m	m
n	n
r	ɾ
ts	ts
ch	tʃ
b	β
s	s
sh	ʃ
h	h
i	i
í	i
u	u
e	ɨ
é	ɨ
ë	ɨ	only one occurrence
a	a
á	a
o	o
ó	o
y	j
w	w
