Grapheme	IPA
'	ʔ
ch	tʃ
ts	ts
sh	ʃ
b	β
c	k
cu	kʷ
ü	u	distinguighes cu from cü
ë	ɯ
a	a
e	e
i	i
u	u
o	o
ó	o
á	a
é	e
í	i
ú	u
m	m
n	n
ñ	ɲ
x	ʂ
p	p
qu	k
r	r
s	s
t	t
