Grapheme	IPA
a	a
á	á/a
aa	a
ch	tʃ
h	ʔ
i	i
í	í/i
b	b
j	h
m	m
n	n
o	o
ó	ó/o
p	p
c	k
qu	k
r	r
sh	ʃ
tz	ts
t	t
s	ʂ
z	s
u	ɨ
ú	ɨ
e	e
v	β
x	ʂ
y	j
hí$	NULL
^-	NULL
-$	NULL
-	+
