Grapheme	IPA
p	p
t	t
d	d
k	k
ř	r
b	b
v	v
s	s
š	ʃ
ṣ̌	ʂ
tṣ̌	tʂ
tš	tʃ
ts	ts
h	h
m	m
n	n
r	r
w	w
y	j
a	a
e	e
ɨ̃	ɨ̃
ɨ	ɨ
õ	õ
ã	ã
ĩ	ĩ
β	β
r	r
i	i
o	o
ʔ	ʔ
'	NULL
c̷	ts
č	tʃ
z	z
kʷ	kʷ
l	l
ɲ	ɲ
ǰ	dʒ
^-	NULL
-$	NULL
-	+
