Grapheme	IPA
sh	ʂ
sch	ʃ
tsch	tʃ
ts	ts
tz	ts
tsh	tʂ
s	s
z	z
yu	j u
cu	kʷ
k	k
c	k
gh	g
rh	r
rr	r
p	p
^y	j
ý	i
dz	dʐ
h	h
a̹	a
a	a
á	a
u	u
ú	u
ui	ui
ay	ai
i	i
ü	ɨ
y	i
ŷ	i
wh	w
w	w
l	l
ô	o
m	m
n	n
b	b
t	t
r	r
e	e
g	g
o	o
ó	o
-	+
