Grapheme	IPA
p	p
t	t
k	k
kw	kʷ
'	ʔ
‘	ʔ
´	ʔ
g	g
m	m
n	n
ñ	ɲ
r	ɾ
ts	ts
ch	tʃ
sh	ʃ
s	s
x	ʂ
b	β̞
ë	ɨ
ë́	ɨ
e	e
a	a
u	ɯ
o	ɤ
ó	ɤ
w	w
y	j
á	a
é	e
ú	ɯ
i	i
í	i
