Grapheme	IPA
p	p
t	t
d	d
k	k
ř	r
b	b
v	v
s	s
š	ʃ
ṣ̌	ʂ
tṣ̌	tʂ
tš	tʃ
ts	ts
h	h
m	m
n	n
r	r
w	w
y	j
a	a
e	e
ë	ɨ
i	i
o	o
b	b
d	d
ʔ	ʔ
'	NULL
