Grapheme	IPA
gu	gʷ
cu	kʷ
qu	k
ch	tʃ
tt	t
ss	s
ll  l
ww	w
ṓ	ó/o
ó	ó/o
ō	o
o	o
ö	ø
ā́	á/a
á	á/a
ä	ɛ
ā	a
a	a
ḗ	é/e
é	é/e
e	e
ē	e
ú	ú/u
ū	u
u	u
í	í/i
ĭ	i
i	i
y	j
p	p
b	b
d	d
t	t
k	k
c	k
r	ɾ
l	l
s	s
š	ʃ
f	f
v	b
m	m
n	n
h	h
w	w
-	+
 	+
