Grapheme	IPA
p	p
t	t
d	d
k	k
ř	r
b	b
β	β
s	s
š	ʃ
ṣ̌	ʂ
ts	ts
h	h
m	m
n	n
r	r
w	w
y	j
a	a
ã	ã
õ	õ
ũ	ũ
ĩ	ĩ
ɨ̃	ɨ̃
ẽ	ẽ
e	e
ɨ	ɨ
i	i
o	o
u	u
ʔ	ʔ
'	NULL
aĩ	aĩ
ai	ai
c̷	ts
č	tʃ
kʷ	kʷ
ɲ	ɲ
ǰ	dʒ
^-	NULL
-$	NULL
-	+
