Grapheme	IPA
a	a
b	b
d	d
e	e
ë	ɨ
i	i
u	u
tʂ	tʂ
ß	ʂ
tʃ	tʃ
ʃ	ʃ
ts	ts
m	m
n	n
o	o
p	p
k	k
s	s
t	t
u	u
y	j
w	w
