Grapheme	IPA
tsch	tʃ
sch	ʃ
tz	tʂ
z	ʂ
gh	g
gu	g
ý	i
c	k
qu	k
k	k
sh	ʃ
ay	ai
kua	kʷ a	
dsch	dz
y	j
o	o
ó	o
ü	ɨ
u	u
é	e
e	e
i	i
a	a
á	a
à	a
â	a
h	h
d	d
t	t
n	n
m	m
p	p
b	b
r	r
s	s
-	+
