Grapheme	IPA
p	p
t	t
d	d
k	k
s	s
š	ʃ
tš	tʃ
ts	ts
x	x
h	h
m	m
n	n
r	r
w	w
v	v
y	j
a	a
b	b
d	d
e	e
é	e
ĕ	ɨ
i	i
ī	ī
ã	ã
ū	ū
ku̯	kʷ
í	i
á	a
'	ʔ
ö	o
o	o
õ	õ
