Grapheme	IPA
p	p
t	t
d	d
k	k
b	β
v	v
s	s
š	ʃ
tš	tʃ
ts	ts
h	h
m	m
n	n
r	r
w	w
y	j
a	a
e	e
ë	ɨ
i	i
ī	ī
ã	ã
ū	ū
