Grapheme	IPA	Note
ʔ	ʔ
a	a
ɓ	ɓ
kʷ	kʷ
č	tʃ
ɗ	ɗ
d	d
e	e
w	w
i	i
x	x
h	h
m	m
n	n
ɲ	ɲ
o	o
p	p
k	k
s	s
š	ʃ
t	t
y	j
ɨ	ɨ
õ	õ
ã	ã
ĩ	ĩ
β	β
c̷	ts
z	z
l	l
ɲ	ɲ
ǰ	dʒ
b	b
ʔ	ʔ
'	NULL
^-	NULL
-$	NULL
-	+
