Grapheme	IPA
chr	ts
z	ʃ
c	k
qu	k
l	l
r	r
c̹	tʂ
ch	tʃ
hu	w
gu	w
s	s
ai	ai
uy	ui
ou	u
o	o
u	u
i	i
a	a
e	e
x	y
j	h
h	h
^ia	j a
d	d
t	t
n	n
m	m
p	p
b	b
-	+
