Grapheme	IPA
ch	tʃ
sh	ʃ
ts	ts
hu	w
h	ʔ
^j	h
j	NULL
y	j
c	k
qu	k
q	k
x	ʂ
ai	ai
a	a
i	i
o	o
e	ɨ
é	ɨ
ó	o
á	a
í	i
u	u
b	β
m	m
n	n
p	p
r	r
s	s
t	t
quin$	NULL
