Grapheme	IPA
a	a
á	á/a
b	b
c	k
cu	kʷ
ch	tʃ
d	d
dy	dz
e	e
é	é/e
hu	w
i	i
í	i
j	h
l	l
m	m
n	n
ñ	ɲ
o	o
ó	o
p	p
qu	k
s	s
sh	ʃ
t	t
ts	ts
y	j
z	z
^-	NULL
-	+
