Grapheme	IPA
p	p
t	t
d	d
qu	k
c	k
b	b
v	v
s	s
tch	tʃ
ch	ʃ
h	h
m	m
l	l
n	n
r	r
w	w
y	j
ç	θ
x	x
a	a
á	a
é	e
ê	e
e	e
ú	u
i	i
ô	o
o	o
u	u
ã	ã
ai	ai
ui	ui
au	au
uiu	u j u
aia	a j a
oia	o j a
aui	a w i
ua	w a
-	+
