Grapheme	IPA
p	p
t	t
d	d
qu	k
c	k
cu	kʷ
b	b
v	v
s	s
tch	tʃ
ch	ʃ
zç	ts
z	ʂ
m	m
n	n
gu	gʷ
h	h
x	x
a	a
á	a
é	e
e	e
ú	u
i	i
ô	õ
ai	ai
ia	j a
io	j o
iu	j u
aui	a w i
ui	ui
-	+
