Grapheme	IPA
i	i
í	ī
u	ɨ
ú	ɨ̃
e	e
é	ẽ
a	a
á	ã
ä	ə
ä́	ə̃
o	o
ó	õ
’	ʔ
v	ʋ
y	j
p	p
p̂	pʰ
b	b
f	f
m	m
ḿ	m
ty	tʲ
t	t
dy	dʲ
d	d
s	s
ts	ts
tŝ	tsʰ
n	n
ń	n
r	r
sh	ʃ
ch	tʃ
ĉh	tʃʰ
ćh	tʃʰ
ñ	ɲ
c	k
qu	k
q̂u	kʰ
ĉ	kʰ
j	h
jeyaqui$	NULL
aqui$	NULL
yaqui$	NULL
^-	NULL
-$	NULL
-	+
