Grapheme	IPA
c	k
qu	k
sh	ʃ
ch	tʃ
ay	ai
o	o
u	u
i	i
a	a
é	e
h	h
d	d
t	t
n	n
m	m
p	p
b	b
r	r
s	s
j	j
w	w
