Grapheme	IPA
b	β
c	k
ch	tʃ
s̈h	ʂ
e	ɨ
é	ɨ
í	i
i	i
hu	w
j	x
h	h
m	m
n	n	
o	o
ó	o
á	a
a	a
r	r
y	j
p	p
qu	k
s	s
sh	ʃ
t	t
ts	ts
^-	NULL
-$	NULL
-	+
