Grapheme	IPA
p	p
t	t
d	d
k	k
b	b
s	s
š	ʃ
h	h
m	m
n	n
r	r
w	w
y	j
a	a
e	e
ë	ɨ
i	i
o	o
ʔ	ʔ
'	NULL
c̷	ts
ď̶	ɗ
ð	ð
č	tʃ
kʷ	kʷ
l	l
^-	NULL
-$	NULL
-	+
...	+
