# Wordlist

# DATA
ID	FORM	SEGMENTS	DOCULECT	FAMILY	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOTTOCODE
242766	pašsi	p a ʃ s i	Mosetén	Mosetén-Chimané	acid, sour	1906	SOUR	mose1249
243887	apoze	a p o z e	Araona	Pano-Tacanan	acid, sour	1906	SOUR	arao1248
244929	basi-da	b a s i + d a	Cavineña	Pano-Tacanan	acid, sour	1906	SOUR	cavi1250
244930	hako-da	h a k o + d a	Cavineña	Pano-Tacanan	acid, sour	1906	SOUR	cavi1250
245934	-sese	s e s e	Ese Ejja	Pano-Tacanan	acid, sour	1906	SOUR	esee1248
246716	kia-sese	k i a + s e s e	Ese Ejja (Huarayo)	Pano-Tacanan	acid, sour	1906	SOUR	esee1248
247748	saho-da	s a h o + d a	Tacana	Pano-Tacanan	acid, sour	1906	SOUR	taca1256
247749	teboda	t e b o d a	Tacana	Pano-Tacanan	acid, sour	1906	SOUR	taca1256
248632	kača	k a tʃ a	Cashibo	Pano-Tacanan	acid, sour	1906	SOUR	cash1251
249667	kaṣ̌a	k a ʂ a	Catuquina	Pano-Tacanan	acid, sour	1906	SOUR	pano1254
252055	βatiria_hɨnɨ	β a t i r i a + h ɨ n ɨ	Shipibo-Conibo	Pano-Tacanan	acid, sour	1906	SOUR	ship1254
252056	paɨ	p a ɨ	Shipibo-Conibo	Pano-Tacanan	acid, sour	1906	SOUR	ship1254
252057	mokati	m o k a t i	Shipibo-Conibo	Pano-Tacanan	acid, sour	1906	SOUR	ship1254
253400	kača	k a tʃ a	Yaminahua	Pano-Tacanan	acid, sour	1906	SOUR	yami1256
256521	rapis-ni	r a p i s + n i	Movima	Movima	acid, sour	1906	SOUR	movi1243
284335	čàlxe	tʃ a l x e	Selknam	Chonan	acid, sour	1906	SOUR	onaa1245
#
241831	ana_uxčiš_waxt-	a n a + u x tʃ i ʃ + w a x t	Chipaya	Uru-Chipaya	acquit	988	ACQUIT	chip1262
256750	tata-ɓaɬ-kʷan-ɬe-na	t a t a + ɓ a ɬ + kʷ a n + ɬ e + n a	Movima	Movima	acquit	988	ACQUIT	movi1243
#
241759	pax-	p a x	Chipaya	Uru-Chipaya	admit, confess	2022	ADMIT	chip1262
242919	hĩči'kakiʔ	h ĩ tʃ i k a k i ʔ	Mosetén	Mosetén-Chimané	admit, confess	2022	ADMIT	mose1249
245064	ho-kamepana-ti-	h o + k a m e p a n a + t i	Cavineña	Pano-Tacanan	admit, confess	2022	ADMIT	cavi1250
248719	čikina-ti	tʃ i k i n a + t i	Cashibo	Pano-Tacanan	admit, confess	2022	ADMIT	cash1251
256673	kem-panas-čeɬ	k e m + p a n a s + tʃ e ɬ	Movima	Movima	admit, confess	2022	ADMIT	movi1243
#
241248	atupi	a t u p i	Chipaya	Uru-Chipaya	adobe	901	ADOBE	chip1262
241249	lxaxspa	l x a x s p a	Chipaya	Uru-Chipaya	adobe	901	ADOBE	chip1262
256167	toto-kʷa	t o t o + kʷ a	Movima	Movima	adobe	901	ADOBE	movi1243
#
242992	wo'woih	w o w o i h	Mosetén	Mosetén-Chimané	adultery	902	ADULTERY	mose1249
246100	peakoxoxi	p e a k o x o x i	Ese Ejja	Pano-Tacanan	adultery	902	ADULTERY	esee1248
247997	epere-hi	e p e r e + h i	Tacana	Pano-Tacanan	adultery	902	ADULTERY	taca1256
252311	tɨamis	t ɨ a m i s	Shipibo-Conibo	Pano-Tacanan	adultery	902	ADULTERY	ship1254
#
223416	kanawe_tiša_wei	k a n a w e + t i ʃ a + w e i	Ninam (Shirishana variety)	Yanomamic	adze	290	ADZE	nina1238
241291	astuna	a s t u n a	Chipaya	Uru-Chipaya	adze	290	ADZE	chip1262
242446	haida'kis	h a i d a k i s	Mosetén	Mosetén-Chimané	adze	290	ADZE	mose1249
249357	nõti_pokĩ-ti	n õ t i + p o k ĩ + t i	Catuquina	Pano-Tacanan	adze	290	ADZE	pano1254
251656	tatɨti	t a t ɨ t i	Shipibo-Conibo	Pano-Tacanan	adze	290	ADZE	ship1254
253000	aro-ti	a r o + t i	Yaminahua	Pano-Tacanan	adze	290	ADZE	yami1256
#
223567	yaip_həm	y/j a i p + h ə m	Ninam (Shirishana variety)	Yanomamic	after	1685	AFTER	nina1238
224504	nõhã_ha	n õ h ã + h a	Yanomámi	Yanomamic	after	1685	AFTER	yano1262
241414	wiri	w i r i	Chipaya	Uru-Chipaya	after	1685	AFTER	chip1262
241415	wiruɲ	w i r u ɲ	Chipaya	Uru-Chipaya	after	1685	AFTER	chip1262
241416	wiruɲa	w i r u ɲ a	Chipaya	Uru-Chipaya	after	1685	AFTER	chip1262
242589	'noxno	n o x n o	Mosetén	Mosetén-Chimané	after	1685	AFTER	mose1249
243684	-dada	d a d a	Araona	Pano-Tacanan	after	1685	AFTER	arao1248
243685	-hao	h a o	Araona	Pano-Tacanan	after	1685	AFTER	arao1248
244774	hoac̷o	h o a tʃ o	Cavineña	Pano-Tacanan	after	1685	AFTER	cavi1250
244775	hadʸa-ac̷o	h a dʲ a + a tʃ o	Cavineña	Pano-Tacanan	after	1685	AFTER	cavi1250
245786	kixe	k i x e	Ese Ejja	Pano-Tacanan	after	1685	AFTER	esee1248
245787	maxe	m a x e	Ese Ejja	Pano-Tacanan	after	1685	AFTER	esee1248
246623	tii-xe	t iː + x e	Ese Ejja (Huarayo)	Pano-Tacanan	after	1685	AFTER	esee1248
246624	tii-ho	t iː + h o	Ese Ejja (Huarayo)	Pano-Tacanan	after	1685	AFTER	esee1248
247557	sočo	s o tʃ o	Tacana	Pano-Tacanan	after	1685	AFTER	taca1256
247558	tihe	t i h e	Tacana	Pano-Tacanan	after	1685	AFTER	taca1256
249506	ṣ̌ipo	ʂ i p o	Catuquina	Pano-Tacanan	after	1685	AFTER	pano1254
250552	-aṣ̌na	a ʂ n a	Chácobo	Pano-Tacanan	after	1685	AFTER	chac1251
250553	čo	tʃ o	Chácobo	Pano-Tacanan	after	1685	AFTER	chac1251
251845	pɨkao	p ɨ k a o	Shipibo-Conibo	Pano-Tacanan	after	1685	AFTER	ship1254
253193	čipo	tʃ i p o	Yaminahua	Pano-Tacanan	after	1685	AFTER	yami1256
256368	hai-ɬe	h a i + ɬ e	Movima	Movima	after	1685	AFTER	movi1243
283341	'gen-	g e n	Tehuelche	Chonan	after	1685	AFTER	tehu1242
283342	'aw	a w	Tehuelche	Chonan	after	1685	AFTER	tehu1242
284184	ʔowr	ʔ o w r	Selknam	Chonan	after	1685	AFTER	onaa1245
#
223688	huya_thehe	h u y/j a + tʰ e h e	Ninam (Shirishana variety)	Yanomamic	afternoon	1807	AFTERNOON	nina1238
241566	max̣ɲa	m a x ɲ a	Chipaya	Uru-Chipaya	afternoon	1807	AFTERNOON	chip1262
241567	šeši	ʃ e ʃ i	Chipaya	Uru-Chipaya	afternoon	1807	AFTERNOON	chip1262
242730	yomo'kibe	y/j o m o k i b e	Mosetén	Mosetén-Chimané	afternoon	1807	AFTERNOON	mose1249
243868	apo-na_bene	a p o + n a + b e n e	Araona	Pano-Tacanan	afternoon	1807	AFTERNOON	arao1248
243869	ec̷iawe	e tʃ i a w e	Araona	Pano-Tacanan	afternoon	1807	AFTERNOON	arao1248
244901	čine-keha	tʃ i n e + k e h a	Cavineña	Pano-Tacanan	afternoon	1807	AFTERNOON	cavi1250
245915	si'ɲa	s i ɲ a	Ese Ejja	Pano-Tacanan	afternoon	1807	AFTERNOON	esee1248
245916	sine-kʷa	s i n e + kʷ a	Ese Ejja	Pano-Tacanan	afternoon	1807	AFTERNOON	esee1248
246707	meka-wa-xe_sine-kwa	m e k a + w a + x e + s i n e + kʷ a	Ese Ejja (Huarayo)	Pano-Tacanan	afternoon	1807	AFTERNOON	esee1248
247724	c̷ine-kʷa	tʃ i n e + kʷ a	Tacana	Pano-Tacanan	afternoon	1807	AFTERNOON	taca1256
248616	ɲã'tã	ɲ ã t ã	Cashibo	Pano-Tacanan	afternoon	1807	AFTERNOON	cash1251
249638	βari_ono_pakɨ-nõ	β a r i + o n o + p a k ɨ + n õ	Catuquina	Pano-Tacanan	afternoon	1807	AFTERNOON	pano1254
250679	mɨnata	m ɨ n a t a	Chácobo	Pano-Tacanan	afternoon	1807	AFTERNOON	chac1251
253366	yãtapakɨ	y/j ã t a p a k ɨ	Yaminahua	Pano-Tacanan	afternoon	1807	AFTERNOON	yami1256
256491	wa-lai-lo	w a + l a i + l o	Movima	Movima	afternoon	1807	AFTERNOON	movi1243
283475	'gōlekˀn	g oː l e kˀ n	Tehuelche	Chonan	afternoon	1807	AFTERNOON	tehu1242
#
223682	kõ	k õ	Ninam (Shirishana variety)	Yanomamic	again	204	AGAIN	nina1238
224628	kõ-	k õ	Yanomámi	Yanomamic	again	204	AGAIN	yano1262
241557	wilta	w i l t a	Chipaya	Uru-Chipaya	again	204	AGAIN	chip1262
242725	'hambi	h a m b i	Mosetén	Mosetén-Chimané	again	204	AGAIN	mose1249
243859	ǰa-iša	dʒ a + i ʃ a	Araona	Pano-Tacanan	again	204	AGAIN	arao1248
243860	iša	i ʃ a	Araona	Pano-Tacanan	again	204	AGAIN	arao1248
244895	todʸa-noka-dʸa	t o dʲ a + n o k a + dʲ a	Cavineña	Pano-Tacanan	again	204	AGAIN	cavi1250
245909	oʔoya	o ʔ o y/j a	Ese Ejja	Pano-Tacanan	again	204	AGAIN	esee1248
246702	oo-ya	oː + y/j a	Ese Ejja (Huarayo)	Pano-Tacanan	again	204	AGAIN	esee1248
247717	neiča	n e i tʃ a	Tacana	Pano-Tacanan	again	204	AGAIN	taca1256
249632	-ʔo	ʔ o	Catuquina	Pano-Tacanan	again	204	AGAIN	pano1254
253358	aβi-anã	a β i + a n ã	Yaminahua	Pano-Tacanan	again	204	AGAIN	yami1256
253359	anã	a n ã	Yaminahua	Pano-Tacanan	again	204	AGAIN	yami1256
254575	-iiɲæ	iː ɲ æ	Cayuvava	Cayubaba	again	204	AGAIN	cayu1262
254576	iiɲe	iː ɲ e	Cayuvava	Cayubaba	again	204	AGAIN	cayu1262
256485	rei-ka	r e i + k a	Movima	Movima	again	204	AGAIN	movi1243
283468	'āwe	a w e	Tehuelche	Chonan	again	204	AGAIN	tehu1242
284314	kˀòn	kˀ o n	Selknam	Chonan	again	204	AGAIN	onaa1245
#
242702	ho'yõksi_yomo'dʸe	h o y õ k s i + y/j o m o dʲ e	Mosetén	Mosetén-Chimané	age	1789	AGE	mose1249
249609	-tiʔi_βari-a	t i ʔ i + β a r i + a	Catuquina	Pano-Tacanan	age	1789	AGE	pano1254
253325	ṣ̌ini-ya	ʂ i n i + y/j a	Yaminahua	Pano-Tacanan	age	1789	AGE	yami1256
256461	han-ka-tinnonaʔ-kʷi	h a n + k a + t i nː o n a ʔ + kʷ i	Movima	Movima	age	1789	AGE	movi1243
#
222936	hušiampək	h u ʃ i a m p ə k	Ninam (Shirishana variety)	Yanomamic	air	27	AIR	nina1238
