SMELL (STINK)	18
STINKING	17
SWEET	18
BITTER	20
SOUR	17
HEAR	18
SEE	19
LOOK	20
BRIGHT	17
DARK	16
WHITE	20
BLACK	20
RED	18
BLUE	18
GREEN	18
YELLOW	20
TOUCH	19
PINCH	16
HARD	18
SOFT	19
ROUGH	18
SMOOTH	19
SHARP	18
HEAVY	20
LIGHT (WEIGHT)	20
WET	19
DRY	18
HOT	19
COLD	20
CLEAN	18
DIRTY	17
WRINKLED	16
SOUL	19
LAUGH	20
PLAY	20
LOVE	19
EMBRACE	20
PAIN	16
CRY	20
TEAR (OF EYE)	19
FEAR (FRIGHT)	15
WANT	17
CHOOSE	18
TRUE	17
LIE (MISLEAD)	18
GOOD	20
BAD	19
THINK (REFLECT)	19
KNOW (SOMETHING)	20
FORGET	20
BECAUSE	13
YES	18
NO	20
HOW	17
WHAT	18
WHEN	17
WHERE	17
WHO	19
SING	20
SHOUT	17
WHISTLE	18
SPEAK	20
SAY	18
LANGUAGE	18
NAME	20
ASK (INQUIRE)	17
ASK (REQUEST)	16
CALL	18
WRITE	19
FLUTE	17
DRUM	15
CHIEFTAIN	18
FRIEND	18
HELP	17
MEET	19
BOW	18
ARROW	19
HUNT	18
SHOOT	19
TRAP (PITFALL)	18
STEAL	19
DEMON	17
STAR	18
BURNING	18
ORPHAN	15
ANIMAL	18
CHEEK	17
CHIN	12
THROAT	18
HEEL	16
SNORE	17
FART	14
WOUND	18
MEDICINE	16
MUTE	18
DRUNK	15
NAKED	13
SALT	17
SPIN	18
TOBACCO	16
SPREAD OUT	16
PRESS	15
DANCE	15
SELL	17
FIVE	13
HALF	14
SUMMER	16
SHINE	17
REMEMBER	17
BE SILENT	17
FIGHT	17
CLAW	15
FILL	15
TASTE (SOMETHING)	9
KNEEL	11
THAT	15
THORN	16
HERE	17
HUMID	15
RIPEN	12
SHAVE	9
FLEA	8
SHARPEN (SOMETHING)	15
COOKED	8
GET LOST	14
FELL (A TREE)	12
SPICY	9
POTATO	10
HILL	14
MOUNTAIN	15
RIVER	16
BOTTOM	9
GET	12
SAD	12
FIND	17
DROP	16
STRONG	15
DO	15
STONE	17
INCREASE	13
PURSUE	13
WORK (ACTIVITY)	15
FASTEN	16
URINE	9
GHOST	15
GIVE BIRTH	15
THIS	13
NOT	15
SOME	14
JAGUAR	11
BELLY	16
RAIN (RAINING)	11
WITH	10
HEAT UP	15
ENEMY	12
BREATHE	13
LIE (REST)	11
BE ALIVE	10
HIT	14
RAT	13
MOUSE	15
DIE	15
RISE (ONESELF)	14
CRUSH	14
ACCOMPANY	12
BRANCH	14
BE HUNGRY	11
AND	9
SMELL (PERCEIVE)	16
WAIT (FOR)	15
ESCAPE	13
DEAD	14
SIT DOWN	15
LOSE	13
TELL	13
ABOVE	13
WOOD	12
HARVEST CROPS	13
VAGINA	7
BEAD	6
THERE	16
ROAST (SOMETHING)	15
GET TIRED	13
HAMMOCK	15
SOAK (VERB)	12
COMB (VERB)	12
OLD (AGED)	14
DESIRE	13
SMELL	12
THINK	15
LID (COVER, CAP)	8
GET WET	8
PECCARY	6
BAG	12
BOIL (SOMETHING)	14
DIFFERENT	7
HURT (SENSE PAIN)	12
SKIN (HUMAN)	15
FISHING	15
HIGH OR TALL	14
BREAK (BREAKING)	7
SPLIT OPEN	10
WAKE UP (SOMEONE)	16
DECEIVE	10
MUCH	15
RIVERBANK	13
EARTH OR LAND	14
TOWN OR VILLAGE	14
FEMALE ANIMAL	12
IN FRONT OF	8
MALE ANIMAL	10
FORWARD	10
SONG	6
CLOUDY	10
ACCEPT	7
DIVE	11
POOR	9
BECOME SICK	12
COUGH (ACT OF COUGHING)	15
KNOW (SOMEBODY)	12
DREAM	10
WIPE	15
HAVE	10
VOICE	11
BLOOM	9
FIST	9
MELT	8
DISEASE	9
APPROACH	13
OLD (USED)	13
GUTS	14
ANSWER	12
CHOP	8
CURSE	8
SMOKE (INHALE)	12
BRAID	9
FLOW	10
BECOME ANGRY	13
BROWN	4
GROUND	7
THIN	14
WRING	7
BETWEEN	7
HURT (SOMEBODY)	7
PICK UP	15
JOINT	3
VULVA	6
SUCKLE (BREASTFEED, NURSE)	11
TRAP (CATCH)	7
DUSK	14
DANCE (MOVEMENT)	5
FEAR (BE AFRAID)	9
HEAT	7
HOLD	4
FAECES (EXCREMENT)	4
BLUNT	8
CHOKE	6
DESTROY	7
DROP (SOMETHING)	9
FISHNET	8
LOUD	5
PARENTS	5
TWINS	10
HIDE	15
HATE (LOATHING)	11
MENSTRUATE	8
TURN	11
ROT	9
BE ANGRY	5
FAIL	5
PAINFUL	6
NOISE	7
WARM	7
STIR	3
LOOSE	7
FEED	8
