DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Araona	1303	FINGER	finger	dedo de la mano	
Araona	676	SHIT (DEFECATE)	shit (defecate)	defecar	
Araona	2866	DROP (SOMETHING)	drop (something)	dejar caer	
Araona	1883	IN FRONT OF	in front of	delante	
Araona	1973	DEMON	demon	demonio	
Araona	1019	RIGHT	right	derecho	
Araona	2334	MELT	melt	derretir	
Araona	352	UNTIE	untie	desatar	
Araona	168	REST	rest	descansar	
Araona	2014	GO DOWN (DESCEND)	go down (descend)	descender	
Araona	1784	WANT	want	desear (querer)	
Araona	590	NAKED	naked	desnudo	
Araona	1602	WAKE UP	wake up	despertarse	
Araona	681	DESTROY	destroy	destruir	
Araona	1225	DAY (NOT NIGHT)	day (not night)	día	
Araona	1380	TOOTH	tooth	dientes	
Araona	1172	SHOOT	shoot	disparar, tirar	
Araona	2561	HURT (SENSE PAIN)	hurt (sense pain)	doler	
Araona	1783	PAIN	pain	dolor	
Araona	1237	WHERE	where	dónde?	
Araona	1585	SLEEP	sleep	dormir	
Araona	1498	TWO	two	dos	
Araona	717	SWEET	sweet	dulce	
Araona	1884	HARD	hard	duro	
Araona	817	THEY	they	ellos, ellas	
Araona	855	SEIZE	seize	embargar	
Araona	1452	PUSH	push	empujar	
Araona	737	LIGHT (IGNITE)	light (ignite)	encender	
Araona	2004	BEND	bend	encorvar, doblar	
Araona	1358	ENEMY	enemy	enemigo	
Araona	1986	DISEASE	disease	enfermedad (dolencia)	
Araona	3230	DECEIVE	deceive	engañar	
Araona	1719	BURY	bury	enterrar, sepultar	
Araona	749	ENTER	enter	entrar	
Araona	1127	SEND	send	enviar, mandar	
Araona	1750	CHOOSE	choose	escoger, elegir	
Araona	602	HIDE (CONCEAL)	hide (conceal)	esconder (algo)	
Araona	1672	WRITE	write	escribir	
Araona	1440	SPIT	spit	escupir	
Araona	1291	BACK	back	espalda	
Araona	1199	WIFE	wife	esposa, marida	
Araona	1442	STAND	stand	estar de pie	
Araona	1847	SICK	sick	estar enfermo	
Araona	819	STOMACH	stomach	estómago	
Araona	1621	SNEEZE	sneeze	estornudar	
Araona	1267	NARROW	narrow	estrecho, angosto	
Araona	1430	STAR	star	estrella	
Araona	1414	SQUEEZE	squeeze	exprimir	
Araona	3861	FAIL	fail	fallar, fracasar	
Araona	777	FLUTE	flute	flauta	
Araona	977	ARROW	arrow	flecha	
Araona	239	FLOWER	flower	flor	
Araona	3287	BLOOM	bloom	florecer	
Araona	1574	FLOAT	float	flotar	
Araona	2003	FLOW	flow	fluir, correr	
Araona	123	FOREHEAD	forehead	frente (la)	
Araona	1287	COLD	cold	frío	
Araona	1449	RUB	rub	frotar, enjugar	
Araona	1507	FRUIT	fruit	fruto	
Araona	221	FIRE	fire	fuego	
Araona	3188	MIGHTY OR POWERFUL OR STRONG	mighty or powerful or strong	fuerte, poderoso	
Araona	1689	SMOKE (INHALE)	smoke (inhale)	fumar	
Araona	1318	CHICKEN	chicken	gallina	
Araona	1346	THROAT	throat	garganta	
Araona	72	CLAW	claw	garra, pezuña, pinza, zarpa	
Araona	3456	CRAWL OR CREEP	crawl or creep	gatear	
Araona	1208	CAT	cat	gato	
Araona	1202	BIG	big	grande	
Araona	323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	
Araona	715	SHOUT	shout	gritar	
Araona	1244	THICK	thick	grueso	
Araona	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	
Araona	1623	SPEAK	speak	hablar	
Araona	677	AXE	axe	hacha	
Araona	307	HAWK	hawk	halcón	
Araona	1864	HUNGER	hunger	hambre	
Araona	1594	FLOUR	flour	harina	
Araona	675	FAECES (EXCREMENT)	faeces (excrement)	heces	
Araona	1437	SPLIT	split	hender, partir	
Araona	1109	WOUND	wound	herida, llaga	
Araona	2411	HURT (SOMEBODY)	hurt (somebody)	herir	
Araona	1758	OLDER SISTER	older sister	hermana mayor	
Araona	1761	YOUNGER SISTER	younger sister	hermana menor	
Araona	1759	OLDER BROTHER	older brother	hermano mayor	
Araona	1760	YOUNGER BROTHER	younger brother	hermano menor	
Araona	2492	BOIL (SOMETHING)	boil (something)	hervir, cocer	
Araona	1224	LIVER	liver	hígado	
Araona	121	SPIN	spin	hilar	
Araona	1161	THREAD	thread	hilo	
Araona	628	LEAF	leaf	hoja de árbol	
Araona	406	OLD MAN	old man	hombre viejo	
Araona	1482	SHOULDER	shoulder	hombro	
Araona	587	ANT	ant	hormiga	
Araona	1667	HOLE	hole	hueco, agujero	
Araona	318	FOOTPRINT	footprint	huella	
Araona	1149	ORPHAN	orphan	huérfano, huérfana	
Araona	1394	BONE	bone	hueso	
Araona	744	EGG	egg	huevo	
Araona	956	FLEE	flee	huir	
Araona	778	SMOKE (EXHAUST)	smoke (exhaust)	humo	
Araona	1958	UNRIPE	unripe	inmaduro, no maduro, verde	
Araona	695	GO	go	ir	
Araona	244	LEFT	left	izquierdo	
Araona	1455	PULL	pull	jalar	
Araona	301	CHIEFTAIN	chieftain	jefe, cacique	
Araona	1207	YOUNG	young	jóven	
Araona	1413	PLAY	play	jugar	
Araona	478	LIP	lip	labio	
Araona	682	SIDE	side	lado, costado	
Araona	632	LIZARD	lizard	lagartija	
Araona	624	LAKE	lake	lago	
Araona	1651	TEAR (OF EYE)	tear (of eye)	lágrima	
Araona	319	LICK	lick	lamer	
Araona	1203	LONG	long	largo	
Araona	1453	WASH	wash	lavar	
Araona	635	MILK	milk	leche	
Araona	735	OWL	owl	lechuza	
Araona	1406	FAR	far	lejos	
Araona	10	FIREWOOD	firewood	leña	
Araona	1205	TONGUE	tongue	lengua	
Araona	1307	LANGUAGE	language	lengua, idioma	
Araona	501	LIFT	lift	levantar	
Araona	704	CLEAN	clean	limpio	
Araona	320	LAME	lame	lisiado	
Araona	1234	SMOOTH	smooth	liso	
Araona	1052	LIGHT (WEIGHT)	light (weight)	liviano, ligero (que pesa poco)	
Araona	1084	CALL	call	llamar	
Araona	1633	FLAT	flat	llano, plano, chato	
Araona	652	PLAIN	plain	llanura	
Araona	1387	ARRIVE	arrive	llegar, alcanzar	
Araona	1429	FULL	full	lleno	
Araona	1839	CRY	cry	llorar	
Araona	1253	RAIN (RAINING)	rain (raining)	llover	
Araona	658	RAIN (PRECIPITATION)	rain (precipitation)	lluvia	
Araona	640	MUD	mud	lodo	
Araona	1219	WORM	worm	lombriz, gusano	
Araona	1313	MOON	moon	luna	
Araona	630	LIGHT (RADIATION)	light (radiation)	luz	
Araona	3924	MALE ANIMAL	male animal	macho	
Araona	1803	WOOD	wood	madera	
Araona	1216	MOTHER	mother	madre	
Araona	178	RIPE	ripe	maduro	
Araona	506	MAIZE	maize	maíz	
Araona	8	CURSE	curse	maldecir	
Araona	1292	BAD	bad	malo	
Araona	1329	TOMORROW	tomorrow	mañana	
Araona	1339	MORNING	morning	mañana	
Araona	798	JAW	jaw	mandíbula	
Araona	1277	HAND	hand	mano	
Araona	806	BLANKET	blanket	manta	
Araona	1200	HUSBAND	husband	marido, esposo	
Araona	1791	BUTTERFLY	butterfly	mariposa	
Araona	321	CHEW	chew	masticar	
Araona	1417	KILL	kill	matar	
Araona	1372	MEDICINE	medicine	medicina, remedio	
Araona	3208	CENTER OR MIDDLE	center or middle	medio, centro	
Araona	1730	CHEEK	cheek	mejilla	
Araona	2827	MENSTRUATE	menstruate	menstruar	
Araona	601	LIE (MISLEAD)	lie (mislead)	mentir	
Araona	2017	MIX	mix	mezclar, mixturar	
Araona	781	FEAR (FRIGHT)	fear (fright)	miedo	
Araona	942	HONEY	honey	miel	
Araona	1819	LOOK	look	mirar, contemplar	
Araona	816	HALF	half	mitad	
Araona	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	
Araona	1726	WET	wet	mojado	
Araona	2069	SOAK (VERB)	soak (verb)	mojar	
Araona	2324	GET WET	get wet	mojarse	
Araona	1033	GRIND	grind	moler	
Araona	420	FOREST	forest	monte, selva	
Araona	1403	BITE	bite	morder	
Araona	2409	BROWN	brown	moreno	
Araona	1504	FLY (INSECT)	fly (insect)	mosca	
Araona	765	MOVE	move	mover	
Araona	77	YOUNG WOMAN	young woman	muchacha, jóven mujer	
Araona	76	YOUNG MAN	young man	muchacho, jóven	
Araona	1198	MANY	many	muchos	
Araona	1666	MUTE	mute	mudo	
Araona	1625	DEAD	dead	muerto	
Araona	962	WOMAN	woman	mujer	
Araona	907	OLD WOMAN	old woman	mujer vieja	
Araona	1793	BAT	bat	murciélago	
Araona	471	UPPER LEG (THIGH)	upper leg (thigh)	muslo	
Araona	1090	BE BORN	be born	nacer	
Araona	1439	SWIM	swim	nadar	
Araona	834	BUTTOCKS	buttocks	nalgas, trasero	
Araona	1221	NOSE	nose	nariz	
Araona	163	BLACK	black	negro	
Araona	539	NEST	nest	nido	
Araona	249	FOG	fog	niebla, neblina	
Araona	1646	GIRL	girl	niña	
Araona	1304	CHILD (YOUNG HUMAN)	child (young human)	niño	
Araona	1366	BOY	boy	niño (chico)	
Araona	1269	NO	no	no, negativo	
Araona	1233	NIGHT	night	noche	
Araona	1405	NAME	name	nombre	
Araona	1212	WE	we	nosotros/nosotras	
Araona	1489	CLOUD	cloud	nube	
Araona	1231	NEW	new	nuevo	
Araona	3749	HATE (LOATHING)	hate (loathing)	odiar	
Araona	1408	HEAR	hear	oír	
Araona	1248	EYE	eye	ojo	
Araona	3653	COOKING POT	cooking pot	olla, paila	
Araona	1523	FORGET	forget	olvidar	
Araona	1838	NAVEL	navel	ombligo	
Araona	1247	EAR	ear	oreja	
Araona	592	PISS	piss	orinar	
Araona	11	DARKNESS	darkness	oscuridad, tinieblas	
Araona	706	DARK	dark	oscuro	
Araona	1217	FATHER	father	padre, papá	
Araona	505	PARENTS	parents	padres	
Araona	937	BIRD	bird	pájaro, ave	
Araona	1183	PALM OF HAND	palm of hand	palma de la mano	
Araona	882	PARROT	parrot	papagayo	
Araona	1644	RELATIVES	relatives	parientes, parentela	
Araona	606	GRASS	grass	pasto, hierba	
Araona	1360	DUCK	duck	pato, ánade	
Araona	2390	PECCARY	peccary	pecarí	
Araona	1592	CHEST	chest	pecho	
Araona	1828	ASK (REQUEST)	ask (request)	pedir	
Araona	1159	FART	fart	pedo	
Araona	1475	COMB	comb	peine	
Araona	275	PEEL	peel	pelar	
Araona	1423	FIGHT	fight	pelear	
Araona	580	FUR	fur	pellejo	
Araona	378	PINCH	pinch	pellizcar	
Araona	189	HAIR (BODY)	hair (body)	pelo, vello (del cuerpo)	
Araona	1222	PENIS	penis	pene	
Araona	1415	THINK (REFLECT)	think (reflect)	pensar	
Araona	1246	SMALL	small	pequeño	
Araona	1564	LAZY	lazy	perezoso	
Araona	2009	DOG	dog	perro	
Araona	683	PERSON	person	persona, ser humano	
Araona	1210	HEAVY	heavy	pesado	
Araona	1540	EYELASH	eyelash	pestaña	
Araona	227	FISH	fish	pez, pescado	
Araona	1301	FOOT	foot	pie	
Araona	763	SKIN	skin	piel, cutis, pellejo	
Araona	1297	LEG	leg	pierna	
Araona	1392	LOUSE	louse	piojo	
Araona	1486	PLANT (SOMETHING)	plant (something)	plantar, sembrar	
Araona	1201	FEATHER	feather	pluma	
Araona	1674	POOR	poor	pobre	
Araona	1242	FEW	few	pocos	
Araona	1728	ROTTEN	rotten	podrido	
Araona	2	DUST	dust	polvo	
Araona	998	PUT	put	poner	
Araona	1157	BECAUSE	because	porque	
Araona	2144	SPRING OR WELL	spring or well	pozo, manantial	
Araona	1309	ASK (INQUIRE)	ask (inquire)	preguntar	
Araona	1913	PRESS	press	presionar	
Araona	728	FIRST	first	primero	
Araona	1593	DEEP	deep	profundo, hondo	
Araona	1011	BRIDGE	bridge	puente	
Araona	1567	DOOR	door	puerta	
Araona	232	FLEA	flea	pulga	
Araona	688	LUNG	lung	pulmón	
Araona	1473	FIST	fist	puño	
Araona	1808	PUS	pus	pus	
Araona	1236	WHAT	what	qué?	
Araona	141	BURN (SOMETHING)	burn (something)	quemar, quemarse	
Araona	923	LOVE	love	querer	
Araona	1235	WHO	who	quién?	
Araona	670	ROOT	root	ráiz	
Araona	3080	SPLIT OPEN	split open	rajar	
Araona	503	FROG	frog	rana	
Araona	1767	SCRAPE	scrape	raspar, rallar	
Araona	707	REMEMBER	remember	recordar	
Araona	1404	STRAIGHT	straight	recto	
Araona	388	FISHNET	fishnet	red, atarraya	
Araona	1355	LAUGH	laugh	reír	
Araona	1654	LIGHTNING	lightning	relámpago	
Araona	1324	SLIP	slip	resbalar	
Araona	1831	MEET	meet	reunirse	
Araona	489	KIDNEY	kidney	riñón	
Araona	713	STEAL	steal	robar	
Araona	1977	DEW	dew	rocío	
Araona	827	ROLL	roll	rodar, arrollar, enrollar	
Araona	1371	KNEE	knee	rodilla	
Araona	156	RED	red	rojo	
Araona	379	BLUNT	blunt	romo, embotado	
Araona	680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	romper	
Araona	1735	TEAR (SHRED)	tear (shred)	romper, rasgar	
Araona	1983	SNORE	snore	roncar	
Araona	1895	CLOTHES	clothes	ropa	
Araona	1182	NOISE	noise	ruido	
Araona	1410	KNOW (SOMETHING)	know (something)	saber	
Araona	1909	SHAKE	shake	sacudir	
Araona	1274	SALT	salt	sal	
Araona	1107	GO OUT	go out	salir	
Araona	1752	LEAVE	leave	salir, marcharse, irse, quitarse	
Araona	1829	JUMP	jump	saltar	
Araona	946	BLOOD	blood	sangre	
Araona	1398	DRY	dry	seco	
Araona	1085	FOLLOW	follow	seguir	
Araona	714	SEED	seed	semilla	
Araona	1416	SIT	sit	sentado	
Araona	1359	SEPARATE	separate	separar, apartar	
Araona	730	SNAKE	snake	serpiente	
Araona	641	MUSHROOM	mushroom	seta	
Araona	1268	YES	yes	sí, afirmativo	
Araona	1025	WHISTLE	whistle	silbar, chiflar	
Araona	1476	CHAIR	chair	silla	
Araona	129	CHOKE	choke	sofocar	
Araona	1218	ROPE	rope	soga, cuerda	
Araona	1343	SUN	sun	sol	
Araona	1580	ONLY	only	solo, solamente	
Araona	1388	SHADE	shade	sombra	
Araona	1920	DREAM (SOMETHING)	dream (something)	soñar	
Araona	175	BLOW (OF WIND)	blow (of wind)	soplar	
Araona	996	DEAF	deaf	sordo	
Araona	1856	SOFT	soft	suave	
Araona	705	GO UP (ASCEND)	go up (ascend)	subir	
Araona	1230	DIRTY	dirty	sucio	
Araona	2159	GROUND	ground	suelo, piso	
Araona	2374	DREAM	dream	sueño	
Araona	119	DIVE	dive	sumergirse, zambullirse	
Araona	974	TOBACCO	tobacco	tabaco	
Araona	155	CHOP	chop	tajar, cortar	
Araona	980	HEEL	heel	talón	
Araona	908	DRUM	drum	tambor	
Araona	1629	EVENING	evening	tarde	
Araona	769	ROOF	roof	techo	
Araona	133	WEAVE	weave	tejer	
Araona	1616	CLOTH	cloth	tela	
Araona	52	SHIVER	shiver	temblar	
Araona	214	STRETCH	stretch	tender, alargar, estirar	
Araona	773	HAVE	have	tener	
Araona	1448	HOLD	hold	tener (en mano), apoyar	
Araona	162	HICCOUGH	hiccough	tener hipo	
Araona	1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	
Araona	549	COPULATE	copulate	tener relaciones sexuales, tener sexo	
Araona	797	TESTICLES	testicles	testículo	
Araona	1402	BREAST	breast	teta, seno, pechos	
Araona	1228	EARTH (SOIL)	earth (soil)	tierra	
Araona	1456	THROW	throw	tirar	
Araona	1892	TOUCH	touch	tocar	
Araona	98	ALL	all	todo	
Araona	297	CROOKED	crooked	torcido	
Araona	112	TURTLE	turtle	tortuga, motelo	
Araona	879	COUGH	cough	toser	
Araona	692	BRING	bring	traer	
Araona	897	SWALLOW	swallow	tragar	
Araona	1075	TRAP (PITFALL)	trap (pitfall)	trampa	
Araona	1043	BRAID	braid	trenzar	
Araona	492	THREE	three	tres	
Araona	2252	PATH	path	trocha	
Araona	1150	THUNDER	thunder	trueno	
Araona	1215	THOU	thou	tú, usted	
Araona	1258	FINGERNAIL	fingernail	uña	
Araona	1743	JOIN	join	unirse	
Araona	1493	ONE	one	uno	
Araona	1213	YOU	you	ustedes	
Araona	1624	EMPTY	empty	vacío	
Araona	1554	MAN	man	varón, hombre	
Araona	1936	DEER	deer	venado, matacán	
Araona	1571	SELL	sell	vender	
Araona	1446	COME	come	venir	
Araona	1409	SEE	see	ver	
Araona	1342	SUMMER	summer	verano	
Araona	1657	TRUE	true	verdadero	
Araona	1425	GREEN	green	verde (color)	
Araona	1229	OLD	old	viejo	
Araona	960	WIND	wind	viento 	
Araona	1422	BE ALIVE	be alive	vivo	
Araona	1441	FLY (MOVE THROUGH AIR)	fly (move through air)	volar	
Araona	1444	TURN AROUND	turn around	voltear, dar vuelta	
Araona	581	COME BACK	come back	volver, regresar	
Araona	1278	VOMIT	vomit	vomitar, arrojar	
Araona	1837	VULVA	vulva	vulva	
Araona	1577	AND	and	y	
Araona	1209	I	i	yo, mi	
Araona	925	CASSAVA	cassava	yuca	
Araona	1509	MOSQUITO	mosquito	zancudo	
Araona	864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo	
