CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	Form
1303	FINGER	finger	dedo de la mano	
676	SHIT (DEFECATE)	shit (defecate)	defecar	
2866	DROP (SOMETHING)	drop (something)	dejar caer	
1883	IN FRONT OF	in front of	delante	
2308	THIN	thin	delgado	
1973	DEMON	demon	demonio	
1019	RIGHT	right	derecho	
2334	MELT	melt	derretir	
352	UNTIE	untie	desatar	
168	REST	rest	descansar	
2014	GO DOWN (DESCEND)	go down (descend)	descender	
2117	DESIRE	desire	desear	
1784	WANT	want	desear (querer)	
590	NAKED	naked	desnudo	
3174	WAKE UP (SOMEONE)	wake up (someone)	despertar	
1602	WAKE UP	wake up	despertarse	
681	DESTROY	destroy	destruir	
1225	DAY (NOT NIGHT)	day (not night)	día	
1380	TOOTH	tooth	dientes	
2504	DIFFERENT	different	diferente	
1172	SHOOT	shoot	disparar, tirar	
2561	HURT (SENSE PAIN)	hurt (sense pain)	doler	
1783	PAIN	pain	dolor	
1129	PAINFUL	painful	doloroso	
1237	WHERE	where	dónde?	
1585	SLEEP	sleep	dormir	
1498	TWO	two	dos	
717	SWEET	sweet	dulce	
1884	HARD	hard	duro	
817	THEY	they	ellos, ellas	
855	SEIZE	seize	embargar	
1452	PUSH	push	empujar	
737	LIGHT (IGNITE)	light (ignite)	encender	
1741	ABOVE	above	encima	
719	FIND	find	encontrar, hallar	
2004	BEND	bend	encorvar, doblar	
1358	ENEMY	enemy	enemigo	
2327	BECOME SICK	become sick	enfermarse, estar enfermo	
1986	DISEASE	disease	enfermedad (dolencia)	
3230	DECEIVE	deceive	engañar	
2223	BE ANGRY	be angry	enojado	
2215	BECOME ANGRY	become angry	enojarse	
1719	BURY	bury	enterrar, sepultar	
749	ENTER	enter	entrar	
689	BETWEEN	between	entre	
1127	SEND	send	enviar, mandar	
1615	ESCAPE	escape	escapar	
1750	CHOOSE	choose	escoger, elegir	
2486	HIDE	hide	esconder	
602	HIDE (CONCEAL)	hide (conceal)	esconder (algo)	
1672	WRITE	write	escribir	
1440	SPIT	spit	escupir	
78	THAT	that	eso, ese, aquel	
1291	BACK	back	espalda	
1590	WAIT (FOR)	wait (for)	esperar	
124	THORN	thorn	espina	
1199	WIFE	wife	esposa, marida	
1442	STAND	stand	estar de pie	
1847	SICK	sick	estar enfermo	
1214	THIS	this	este	
819	STOMACH	stomach	estómago	
1621	SNEEZE	sneeze	estornudar	
1267	NARROW	narrow	estrecho, angosto	
1430	STAR	star	estrella	
1414	SQUEEZE	squeeze	exprimir	
38	SPREAD OUT	spread out	extender, esparcir	
3861	FAIL	fail	fallar, fracasar	
1175	GHOST	ghost	fantasma, espíritu	
777	FLUTE	flute	flauta	
977	ARROW	arrow	flecha	
239	FLOWER	flower	flor	
3287	BLOOM	bloom	florecer	
1574	FLOAT	float	flotar	
2003	FLOW	flow	fluir, correr	
690	BOTTOM	bottom	fondo	
123	FOREHEAD	forehead	frente (la)	
1287	COLD	cold	frío	
1449	RUB	rub	frotar, enjugar	
1507	FRUIT	fruit	fruto	
221	FIRE	fire	fuego	
785	STRONG	strong	fuerte	
3188	MIGHTY OR POWERFUL OR STRONG	mighty or powerful or strong	fuerte, poderoso	
1689	SMOKE (INHALE)	smoke (inhale)	fumar	
1318	CHICKEN	chicken	gallina	
1346	THROAT	throat	garganta	
72	CLAW	claw	garra, pezuña, pinza, zarpa	
3456	CRAWL OR CREEP	crawl or creep	gatear	
1208	CAT	cat	gato	
1005	TWINS	twins	gemelos, mellizos	
1588	TURN	turn	girar, voltearse	
1433	HIT	hit	golpear	
1202	BIG	big	grande	
323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	
715	SHOUT	shout	gritar	
1244	THICK	thick	grueso	
21	TASTE (SOMETHING)	taste (something)	gustar, saborear	
1623	SPEAK	speak	hablar	
813	DO	do	hacer	
677	AXE	axe	hacha	
307	HAWK	hawk	halcón	
2019	HAMMOCK	hammock	hamaca, chinchorro	
1864	HUNGER	hunger	hambre	
1594	FLOUR	flour	harina	
675	FAECES (EXCREMENT)	faeces (excrement)	heces	
3923	FEMALE ANIMAL	female animal	hembra	
1437	SPLIT	split	hender, partir	
1109	WOUND	wound	herida, llaga	
2411	HURT (SOMEBODY)	hurt (somebody)	herir	
1758	OLDER SISTER	older sister	hermana mayor	
1761	YOUNGER SISTER	younger sister	hermana menor	
1759	OLDER BROTHER	older brother	hermano mayor	
1760	YOUNGER BROTHER	younger brother	hermano menor	
2492	BOIL (SOMETHING)	boil (something)	hervir, cocer	
1224	LIVER	liver	hígado	
121	SPIN	spin	hilar	
1161	THREAD	thread	hilo	
628	LEAF	leaf	hoja de árbol	
406	OLD MAN	old man	hombre viejo	
1482	SHOULDER	shoulder	hombro	
587	ANT	ant	hormiga	
1667	HOLE	hole	hueco, agujero	
318	FOOTPRINT	footprint	huella	
1149	ORPHAN	orphan	huérfano, huérfana	
1394	BONE	bone	hueso	
744	EGG	egg	huevo	
956	FLEE	flee	huir	
778	SMOKE (EXHAUST)	smoke (exhaust)	humo	
1958	UNRIPE	unripe	inmaduro, no maduro, verde	
1334	GUTS	guts	intestinos, tripas	
695	GO	go	ir	
244	LEFT	left	izquierdo	
1250	JAGUAR	jaguar	jaguar	
1455	PULL	pull	jalar	
301	CHIEFTAIN	chieftain	jefe, cacique	
1207	YOUNG	young	jóven	
1413	PLAY	play	jugar	
478	LIP	lip	labio	
682	SIDE	side	lado, costado	
632	LIZARD	lizard	lagartija	
624	LAKE	lake	lago	
1651	TEAR (OF EYE)	tear (of eye)	lágrima	
319	LICK	lick	lamer	
1203	LONG	long	largo	
1453	WASH	wash	lavar	
635	MILK	milk	leche	
735	OWL	owl	lechuza	
1406	FAR	far	lejos	
10	FIREWOOD	firewood	leña	
1205	TONGUE	tongue	lengua	
1307	LANGUAGE	language	lengua, idioma	
501	LIFT	lift	levantar	
1454	WIPE	wipe	limpiar	
704	CLEAN	clean	limpio	
320	LAME	lame	lisiado	
1234	SMOOTH	smooth	liso	
1052	LIGHT (WEIGHT)	light (weight)	liviano, ligero (que pesa poco)	
1084	CALL	call	llamar	
1633	FLAT	flat	llano, plano, chato	
652	PLAIN	plain	llanura	
1387	ARRIVE	arrive	llegar, alcanzar	
2006	FILL	fill	llenar	
1429	FULL	full	lleno	
1839	CRY	cry	llorar	
1253	RAIN (RAINING)	rain (raining)	llover	
658	RAIN (PRECIPITATION)	rain (precipitation)	lluvia	
640	MUD	mud	lodo	
1219	WORM	worm	lombriz, gusano	
1313	MOON	moon	luna	
630	LIGHT (RADIATION)	light (radiation)	luz	
1520	CRUSH	crush	machacar, aplastar	
3924	MALE ANIMAL	male animal	macho	
1803	WOOD	wood	madera	
1216	MOTHER	mother	madre	
179	RIPEN	ripen	madurar	
178	RIPE	ripe	maduro	
506	MAIZE	maize	maíz	
8	CURSE	curse	maldecir	
1292	BAD	bad	malo	
2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	mamar	
1329	TOMORROW	tomorrow	mañana	
1339	MORNING	morning	mañana	
798	JAW	jaw	mandíbula	
1277	HAND	hand	mano	
806	BLANKET	blanket	manta	
1200	HUSBAND	husband	marido, esposo	
1791	BUTTERFLY	butterfly	mariposa	
321	CHEW	chew	masticar	
1417	KILL	kill	matar	
1372	MEDICINE	medicine	medicina, remedio	
