DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Sharanahua	1491	MOUSE	mouse	ratón	camundongo	
Sharanahua	1494	DIE	die	morir	morrer	
Sharanahua	1496	GRANDMOTHER	grandmother	abuela	avó	
Sharanahua	1510	CHIN	chin	barbilla, mentón	queixo	
Sharanahua	1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse		
Sharanahua	1520	CRUSH	crush	machacar, aplastar		
Sharanahua	1542	ACCOMPANY	accompany	acompañar	vinho	
Sharanahua	1531	BRANCH	branch	rama	galho	
Sharanahua	1533	BE HUNGRY	be hungry	hambriento	TER FOME	
Sharanahua	1540	EYELASH	eyelash	pestaña	pestana, cílio	
Sharanahua	1571	SELL	sell	vender	vender	
Sharanahua	1588	TURN	turn	girar, voltearse	virar	
Sharanahua	1590	WAIT (FOR)	wait (for)	esperar		
Sharanahua	1615	ESCAPE	escape	escapar		
Sharanahua	1625	DEAD	dead	muerto	morto	
Sharanahua	1629	EVENING	evening	tarde	tarde	
Sharanahua	1631	FAST	fast	ágil	rápido, ligeiro	
Sharanahua	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	
Sharanahua	1660	LOSE	lose	perder		
Sharanahua	1711	TELL	tell	contar, narrar	dizer	
Sharanahua	1741	ABOVE	above	encima	encima	
Sharanahua	1753	TOP	top	parte superior	cume, topo	
Sharanahua	1827	HARVEST CROPS	harvest crops	cosechar		
Sharanahua	1836	VAGINA	vagina	vagina	vagina	
Sharanahua	1837	VULVA	vulva	vulva	órgão sexual feminino	
Sharanahua	1840	BUILD	build	construir, edificar	construir	
Sharanahua	1860	BEAD	bead	chaquira, abalorio	contas, miçanga	
Sharanahua	1864	HUNGER	hunger	hambre	fome	
Sharanahua	1883	IN FRONT OF	in front of	delante	frente	
Sharanahua	1923	ROUGH	rough	áspero	áspero	
Sharanahua	1937	THERE	there	allí	lá	
Sharanahua	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	
Sharanahua	1977	DEW	dew	rocío	orvalho	
Sharanahua	1986	DISEASE	disease	enfermedad (dolencia)		
Sharanahua	1996	GET TIRED	get tired	cansarse)		
Sharanahua	2004	BEND	bend	encorvar, doblar	dobrar, curvar	
Sharanahua	2012	COLLAR	collar	collar	colarinho	
Sharanahua	2019	HAMMOCK	hammock	hamaca, chinchorro	rede	
Sharanahua	2069	SOAK (VERB)	soak (verb)	mojar		
Sharanahua	2070	COMB (VERB)	comb (verb)	peinar		
Sharanahua	2102	BURN	burn	quemar, arder	queimar	
Sharanahua	2112	OLD (AGED)	old (aged)	viejo		
Sharanahua	2113	OLD (USED)	old (used)	usado		
Sharanahua	2117	DESIRE	desire	desear		
Sharanahua	2124	SMELL	smell	olor	cheirar	
Sharanahua	2144	SPRING OR WELL	spring or well	pozo, manantial	nascente, poço	
Sharanahua	2159	GROUND	ground	piso		
Sharanahua	2215	BECOME ANGRY	become angry	enojarse		
Sharanahua	2223	BE ANGRY	be angry	enojado		
Sharanahua	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		
Sharanahua	2271	THINK	think	pensar	pensar	
Sharanahua	2297	DUSK	dusk	anochecer, atardecer		
Sharanahua	2308	THIN	thin	delgado	fino	
Sharanahua	2319	LID (COVER, CAP)	lid (cover, cap)	tapa		
Sharanahua	2324	GET WET	get wet	mojarse		
Sharanahua	2327	BECOME SICK	become sick	enfermarse, estar enfermo		
Sharanahua	2334	MELT	melt	derretir		
Sharanahua	2341	CLOUDY	cloudy	nublado		
Sharanahua	2374	DREAM	dream	sueño	SONHO / SONHAR	
Sharanahua	2390	PECCARY	peccary	pecarí		
Sharanahua	2409	BROWN	brown	moreno		
Sharanahua	2411	HURT (SOMEBODY)	hurt (somebody)	herir		
Sharanahua	2468	BAG	bag	bolsa		
Sharanahua	2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	mamar		
Sharanahua	2486	HIDE	hide	esconder	ESCONDER	
Sharanahua	2492	BOIL (SOMETHING)	boil (something)	hervir, cocer		
Sharanahua	2504	DIFFERENT	different	diferente		
Sharanahua	2506	LOOSE	loose	suelto		
Sharanahua	2561	HURT (SENSE PAIN)	hurt (sense pain)	doler		
Sharanahua	2613	SKIN (HUMAN)	skin (human)	piel		
Sharanahua	2614	SKIN (ANIMAL)	skin (animal)	pellejo, piel		
Sharanahua	2638	FISHING	fishing	pescar	pescar	
Sharanahua	2790	HIGH OR TALL	high or tall	alto		
Sharanahua	2827	MENSTRUATE	menstruate	menstruar		
