DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Tacana	1256	HEAD	head	cabeza	e-chua
Tacana	1583	BRAIN	brain	cerebro, sesos	e-chua bushu
Tacana	2648	HAIR (HEAD)	hair (head)	cabello	e-chua-ina
Tacana	301	CHIEFTAIN	chieftain	jefe, cacique	e-cuai
Tacana	505	PARENTS	parents	padres	e-cuaretse
Tacana	674	MOUTH	mouth	boca	e-cuatsa
Tacana	798	JAW	jaw	mandíbula	e-d’ahui
Tacana	1393	HORN (ANATOMY)	horn (anatomy)	cuerno	e-dana
Tacana	1207	YOUNG	young	jóven	e-deahue
Tacana	1644	RELATIVES	relatives	parientes, parentela	e-due
Tacana	1199	WIFE	wife	esposa, marida	e-huane
Tacana	1301	FOOT	foot	pie	e-huatsi
Tacana	980	HEEL	heel	talón	e-huatsi tiadi
Tacana	1221	NOSE	nose	nariz	e-hui
Tacana	1247	EAR	ear	oreja	e-id’aja
Tacana	404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	e-id’i
Tacana	1372	MEDICINE	medicine	medicina, remedio	e-idue
Tacana	628	LEAF	leaf	hoja de árbol	e-ina
Tacana	1201	FEATHER	feather	pluma	e-ina
Tacana	189	HAIR (BODY)	hair (body)	pelo, vello (del cuerpo)	e-inua
Tacana	744	EGG	egg	huevo	e-ja
Tacana	714	SEED	seed	semilla	e-jaja
Tacana	797	TESTICLES	testicles	testículo	e-jaja
Tacana	1303	FINGER	finger	dedo de la mano	e-jatsa
Tacana	420	FOREST	forest	monte, selva	e-jije
Tacana	1371	KNEE	knee	rodilla	e-madachua
Tacana	1277	HAND	hand	mano	e-me
Tacana	1183	PALM OF HAND	palm of hand	palma de la mano	e-me-tacua
Tacana	1258	FINGERNAIL	fingernail	uña	e-metid’i
Tacana	1257	WING	wing	ala	e-nabaji
Tacana	1333	NECK	neck	cuello	e-naja
Tacana	811	SOUL	soul	alma	e-nid’u
Tacana	489	KIDNEY	kidney	riñón	e-paidhudu, muru-muru-ji
Tacana	1594	FLOUR	flour	harina	e-pamu
Tacana	2	DUST	dust	polvo	e-pamu
Tacana	801	RIB	rib	costilla	e-pareiri
Tacana	1325	FRIEND	friend	amigo, compañero	e-pereji
Tacana	77	YOUNG WOMAN	young woman	muchacha, jóven mujer	e-puneje chidi
Tacana	76	YOUNG MAN	young man	muchacho, jóven	e-puneje chidi
Tacana	2144	SPRING OR WELL	spring or well	pozo, manantial	e-pururu
Tacana	478	LIP	lip	labio	e-queque
Tacana	1480	BODY	body	cuerpo	e-quita
Tacana	539	NEST	nest	nido	e-sa-ji
Tacana	1895	CLOTHES	clothes	ropa	e-sai-ba-ji
Tacana	1398	DRY	dry	seco	e-sara
Tacana	1252	HOUSE	house	casa	e-te
Tacana	769	ROOF	roof	techo	e-te beji
Tacana	1567	DOOR	door	puerta	e-teri-ji
Tacana	1188	CHARCOAL	charcoal	carbón	e-tid’e
Tacana	471	UPPER LEG (THIGH)	upper leg (thigh)	muslo	e-tidada
Tacana	1297	LEG	leg	pierna	e-tidada
Tacana	1220	TAIL	tail	cola/rabo	e-tidha, e-tima
Tacana	646	ASH	ash	cenizas	e-timu
Tacana	1394	BONE	bone	hueso	e-tsau
Tacana	1380	TOOTH	tooth	dientes	e-tse
Tacana	323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	e-tsei
Tacana	1363	VOICE	voice	voz	e-tsui
Tacana	1346	THROAT	throat	garganta	e-tsui-jani
Tacana	772	BELT	belt	cinturón, faja	e-tu-risi-ji
Tacana	1248	EYE	eye	ojo	e-tua
Tacana	1540	EYELASH	eyelash	pestaña	e-tua queque ina
Tacana	1173	EYEBROW	eyebrow	ceja	e-tua shinu
Tacana	1591	UP	up	arriba, encima	e-baque
Tacana	1560	FACE	face	cara	e-bu
Tacana	670	ROOT	root	ráiz	e-d’au
Tacana	1959	RAW	raw	crudo	e-dhahua
Tacana	2113	OLD (USED)	old (used)	usado, viejo (de cosas)	e-dhi
Tacana	1229	OLD	old	viejo	e-dhi
Tacana	1606	INSIDE	inside	adentro, dentro	e-dume su
Tacana	816	HALF	half	mitad	e-dusete
Tacana	1268	YES	yes	sí, afirmativo	ehe
Tacana	1231	NEW	new	nuevo	e-ichacua, e-nana
Tacana	1485	BELOW OR UNDER	below or under	debajo	e-ma su
Tacana	1209	I	i	yo, mi	ema, yama
Tacana	834	BUTTOCKS	buttocks	nalgas, trasero	e-mutu
Tacana	1958	UNRIPE	unripe	inmaduro, no maduro, verde	e-nana
Tacana	1657	TRUE	true	verdadero	e-ni
Tacana	1035	GOOD	good	bueno	e-ni, saida
Tacana	962	WOMAN	woman	mujer	e-puna
Tacana	1883	IN FRONT OF	in front of	delante	e-quene
Tacana	728	FIRST	first	primero	e-quene
Tacana	178	RIPE	ripe	maduro	e-sehua
Tacana	1429	FULL	full	lleno	e-seje
Tacana	762	OUTSIDE	outside	afuera, fuera, exterior	e-tseque su
Tacana	1246	SMALL	small	pequeño	huai chidi
Tacana	765	MOVE	move	mover	huaji-huaji
Tacana	214	STRETCH	stretch	tender, alargar, estirar	huana
Tacana	1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	huaniba
Tacana	1850	COTTON	cotton	algodón	huapese
Tacana	1149	ORPHAN	orphan	huérfano, huérfana	huaquicha
Tacana	731	BEVERAGE	beverage	bebida	huarapu
Tacana	1318	CHICKEN	chicken	gallina	huaripa
Tacana	665	BEE	bee	abeja	huasa
Tacana	942	HONEY	honey	miel	huasa ena
Tacana	630	LIGHT (RADIATION)	light (radiation)	luz	hueda
Tacana	729	DAWN	dawn	albor, amanecer, aurora, madrugada	huena
Tacana	1504	FLY (INSECT)	fly (insect)	mosca	huere-huere
Tacana	2003	FLOW	flow	fluir, correr	hueu pu
Tacana	1025	WHISTLE	whistle	silbar, chiflar	hui
Tacana	592	PISS	piss	orinar	huia
Tacana	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	huid’i
Tacana	1287	COLD	cold	frío	huinada
Tacana	897	SWALLOW	swallow	tragar	ibudia
Tacana	998	PUT	put	poner	icha
Tacana	38	SPREAD OUT	spread out	extender, esparcir	icha-huana
Tacana	928	EMBRACE	embrace	abrazar	id'ami
Tacana	1408	HEAR	hear	oír	id’aba
Tacana	996	DEAF	deaf	sordo	id’aja mahue
Tacana	1602	WAKE UP	wake up	despertarse	id’e-cuina
Tacana	1343	SUN	sun	sol	id’eti
Tacana	1401	DRINK	drink	beber, tomar	id’i
Tacana	587	ANT	ant	hormiga	id’ui
Tacana	1084	CALL	call	llamar	ihua
Tacana	1728	ROTTEN	rotten	podrido	ihuida
Tacana	1961	NECKLACE	necklace	collar	ine
Tacana	1571	SELL	sell	vender	iru
