DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Kakataibo	2271	THINK	think	pensar	pensar	sinanti
Kakataibo	1996	GET TIRED	get tired	cansarse		tatununti
Kakataibo	1241	SOME	some	alguno, pocos	alguns	tëxë
Kakataibo	1831	MEET	meet	reunirse	encontrar	timë́ti
Kakataibo	2638	FISHING	fishing	pescar	pescar	tsatsa ‘ati
Kakataibo	639	MOUNTAIN	mountain	montaña, monte	serra	tsira
Kakataibo	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	tsóti
Kakataibo	2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	mamar		tsukukati
Kakataibo	2070	COMB (VERB)	comb (verb)	peinar		tuaskati
Kakataibo	3287	BLOOM	bloom	florecer		tuáti
Kakataibo	1803	WOOD	wood	madera	madeira	tuku
Kakataibo	1440	SPIT	spit	escupir (saliva [noun])	cuspir	tushukiti, tushukati
Kakataibo	78	THAT	that	eso, ese, aquel	esse	u
Kakataibo	1407	BREATHE	breathe	respirar	respirar	uinti
Kakataibo	1937	THERE	there	allí	lá	unu
Kakataibo	2112	OLD (AGED)	old (aged)	viejo		xëni
Kakataibo	1094	FASTEN	fasten	amarrar		xëoti, nëati
Kakataibo	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	xëtoti
Kakataibo	882	PARROT	parrot	papagayo	papagaio	xón
Kakataibo	1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	xuiti
Kakataibo	1127	SEND	send	enviar, mandar	enviar, mandar	xuti
Kakataibo	3898	ACCEPT	accept	aceptar		
Kakataibo	1434	STAB	stab	achurar, acuchillar		
Kakataibo	1542	ACCOMPANY	accompany	acompañar	vinho	
Kakataibo	1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)	
Kakataibo	762	OUTSIDE	outside	afuera, fuera, exterior	fora	
Kakataibo	46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar	
Kakataibo	2790	HIGH OR TALL	high or tall	alto		
Kakataibo	2297	DUSK	dusk	anochecer, atardecer		
Kakataibo	1428	BURNING	burning	arder	queimar, arder	
Kakataibo	380	WRINKLED	wrinkled	arrugado	enrugado	
Kakataibo	999	JOINT	joint	articulaciones		
Kakataibo	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	
Kakataibo	1879	DANCE	dance	bailar	dançar	
Kakataibo	3472	DANCE (MOVEMENT)	dance (movement)	baile, danza		
Kakataibo	731	BEVERAGE	beverage	bebida	bebida	
Kakataibo	404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	bebida fermentada	
Kakataibo	1463	DRUNK	drunk	borracho, ebrio	embriagado	
Kakataibo	612	HEAT	heat	calor		
Kakataibo	1096	SONG	song	canción		
Kakataibo	1337	PIG	pig	cerdo, puerco	porco europeu	
Kakataibo	1860	BEAD	bead	chaquira, perla	contas, miçanga	
Kakataibo	493	FIVE	five	cinco	cinco	
Kakataibo	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	
Kakataibo	1340	WITH	with	con		
Kakataibo	1275	ANSWER	answer	contestar, responder	responder	
Kakataibo	1204	BARK	bark	corteza, cascara	casca da árvore	
Kakataibo	1827	HARVEST CROPS	harvest crops	cosechar		
Kakataibo	1500	FOUR	four	cuatro	quatro	
Kakataibo	1883	IN FRONT OF	in front of	delante	frente	
Kakataibo	2334	MELT	melt	derretir		
Kakataibo	590	NAKED	naked	desnudo	despido, nu	
Kakataibo	681	DESTROY	destroy	destruir	destruir	
Kakataibo	1129	PAINFUL	painful	doloroso		
Kakataibo	2223	BE ANGRY	be angry	enojado		
Kakataibo	689	BETWEEN	between	entre		
Kakataibo	1590	WAIT (FOR)	wait (for)	esperar		
Kakataibo	1214	THIS	this	este	este	
Kakataibo	1621	SNEEZE	sneeze	estornudar	espirrar	
Kakataibo	1267	NARROW	narrow	estrecho, angosto	estreito	
Kakataibo	1175	GHOST	ghost	fantasma, espíritu	fantasma	
Kakataibo	777	FLUTE	flute	flauta	flauta	
Kakataibo	1574	FLOAT	float	flotar	flutuar	
Kakataibo	3861	FAIL	fail	fracasar		
Kakataibo	1005	TWINS	twins	gemelos	gêmeos	
Kakataibo	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	
Kakataibo	813	DO	do	hacer	fazer	
Kakataibo	1864	HUNGER	hunger	hambre	fome	
Kakataibo	1533	BE HUNGRY	be hungry	hambriento	TER FOME	
Kakataibo	1594	FLOUR	flour	harina	farinha	
Kakataibo	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
Kakataibo	3923	FEMALE ANIMAL	female animal	hembra		
Kakataibo	1149	ORPHAN	orphan	huérfano, huérfana	órfão/órfã	
Kakataibo	956	FLEE	flee	huir	escapar, fugir	
Kakataibo	76	YOUNG MAN	young man	jóven	rapaz	
Kakataibo	1307	LANGUAGE	language	lengua, idioma	língua (idioma)	
Kakataibo	652	PLAIN	plain	llanura	campo, planície, savannah	
Kakataibo	1253	RAIN (RAINING)	rain (raining)	llover		
Kakataibo	630	LIGHT (RADIATION)	light (radiation)	luz	luz	
Kakataibo	8	CURSE	curse	maldecir	amaldiçoar	
Kakataibo	1339	MORNING	morning	mañana	manhã	
Kakataibo	798	JAW	jaw	mandíbula	maxila	
Kakataibo	781	FEAR (FRIGHT)	fear (fright)	miedo	medo, susto	
Kakataibo	816	HALF	half	mitad	metade	
Kakataibo	2409	BROWN	brown	moreno		
Kakataibo	471	UPPER LEG (THIGH)	upper leg (thigh)	muslo	coxa	
Kakataibo	1090	BE BORN	be born	nacer	nascer	
Kakataibo	1233	NIGHT	night	noche	noite	
Kakataibo	2341	CLOUDY	cloudy	nublado		
Kakataibo	739	FEED	feed	nutrir		
Kakataibo	694	GET	get	obtener, recibir	obter, conseguir	
Kakataibo	3463	RIVERBANK	riverbank	orilla, ribera		
Kakataibo	11	DARKNESS	darkness	oscuridad, tinieblas	escuridão	
Kakataibo	706	DARK	dark	oscuro	escuro	
Kakataibo	505	PARENTS	parents	padres	pais	
Kakataibo	593	POTATO	potato	papa	batata	
Kakataibo	1753	TOP	top	parte superior	cume, topo	
Kakataibo	1828	ASK (REQUEST)	ask (request)	pedir	pedir	
Kakataibo	2614	SKIN (ANIMAL)	skin (animal)	pellejo, piel		
Kakataibo	1047	PURSUE	pursue	perseguir	perseguir	
Kakataibo	544	SPICY	spicy	picante		
Kakataibo	2159	GROUND	ground	piso		
Kakataibo	1674	POOR	poor	pobre	pobre	
Kakataibo	1157	BECAUSE	because	porque	porque	
Kakataibo	2144	SPRING OR WELL	spring or well	pozo, manantial	nascente, poço	
Kakataibo	728	FIRST	first	primero	primeiro	
Kakataibo	1011	BRIDGE	bridge	puente	ponte	
Kakataibo	2102	BURN	burn	quemar, arder	queimar	
Kakataibo	3080	SPLIT OPEN	split open	rajar		
Kakataibo	1531	BRANCH	branch	rama	galho	
Kakataibo	1654	LIGHTNING	lightning	relámpago	relâmpago	
Kakataibo	870	BREATH	breath	respiro	hálito	
Kakataibo	3224	WRING	wring	retorcer, estrujar		
Kakataibo	696	STIR	stir	revolver		
Kakataibo	3020	BREAK (BREAKING)	break (breaking)	romperse	quebrar(-se) / romper(-se)	
Kakataibo	1182	NOISE	noise	ruido		
Kakataibo	377	LOUD	loud	ruidoso	ruidoso, barulhento	
Kakataibo	1359	SEPARATE	separate	separar, apartar	separar	
Kakataibo	1719	BURY	bury	sepultar	enterrar	
Kakataibo	641	MUSHROOM	mushroom	seta	cogumelo	
Kakataibo	1268	YES	yes	sí, afirmativo	sim, afirmativo	
Kakataibo	129	CHOKE	choke	sofocar	sufocar	
Kakataibo	1230	DIRTY	dirty	sucio	sujo	
Kakataibo	2506	LOOSE	loose	suelto		
Kakataibo	2374	DREAM	dream	sueño	SONHO / SONHAR	
Kakataibo	908	DRUM	drum	tambor	tambor	
Kakataibo	2319	LID (COVER, CAP)	lid (cover, cap)	tapa		
Kakataibo	1616	CLOTH	cloth	tela	tecido, pano	
Kakataibo	773	HAVE	have	tener	ter	
Kakataibo	1232	WARM	warm	tibio, cálido	quente, cálido	
Kakataibo	549	COPULATE	copulate	tirar, tener relaciones sexuales	ter relações sexuais	
Kakataibo	897	SWALLOW	swallow	tragar	tragar, engolir	
Kakataibo	1043	BRAID	braid	trenzar	trança	
Kakataibo	492	THREE	three	tres	três	
Kakataibo	699	SAD	sad	triste	TRISTE (ZA)	
Kakataibo	2113	OLD (USED)	old (used)	usado		
Kakataibo	1624	EMPTY	empty	vacío	vazio	
Kakataibo	1836	VAGINA	vagina	vagina	vagina	
Kakataibo	976	WEAR	wear	vestir		
Kakataibo	581	COME BACK	come back	volver, regresar	voltar, regressar	
Kakataibo	1363	VOICE	voice	voz	voz	
Kakataibo	1837	VULVA	vulva	vulva	órgão sexual feminino	
