DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Isconahua	772	BELT	belt	cinturón, faja	cinto	
Isconahua	7	GATHER	gather	colectar, reunir, compilar, recopilar	colecionar, reunir	
Isconahua	1239	HOW	how	cómo?	como?	
Isconahua	1340	WITH	with	con		
Isconahua	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien		
Isconahua	1204	BARK	bark	corteza, cascara	casca da árvore	
Isconahua	738	THING	thing	cosa	coisa	
Isconahua	1827	HARVEST CROPS	harvest crops	cosechar		
Isconahua	1238	WHEN	when	cuándo?	quando?	
Isconahua	1500	FOUR	four	cuatro	quatro	
Isconahua	1458	SAY	say	decir	dizer	
Isconahua	1883	IN FRONT OF	in front of	delante	frente	
Isconahua	2308	THIN	thin	delgado	fino	
Isconahua	1973	DEMON	demon	demonio	demônio	
Isconahua	2334	MELT	melt	derretir		
Isconahua	352	UNTIE	untie	desatar	desatar	
Isconahua	168	REST	rest	descansar	descansar	
Isconahua	2117	DESIRE	desire	desear		
Isconahua	681	DESTROY	destroy	destruir	destruir	
Isconahua	2504	DIFFERENT	different	diferente		
Isconahua	1783	PAIN	pain	dolor	dor	
Isconahua	1129	PAINFUL	painful	doloroso		
Isconahua	717	SWEET	sweet	dulce	doce	
Isconahua	1884	HARD	hard	duro	duro	
Isconahua	855	SEIZE	seize	embargar	pegar	
Isconahua	737	LIGHT (IGNITE)	light (ignite)	encender	acender, atear	
Isconahua	1741	ABOVE	above	encima	encima	
Isconahua	2004	BEND	bend	encorvar, doblar	dobrar, curvar	
Isconahua	1358	ENEMY	enemy	enemigo	inimigo	
Isconahua	2327	BECOME SICK	become sick	enfermarse, estar enfermo		
Isconahua	1986	DISEASE	disease	enfermedad (dolencia)		
Isconahua	3230	DECEIVE	deceive	engañar		
Isconahua	2223	BE ANGRY	be angry	enojado		
Isconahua	689	BETWEEN	between	entre		
Isconahua	1127	SEND	send	enviar, mandar	enviar, mandar	
Isconahua	1615	ESCAPE	escape	escapar		
Isconahua	1672	WRITE	write	escribir	escrever	
Isconahua	1267	NARROW	narrow	estrecho, angosto	estreito	
Isconahua	777	FLUTE	flute	flauta	flauta	
Isconahua	3287	BLOOM	bloom	florecer		
Isconahua	690	BOTTOM	bottom	fondo	fundo	
Isconahua	1449	RUB	rub	frotar, enjugar	esfregar	
Isconahua	1208	CAT	cat	gato	gato	
Isconahua	1005	TWINS	twins	gemelos, mellizos	gêmeos	
Isconahua	1588	TURN	turn	girar, voltearse	virar	
Isconahua	323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	gordura	
Isconahua	715	SHOUT	shout	gritar	gritar	
Isconahua	1244	THICK	thick	grueso	grosso	
Isconahua	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	
Isconahua	813	DO	do	hacer	fazer	
Isconahua	1864	HUNGER	hunger	hambre	fome	
Isconahua	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	
Isconahua	2411	HURT (SOMEBODY)	hurt (somebody)	herir		
Isconahua	1482	SHOULDER	shoulder	hombro	ombro	
Isconahua	1667	HOLE	hole	hueco, agujero	buraco	
Isconahua	956	FLEE	flee	huir	escapar, fugir	
Isconahua	301	CHIEFTAIN	chieftain	jefe, cacique	chefe, cacique	
Isconahua	1207	YOUNG	young	jóven	jovem, novo	
Isconahua	682	SIDE	side	lado, costado	lado	
Isconahua	501	LIFT	lift	levantar	levantar, içar	
Isconahua	320	LAME	lame	lisiado	coxo	
Isconahua	652	PLAIN	plain	llanura	campo, planície, savannah	
Isconahua	1429	FULL	full	lleno	estar cheio	
Isconahua	640	MUD	mud	lodo	lama, lodo	
Isconahua	630	LIGHT (RADIATION)	light (radiation)	luz	luz	
Isconahua	1520	CRUSH	crush	machacar, aplastar		
Isconahua	1803	WOOD	wood	madera	madeira	
Isconahua	179	RIPEN	ripen	madurar		
Isconahua	8	CURSE	curse	maldecir	amaldiçoar	
Isconahua	2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	mamar		
Isconahua	798	JAW	jaw	mandíbula	maxila	
Isconahua	3208	CENTER OR MIDDLE	center or middle	medio, centro	meio, centro	
Isconahua	816	HALF	half	mitad	metade	
Isconahua	2069	SOAK (VERB)	soak (verb)	mojar		
Isconahua	2324	GET WET	get wet	mojarse		
Isconahua	2409	BROWN	brown	moreno		
Isconahua	765	MOVE	move	mover	mover	
Isconahua	3452	MUCH	much	mucho		
Isconahua	471	UPPER LEG (THIGH)	upper leg (thigh)	muslo	coxa	
Isconahua	1090	BE BORN	be born	nacer	nascer	
Isconahua	694	GET	get	obtener, recibir	obter, conseguir	
Isconahua	1408	HEAR	hear	oír	ouvir	
Isconahua	2124	SMELL	smell	olor	cheirar	
Isconahua	11	DARKNESS	darkness	oscuridad, tinieblas	escuridão	
Isconahua	505	PARENTS	parents	padres	pais	
Isconahua	1753	TOP	top	parte superior	cume, topo	
Isconahua	2390	PECCARY	peccary	pecarí		
Isconahua	1475	COMB	comb	peine	pente	
Isconahua	580	FUR	fur	pellejo	pelo	
Isconahua	2271	THINK	think	pensar	pensar	
Isconahua	1246	SMALL	small	pequeño	pequeno	
Isconahua	2638	FISHING	fishing	pescar	pescar	
Isconahua	544	SPICY	spicy	picante		
Isconahua	1297	LEG	leg	pierna	perna	
Isconahua	2159	GROUND	ground	piso		
Isconahua	1674	POOR	poor	pobre	pobre	
Isconahua	1728	ROTTEN	rotten	podrido	podre	
Isconahua	998	PUT	put	poner	pôr	
Isconahua	1157	BECAUSE	because	porque	porque	
Isconahua	1913	PRESS	press	presionar	comprimir, apertar	
Isconahua	728	FIRST	first	primero	primeiro	
Isconahua	232	FLEA	flea	pulga	pulga	
Isconahua	371	PICK UP	pick up	recoger	captar	
Isconahua	1404	STRAIGHT	straight	recto	reto	
Isconahua	388	FISHNET	fishnet	red, atarraya	rede de pesca	
Isconahua	870	BREATH	breath	respiro	hálito	
Isconahua	3224	WRING	wring	retorcer, estrujar		
Isconahua	1371	KNEE	knee	rodilla	joelho	
Isconahua	379	BLUNT	blunt	romo, embotado	embotado, rombudo	
Isconahua	1735	TEAR (SHRED)	tear (shred)	romper, rasgar	romper, rasgar	
Isconahua	1182	NOISE	noise	ruido		
