ID	DOCULECT	CONCEPTICON ID	CONCEPTICON_GLOSS	VALUE
1213	Araona_IDS	1291	BACK	be-bakʷa
1214	Araona_IDS	1291	BACK	be-sese
1215	Araona_IDS	1256	HEAD	e-šoa
1216	Araona_IDS	1583	BRAIN	doboso
1217	Araona_IDS	1560	FACE	e-bo
1218	Araona_IDS	123	FOREHEAD	maedada
1219	Araona_IDS	798	JAW	zawi
1220	Araona_IDS	1248	EYE	e-toa
1221	Araona_IDS	1173	EYEBROW	toa-bei
1222	Araona_IDS	1540	EYELASH	toa-kʷekʷe iɲa
1223	Araona_IDS	1247	EAR	e-iza-ha
1224	Araona_IDS	1221	NOSE	ewi
1225	Araona_IDS	208	NASAL MUCUS (SNOT)	wizi
1226	Araona_IDS	674	MOUTH	kʷac̷a
1227	Araona_IDS	478	LIP	kʷekʷe
1228	Araona_IDS	1205	TONGUE	e-ana
1229	Araona_IDS	1380	TOOTH	e-c̷e
1230	Araona_IDS	1333	NECK	nala
1231	Araona_IDS	1482	SHOULDER	bata
1232	Araona_IDS	1482	SHOULDER	ebe-
1233	Araona_IDS	1673	ARM	ebai
1234	Araona_IDS	1886	ARMPIT	nokʷizi
1235	Araona_IDS	981	ELBOW	bac̷o
1236	Araona_IDS	1277	HAND	e-me
1237	Araona_IDS	1183	PALM OF HAND	me-takʷa
1238	Araona_IDS	1303	FINGER	me-ac̷a
1239	Araona_IDS	1258	FINGERNAIL	me-tezi
1240	Araona_IDS	1297	LEG	tiǰada
1241	Araona_IDS	1297	LEG	eta
1242	Araona_IDS	471	UPPER LEG (THIGH)	wisoi-ono
1243	Araona_IDS	471	UPPER LEG (THIGH)	hec̷i
1244	Araona_IDS	1371	KNEE	eadai
1245	Araona_IDS	1371	KNEE	madaha
1246	Araona_IDS	1301	FOOT	wac̷i
1247	Araona_IDS	318	FOOTPRINT	padi
1248	Araona_IDS	1257	WING	naba-i
1249	Araona_IDS	1201	FEATHER	e-iɲa
1250	Araona_IDS	1592	CHEST	emi
1251	Araona_IDS	1592	CHEST	c̷edo
1252	Araona_IDS	1402	BREAST	ac̷o
1253	Araona_IDS	1838	NAVEL	c̷omoto
1254	Araona_IDS	1223	HEART	mosoho
1255	Araona_IDS	688	LUNG	mosozata
1256	Araona_IDS	1224	LIVER	takʷa
1257	Araona_IDS	489	KIDNEY	pehaha
1258	Araona_IDS	819	STOMACH	ese
1259	Araona_IDS	819	STOMACH	hememe-i
1260	Araona_IDS	834	BUTTOCKS	mani
1261	Araona_IDS	834	BUTTOCKS	moto
1262	Araona_IDS	797	TESTICLES	eha
1263	Araona_IDS	1222	PENIS	eti
1264	Araona_IDS	162	HICCOUGH	c̷odo
1265	Araona_IDS	879	COUGH	oto
1266	Araona_IDS	1621	SNEEZE	tizo
1267	Araona_IDS	1440	SPIT	kʷedi
1268	Araona_IDS	1278	VOMIT	bataiyo
1269	Araona_IDS	1403	BITE	lao
1270	Araona_IDS	1403	BITE	c̷oi
1271	Araona_IDS	319	LICK	c̷eo
1272	Araona_IDS	1585	SLEEP	tawi
1273	Araona_IDS	1920	DREAM (SOMETHING)	tawi-ba
1274	Araona_IDS	1602	WAKE UP	ize
1275	Araona_IDS	592	PISS	wi
1276	Araona_IDS	676	SHIT (DEFECATE)	domi
1277	Araona_IDS	549	COPULATE	loleti
1278	Araona_IDS	52	SHIVER	liati
1279	Araona_IDS	138	BATHE	nawi
1280	Araona_IDS	1090	BE BORN	haiǰa-owe
1281	Araona_IDS	1417	KILL	iše
1282	Araona_IDS	1719	BURY	papa
1283	Araona_IDS	3188	MIGHTY OR POWERFUL OR STRONG	abeise
1284	Araona_IDS	3188	MIGHTY OR POWERFUL OR STRONG	ahohi
1285	Araona_IDS	1847	SICK	neda
1286	Araona_IDS	1847	SICK	mikata
1287	Araona_IDS	1808	PUS	boho
1288	Araona_IDS	499	CURE	apoakata
1289	Araona_IDS	168	REST	hanawa
1290	Araona_IDS	1564	LAZY	a-oli
1291	Araona_IDS	1564	LAZY	ašoho
1292	Araona_IDS	320	LAME	wede wede
1293	Araona_IDS	996	DEAF	iza-tobo
1294	Araona_IDS	1336	EAT	di
1295	Araona_IDS	1336	EAT	didia
1296	Araona_IDS	256	FOOD	hana
1297	Araona_IDS	1959	RAW	sawawe
1298	Araona_IDS	178	RIPE	a-hawa-hawa
