CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE
682	SIDE	side	lado, costado	lado
683	PERSON	person	persona, ser humano	pessoa, ser humano
688	LUNG	lung	pulmón	pulmão
689	BETWEEN	between	entre	
690	BOTTOM	bottom	fondo	fundo
692	BRING	bring	traer	trazer
694	GET	get	obtener (recibir)	obter, conseguir
695	GO	go	ir	ir
696	STIR	stir	revolver	
699	SAD	sad	triste	TRISTE (ZA)
700	CARRY	carry	cargar	levar
704	CLEAN	clean	limpio	limpo
705	GO UP (ASCEND)	go up (ascend)	subir	subir
706	DARK	dark	oscuro	escuro
707	REMEMBER	remember	recordar	lembrar-se
708	SHINE	shine	brillar	brilhar
713	STEAL	steal	robar	roubar
714	SEED	seed	semilla	semente
715	SHOUT	shout	gritar	gritar
717	SWEET	sweet	dulce	doce
719	FIND	find	encontrar, hallar	achar, encontrar
723	PLACE (POSITION)	place (position)	lugar, sitio	espaço, lugar
728	FIRST	first	primero	primeiro
729	DAWN	dawn	madrugada	amanhecer
730	SNAKE	snake	serpiente	cobra
731	BEVERAGE	beverage	bebida	bebida
735	OWL	owl	lechuza	mocho, coruja
737	LIGHT (IGNITE)	light (ignite)	encender	acender, atear
738	THING	thing	cosa	coisa
739	FEED	feed	nutrir	
744	EGG	egg	huevo	ovo
749	ENTER	enter	entrar	entrar
750	DROP	drop	caer	
761	COVER	cover	cubrir	cobrir
762	OUTSIDE	outside	afuera, fuera, exterior	fora
763	SKIN	skin	piel, cutis, pellejo	pele, couro
765	MOVE	move	mover	mover
769	ROOF	roof	techo	telhado, teto
772	BELT	belt	cinturón, faja	cinto
773	HAVE	have	tener	ter
777	FLUTE	flute	flauta	flauta
778	SMOKE (EXHAUST)	smoke (exhaust)	humo	nevoeiro
781	FEAR (FRIGHT)	fear (fright)	miedo	medo, susto
785	STRONG	strong	fuerte	FORTE
797	TESTICLES	testicles	testículo	testículo
798	JAW	jaw	mandíbula	maxila
801	RIB	rib	costilla	costela
806	BLANKET	blanket	manta	cobertor
811	SOUL	soul	alma	alma, espírito
813	DO	do	hacer	fazer
816	HALF	half	mitad	metade
817	THEY	they	ellos, ellas	eles, elas
819	STOMACH	stomach	estómago	estômago, barriga
827	ROLL	roll	rodar, arrollar, enrollar	rolar
834	BUTTOCKS	buttocks	nalgas, trasero	ânus
837	BLUE	blue	azul	azul
843	SPIDER	spider	araña	aranha
855	SEIZE	seize	embargar	pegar
857	STONE	stone	piedra	pedra
860	CAUSE	cause	causar	causa
864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo	moranga
870	BREATH	breath	respiro	hálito
879	COUGH	cough	toser	tossir
882	PARROT	parrot	papagayo	papagaio
887	BITTER	bitter	amargo	amargo
897	SWALLOW	swallow	tragar	tragar, engolir
904	BERRY	berry	baya	
906	TREE	tree	árbol	árvore
907	OLD WOMAN	old woman	mujer vieja	velha
908	DRUM	drum	tambor	tambor
919	CHILI PEPPER	chili pepper	ají	malagueta
923	LOVE	love	querer	amar
925	CASSAVA	cassava	yuca	tapioca
928	EMBRACE	embrace	abrazar (abrazo)	abraçar
937	BIRD	bird	pájaro, ave	pássaro, ave
942	HONEY	honey	miel	mel
945	SPEAR	spear	lanza	lança
946	BLOOD	blood	sangre	sangue
948	WATER	water	agua	água
956	FLEE	flee	huir	escapar, fugir
960	WIND	wind	viento 	vento
962	WOMAN	woman	mujer	mulher
974	TOBACCO	tobacco	tabaco	tabaco
976	WEAR	wear	vestir	
977	ARROW	arrow	flecha	flecha
980	HEEL	heel	talón	calcanhar
981	ELBOW	elbow	codo	cotovelo
994	BOW	bow	arco	arco
996	DEAF	deaf	sordo	surdo
998	PUT	put	poner	pôr
999	JOINT	joint	articulaciones	
1005	TWINS	twins	gemelos	gêmeos
1011	BRIDGE	bridge	puente	ponte
1019	RIGHT	right	derecho	direito
1025	WHISTLE	whistle	silbar, chiflar	assoviar
1033	GRIND	grind	moler	moer
1035	GOOD	good	bueno	bom
1040	HAIR	hair	pelo	pelo
1041	INCREASE	increase	aumentar, crecer	
1043	BRAID	braid	trenzar	trança
1046	SHUT	shut	cerrar	fechar
1047	PURSUE	pursue	perseguir	perseguir
1048	CALL	call	llamar	linha
1052	LIGHT (WEIGHT)	light (weight)	liviano, ligero (que pesa poco)	leve
1063	NEPHEW	nephew	sobrino	sobrinho
1075	TRAP (PITFALL)	trap (pitfall)	trampa	cilada, armadilha
1085	FOLLOW	follow	seguir	seguir
1086	WORK (ACTIVITY)	work (activity)	trabajar	
1090	BE BORN	be born	nacer	nascer
1094	FASTEN	fasten	Amarrar	
1096	SONG	song	canción	
1100	COOK (SOMETHING)	cook (something)	cocinar	cozinhar
1107	GO OUT	go out	salir	sair
1109	WOUND	wound	herida, llaga	ferida, chaga
1127	SEND	send	enviar, mandar	enviar, mandar
1129	PAINFUL	painful	doloroso	
1142	URINE	urine	orina	urina
1149	ORPHAN	orphan	huérfano, huérfana	órfão/órfã
1150	THUNDER	thunder	trueno	trovão
1156	OPEN	open	abrir	abrir, aberto
1157	BECAUSE	because	porque	porque
1159	FART	fart	pedo	peido
1161	THREAD	thread	hilo	linha, fio
1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha
1172	SHOOT	shoot	disparar, tirar	disparar, fuzilar
1173	EYEBROW	eyebrow	ceja	sobrancelhas
1174	YESTERDAY	yesterday	ayer	ontem
1175	GHOST	ghost	fantasma, espíritu	fantasma
1182	NOISE	noise	ruido	
1183	PALM OF HAND	palm of hand	palma de la mano	palma de mão
1185	VULTURE	vulture	buitre	urubu, abutre
1188	CHARCOAL	charcoal	carbón	carvão
1195	GIVE BIRTH	give birth	dar a luz	parir
1198	MANY	many	muchos	muitos
1199	WIFE	wife	esposa, marida	esposa, mulher
1200	HUSBAND	husband	marido, esposo	marido
1201	FEATHER	feather	pluma	pluma
1202	BIG	big	grande (sg.)	ser grande
1203	LONG	long	largo	longo
1204	BARK	bark	corteza, cascara	casca da árvore
1205	TONGUE	tongue	lengua	lí­ngua
1207	YOUNG	young	jóven	jovem, novo
1208	CAT	cat	gato	gato
1209	I	i	yo, mi	eu
1210	HEAVY	heavy	pesado	pesado
1212	WE	we	nosotros/nosotras	nós
1213	YOU	you	ustedes	vós
1214	THIS	this	este	este
1215	THOU	thou	usted	vocês
1216	MOTHER	mother	madre	mãe
1217	FATHER	father	papá	pai
1218	ROPE	rope	soga, cuerda	corda, cordel
1219	WORM	worm	lombriz, gusano	vermelho
1220	TAIL	tail	cola/rabo	rabo
1221	NOSE	nose	nariz	nariz
1222	PENIS	penis	pene	órgão sexual masculino
1223	HEART	heart	corazón	coração
1224	LIVER	liver	hígado	fígado
1225	DAY (NOT NIGHT)	day (not night)	día	dia
1226	YEAR	year	año	ano
1228	EARTH (SOIL)	earth (soil)	tierra	terra (solo)
1229	OLD	old	viejo	velho
1230	DIRTY	dirty	sucio	sujo
1231	NEW	new	nuevo	novo
1232	WARM	warm	tibio, cálido	quente, cálido
1233	NIGHT	night	noche	noite
1234	SMOOTH	smooth	liso	liso, macio
1235	WHO	who	quién?	quem?
1236	WHAT	what	qué?	que?
1237	WHERE	where	dónde?	onde?
1238	WHEN	when	cuándo?	quando?
1239	HOW	how	cómo?	como?
1240	NOT	not	no	não
1241	SOME	some	alguno, pocos	alguns
1242	FEW	few	pocos	poucos
1243	WIDE	wide	ancho, amplio	largo
1244	THICK	thick	grueso	grosso
1246	SMALL	small	pequeño	pequeno
1247	EAR	ear	oreja	orelha
1248	EYE	eye	ojo	olho
1250	JAGUAR	jaguar	jaguar	onça pintada
1251	BELLY	belly	vientre, barriga	barriga
1252	HOUSE	house	casa	casa
1253	RAIN (RAINING)	rain (raining)	llover	
1256	HEAD	head	cabeza	cabeça
1257	WING	wing	ala	asa
1258	FINGERNAIL	fingernail	uña	unha
1261	SING	sing	cantar	cantar
1267	NARROW	narrow	estrecho, angosto	estreito
1268	YES	yes	sí, afirmativo	sim, afirmativo
1269	NO	no	no, negativo	não, negativo
1274	SALT	salt	sal	sal
1275	ANSWER	answer	contestar	responder
1277	HAND	hand	mano	mão
1278	VOMIT	vomit	vomitar, arrojar	vomitar
1280	FALL	fall	caer	cair
1286	HOT	hot	caliente	quente
1287	COLD	cold	frío	frio
1289	BABY	baby	bebé	lactente
1291	BACK	back	espalda	costas
1292	BAD	bad	malo	mau
1295	STICK	stick	palo	
1297	LEG	leg	pierna	perna
1301	FOOT	foot	pie	pé
1303	FINGER	finger	dedo de la mano	dedo
1304	CHILD (YOUNG HUMAN)	child (young human)	niño	criança, menino
1307	LANGUAGE	language	lengua, idioma	língua (idioma)
1309	ASK (INQUIRE)	ask (inquire)	preguntar	perguntar
1313	MOON	moon	luna	lua
1318	CHICKEN	chicken	gallina	galo, frango
1324	SLIP	slip	resbalar	escorregar, resvalar
1325	FRIEND	friend	amigo, compañero	amigo, companheiro
1326	DOWN	down	abajo	
1327	UNCLE	uncle	tío	tio
