DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM
Chipaya	1200	HUSBAND	luku
Chipaya	1554	MAN	luku
Chipaya	1336	EAT	lul-z
Chipaya	749	ENTER	luz-z
Chipaya	1216	MOTHER	maa
Chipaya	1225	DAY (NOT NIGHT)	maj
Chipaya	307	HAWK	mamani
Chipaya	1090	BE BORN	mat-z, nas-z
Chipaya	1325	FRIEND	mazi
Chipaya	3653	COOKING POT	mazka
Chipaya	717	SWEET	mazq’a
Chipaya	942	HONEY	misk’i
Chipaya	1783	PAIN	miz-ñi, tr’ul-ñi
Chipaya	1208	CAT	mizi
Chipaya	1586	SMELL (PERCEIVE)	mukh-z
Chipaya	906	TREE	munti
Chipaya	420	FOREST	munti
Chipaya	817	THEY	naa-naka nii-naka
Chipaya	1482	SHOULDER	ñiñi
Chipaya	1408	HEAR	non-z
Chipaya	996	DEAF	oñi
Chipaya	695	GO	oqh-z
Chipaya	1443	WALK	oqh-z, sar-z
Chipaya	1371	KNEE	owa
Chipaya	208	NASAL MUCUS (SNOT)	oza
Chipaya	1221	NOSE	oza
Chipaya	1793	BAT	p’aspa
Chipaya	801	RIB	paki
Chipaya	2009	DOG	paku
Chipaya	681	DESTROY	pal-qat-z
Chipaya	1280	FALL	pal-z, thots-z
Chipaya	1243	WIDE	pala, phalt’a
Chipaya	479	GROW	paqh-z
Chipaya	239	FLOWER	paqhalla
Chipaya	1644	RELATIVES	parinti
Chipaya	1309	ASK (INQUIRE)	peku-z
Chipaya	737	LIGHT (IGNITE)	peq-z
Chipaya	1224	LIVER	phajs
Chipaya	1728	ROTTEN	phajtsa
Chipaya	1667	HOLE	pheta
Chipaya	1977	DEW	phew-i
Chipaya	671	SAND	phila, tsayi
Chipaya	1292	BAD	phiru
Chipaya	632	LIZARD	phizqa
Chipaya	2	DUST	phota, pulpu
Chipaya	819	STOMACH	phuch
Chipaya	175	BLOW (OF WIND)	phuj-z
Chipaya	1791	BUTTERFLY	pillpintu
Chipaya	1402	BREAST	pizu
Chipaya	1432	CUT	pot-z
Chipaya	590	NAKED	q’ala-pacha
Chipaya	1674	POOR	q’ara, t’aqhiri
Chipaya	1424	YELLOW	q’illu
Chipaya	674	MOUTH	q’utu
Chipaya	601	LIE (MISLEAD)	q’utz-z
Chipaya	1959	RAW	qaata
Chipaya	1651	TEAR (OF EYE)	qaj
Chipaya	1161	THREAD	qaw-ñi
Chipaya	121	SPIN	qawan-z
Chipaya	1360	DUCK	qaza, huqa
Chipaya	1588	TURN	qep-z
Chipaya	581	COME BACK	qep-z, kut-ti-z
Chipaya	1275	ANSWER	qhaa-z
Chipaya	1456	THROW	qhap-z
Chipaya	1183	PALM OF HAND	qhar-qhuta
Chipaya	1257	WING	qhara
Chipaya	1673	ARM	qhara
Chipaya	1277	HAND	qhara
Chipaya	1084	CALL	qhaw-z
Chipaya	1869	BUY	qhay-z
Chipaya	1239	HOW	qhazh-ta, haq-nuzhu
Chipaya	1222	PENIS	qhizqi
Chipaya	1301	FOOT	qhocha
Chipaya	321	CHEW	qhoj-z
Chipaya	1359	SEPARATE	qhoq-z, hal-ji-z
Chipaya	1398	DRY	qhuñ-z
Chipaya	646	ASH	qhup, qhupa
Chipaya	1468	LOOK FOR	qhur-z, chhul-z
Chipaya	769	ROOF	qhuy acha
Chipaya	1252	HOUSE	qhuya
Chipaya	1606	INSIDE	qhuyl(a)-tan
Chipaya	948	WATER	qhwaz, qhaz
Chipaya	1423	FIGHT	qich-as-z
Chipaya	1100	COOK (SOMETHING)	qis-z, taq-z
Chipaya	593	POTATO	qizha
Chipaya	1856	SOFT	qooña
Chipaya	1485	BELOW OR UNDER	qosi
Chipaya	1593	DEEP	qosi
Chipaya	1218	ROPE	quch
Chipaya	1382	NEEDLE (FOR SEWING)	qula, awja
Chipaya	499	CURE	qull-z
Chipaya	1372	MEDICINE	qulla
Chipaya	1304	CHILD (YOUNG HUMAN)	qult-i, qul-ta
Chipaya	471	UPPER LEG (THIGH)	qumi
Chipaya	624	LAKE	quta
Chipaya	1286	HOT	qutñi
Chipaya	735	OWL	quzhqa
