ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
EseEjja-youngwoman-1-1,EseEjja-youngwoman-1,ešoʔipona,5977,false,expert,,( - ) ʃ o ʔ i + p o n a,false,expert
EseEjja-childyounghuman-1-1,EseEjja-childyounghuman-1,e-ɓakʷa,3319,false,expert,,ɓ a kʷ a,false,expert
EseEjja-childyounghuman-2-1,EseEjja-childyounghuman-2,e-šoʔinee,5976,false,expert,,( - ) ʃ o ʔ i + n ee,false,expert
EseEjja-baby-1-1,EseEjja-baby-1,ešoʔi,5975,false,expert,,( - ) ʃ o ʔ i,false,expert
EseEjja-husband-1-1,EseEjja-husband-1,e-yawe,4587,false,expert,,j a w e ( - ),false,expert
EseEjja-husband-2-1,EseEjja-husband-2,e-yawi,4587,false,expert,,j a w i ( - ),false,expert
EseEjja-wife-1-1,EseEjja-wife-1,e-wanase,4993,false,expert,,( - - ) w a n a + s e,false,expert
EseEjja-wife-2-1,EseEjja-wife-2,činani,1854,false,expert,,tʃ i n a n i,false,expert
EseEjja-marry-1-1,EseEjja-marry-1,xawanaki-,4992,false,expert,,( x a ) w a n a + k i,false,expert
EseEjja-father-1-1,EseEjja-father-1,kaka,3612,false,expert,,k a k a,false,expert
EseEjja-mother-1-1,EseEjja-mother-1,nae,5148,false,expert,,n a e,false,expert
EseEjja-olderbrother-1-1,EseEjja-olderbrother-1,e-ɗoe,5372,false,expert,,ɗ o e,false,expert
EseEjja-olderbrother-2-1,EseEjja-olderbrother-2,e-nono,5374,false,expert,,n o n o,false,expert
EseEjja-youngerbrother-1-1,EseEjja-youngerbrother-1,čawa,1713,false,expert,,tʃ a w a,false,expert
EseEjja-oldersister-1-1,EseEjja-oldersister-1,xoʔi,3497,false,expert,,x o ʔ i,false,expert
EseEjja-oldersister-2-1,EseEjja-oldersister-2,šewi,5337,false,expert,,ʃ e w i,false,expert
EseEjja-youngersister-1-1,EseEjja-youngersister-1,čewi,1110,false,expert,,tʃ e w i,false,expert
EseEjja-oldman-1-1,EseEjja-oldman-1,e-dexa-tii,2655,false,expert,,d e x a + t i ( i ),false,expert
EseEjja-oldwoman-1-1,EseEjja-oldwoman-1,e-pona-tii,909,false,expert,,p o n a + t i ( i ),false,expert
EseEjja-orphan-1-1,EseEjja-orphan-1,nae'ma,5149,false,expert,,n a e + m a,false,expert
EseEjja-orphan-2-1,EseEjja-orphan-2,či'ma,5425,false,expert,,tʃ i + m a,false,expert
EseEjja-orphan-3-1,EseEjja-orphan-3,e-či-mano,5425,false,expert,,tʃ i + m a n o,false,expert
EseEjja-i-1-1,EseEjja-i-1,e,3858,false,expert,,- e -,false,expert
EseEjja-thou-1-1,EseEjja-thou-1,mi,1416,false,expert,,m i,false,expert
EseEjja-we-1-1,EseEjja-we-1,ekʷana,172,false,expert,,kʷ a n a,false,expert
EseEjja-you-1-1,EseEjja-you-1,mikiana,1417,false,expert,,m i + !kj/kʷ a n a,false,expert
EseEjja-they-1-1,EseEjja-they-1,okʷana,470,false,expert,,o + kʷ a n a,false,expert
EseEjja-they-2-1,EseEjja-they-2,oyakʷana,1401,false,expert,,o j a + kʷ a n a,false,expert
EseEjja-animal-1-1,EseEjja-animal-1,ixiakaxi,4671,false,expert,,i x i a k a x i,false,expert
EseEjja-pig-1-1,EseEjja-pig-1,ɲo,5516,false,expert,,ɲ o,false,expert
EseEjja-pig-2-1,EseEjja-pig-2,wo,5517,false,expert,,w o,false,expert
EseEjja-chicken-1-1,EseEjja-chicken-1,kačina-ha-ɓakʷa,3923,false,expert,,k a tʃ i n a + h a - + ɓ a kʷ a,false,expert
EseEjja-duck-1-1,EseEjja-duck-1,xoxi,2925,false,expert,,x o x i,false,expert
EseEjja-nest-1-1,EseEjja-nest-1,xani,1447,false,expert,,x a ( n ) i,false,expert
EseEjja-bird-1-1,EseEjja-bird-1,kʷičoxi,5752,false,expert,,kʷ i tʃ o x i,false,expert
EseEjja-vulture-1-1,EseEjja-vulture-1,ɓeʔo,2188,false,expert,,ɓ e - - ʔ o -,false,expert
EseEjja-vulture-2-1,EseEjja-vulture-2,ɓaɓaʔai,749,false,expert,,ɓ a ɓ a ( ʔ a i ),false,expert
EseEjja-bat-1-1,EseEjja-bat-1,ɓiɲa,4322,false,expert,,ɓ i ɲ a,false,expert
EseEjja-parrot-1-1,EseEjja-parrot-1,ičako,5472,false,expert,,( i ) tʃ a k o,false,expert
EseEjja-owl-1-1,EseEjja-owl-1,ɓio-ɓio,4098,false,expert,,ɓ i o + ɓ i o,false,expert
EseEjja-owl-2-1,EseEjja-owl-2,pexe-pexe,4099,false,expert,,p e x e + p e x e,false,expert
EseEjja-dog-1-1,EseEjja-dog-1,iɲaewa,2887,false,expert,,( - ) i ɲ a ( - ) + - e w a,false,expert
EseEjja-cat-1-1,EseEjja-cat-1,miči,1395,false,expert,,m i - - - - tʃ i,false,expert
EseEjja-fish-1-1,EseEjja-fish-1,hai,3966,false,expert,,h a i,false,expert
EseEjja-deer-1-1,EseEjja-deer-1,ɗokʷe-i,4126,false,expert,,ɗ o kʷ e ( - - ) + i,false,expert
EseEjja-louse-1-1,EseEjja-louse-1,ɓi'aʔ,4666,false,expert,,ɓ i - a.ʔ,false,expert
EseEjja-ant-1-1,EseEjja-ant-1,šeme,5363,false,expert,,ʃ e m e,false,expert
EseEjja-spider-1-1,EseEjja-spider-1,ɓaša,194,false,expert,,ɓ a ʃ a,false,expert
EseEjja-bee-1-1,EseEjja-bee-1,wini,4509,false,expert,,w i n i,false,expert
EseEjja-bee-2-1,EseEjja-bee-2,meme,4933,false,expert,,m e m e,false,expert
EseEjja-wasp-1-1,EseEjja-wasp-1,ɓia,4666,false,expert,,ɓ i - a,false,expert
EseEjja-flyinsect-1-1,EseEjja-flyinsect-1,mee-mee,3218,false,expert,,m e e + m e e,false,expert
EseEjja-flyinsect-2-1,EseEjja-flyinsect-2,bee,4047,false,expert,,b e e,false,expert
EseEjja-mosquito-1-1,EseEjja-mosquito-1,ɗi,5131,false,expert,,ɗ i ( - ),false,expert
EseEjja-worm-1-1,EseEjja-worm-1,kono,4260,false,expert,,k o n o,false,expert
EseEjja-worm-2-1,EseEjja-worm-2,koxokʷaši,990,false,expert,,k o x o kʷ a ʃ i,false,expert
EseEjja-snake-1-1,EseEjja-snake-1,peeyo,115,false,expert,,p e e j o,false,expert
EseEjja-snake-2-1,EseEjja-snake-2,-ɓakʷa-,4275,false,expert,,ɓ a kʷ a,false,expert
EseEjja-butterfly-1-1,EseEjja-butterfly-1,xapipi,1314,false,expert,,x a p i p - i,false,expert
EseEjja-snail-1-1,EseEjja-snail-1,sixaxa,4348,false,expert,,s i x a x a,false,expert
EseEjja-snail-2-1,EseEjja-snail-2,šemo,108,false,expert,,ʃ e m o,false,expert
EseEjja-frog-1-1,EseEjja-frog-1,ena-wio,2228,false,expert,,( - ) - n a + w i o,false,expert
EseEjja-frog-2-1,EseEjja-frog-2,poxo-poxo,4147,false,expert,,p o x o + p o x o,false,expert
EseEjja-lizard-1-1,EseEjja-lizard-1,šanei,4853,false,expert,,ʃ a n e i,false,expert
EseEjja-lizard-2-1,EseEjja-lizard-2,šaexame,4359,false,expert,,ʃ a e x a m e,false,expert
EseEjja-turtle-1-1,EseEjja-turtle-1,šapoxene,682,false,expert,,ʃ a p o x e n e,false,expert
EseEjja-turtle-2-1,EseEjja-turtle-2,ɗaki-ai,1356,false,expert,,ɗ a k i + - a - i,false,expert
EseEjja-body-1-1,EseEjja-body-1,e-yami,5016,false,expert,,j a m i,false,expert
EseEjja-skin-1-1,EseEjja-skin-1,e'he,1210,false,expert,,h e ( - - ),false,expert
EseEjja-skin-2-1,EseEjja-skin-2,e-heei,1210,false,expert,,h e ( e i ),false,expert
EseEjja-hairhead-1-1,EseEjja-hairhead-1,e-woxaɲa,4436,false,expert,,w o x a + ( - ) - ɲ a,false,expert
EseEjja-hairhead-2-1,EseEjja-hairhead-2,e-iɲa,112,false,expert,,( - ) i ɲ a,false,expert
EseEjja-beard-1-1,EseEjja-beard-1,e-kʷe-kʷe,5037,false,expert,,kʷ e + kʷ e,false,expert
EseEjja-hairbody-1-1,EseEjja-hairbody-1,e-yam-iɲa,4356,false,expert,,j a m + ( - ) i ɲ a,false,expert
EseEjja-blood-1-1,EseEjja-blood-1,e'na,85,false,expert,,n a,false,expert
EseEjja-bone-1-1,EseEjja-bone-1,e'saʔ,2290,false,expert,,s a ( ʔ - ) -,false,expert
EseEjja-rib-1-1,EseEjja-rib-1,e-ɗoxo-xanixi,5723,false,expert,,ɗ o x o + x a n i x i,false,expert
EseEjja-hornanatomy-1-1,EseEjja-hornanatomy-1,ešiana,4521,false,expert,,ʃ i - a n a,false,expert
EseEjja-tail-1-1,EseEjja-tail-1,e-waʔo,422,false,expert,,- w a ʔ o,false,expert
EseEjja-back-1-1,EseEjja-back-1,e-hakaxa,3068,false,expert,,h a + k a + h a,false,expert
EseEjja-head-1-1,EseEjja-head-1,e-sapa,2291,false,expert,,s a ( - - ) - + p a,false,expert
EseEjja-head-2-1,EseEjja-head-2,e-woxa,4435,false,expert,,w o x a,false,expert
EseEjja-brain-1-1,EseEjja-brain-1,e-sapa-ɗoxo,2292,false,expert,,s a ( - - ) - + p a + ɗ o x o,false,expert
EseEjja-face-1-1,EseEjja-face-1,e-bose,4986,false,expert,,b o ( s e ),false,expert
EseEjja-face-2-1,EseEjja-face-2,e-šemo,4750,false,expert,,ʃ e m o,false,expert
EseEjja-forehead-1-1,EseEjja-forehead-1,e-ɓawa,4105,false,expert,,ɓ a w a,false,expert
EseEjja-forehead-2-1,EseEjja-forehead-2,e-pawa,4105,false,expert,,p a w a,false,expert
EseEjja-jaw-1-1,EseEjja-jaw-1,e-šemo-saʔ,4751,false,expert,,ʃ e m o + s a ( ʔ - ) -,false,expert
EseEjja-cheek-1-1,EseEjja-cheek-1,e-šemo,4750,false,expert,,ʃ e m o,false,expert
EseEjja-eye-1-1,EseEjja-eye-1,e-ko-xa,5058,false,expert,,k o x a,false,expert
EseEjja-eyebrow-1-1,EseEjja-eyebrow-1,e-ko-xa-šaɲawa,5062,false,expert,,k o x a + ʃ a ɲ a + w a,false,expert
EseEjja-eyelash-1-1,EseEjja-eyelash-1,e-ko-xa-ɲa,5059,false,expert,,k o x a + ( - ) - ɲ a,false,expert
EseEjja-eyelash-2-1,EseEjja-eyelash-2,e-ko-xa-šaɲawa,5062,false,expert,,k o x a + ʃ a ɲ a + w a,false,expert
EseEjja-ear-1-1,EseEjja-ear-1,e-ša-xa,5170,false,expert,,ʃ a x a,false,expert
EseEjja-nose-1-1,EseEjja-nose-1,e'wiʔ,4868,false,expert,,w i ʔ,false,expert
EseEjja-mouth-1-1,EseEjja-mouth-1,e-naɓa,5168,false,expert,,n a ɓ a,false,expert
EseEjja-lip-1-1,EseEjja-lip-1,e-kʷasa,5137,false,expert,,kʷ a + s a ( - - ) -,false,expert
EseEjja-tongue-1-1,EseEjja-tongue-1,e-ana,4741,false,expert,,- a n a,false,expert
