ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Borrowing,Partial_Cognacy,Alignment,Morphemes,GroupedSounds
EseEjja-dust-1,,EseEjja,dust,meši-hahi,meši-hahi,m e ʃ i + h a h i,None,Key2021,2928,,,,None,3249 3251,m e ʃ i + h a h i,dust dust,"['m', 'e', 'ʃ', 'i', '+', 'h', 'a', 'h', 'i']"
EseEjja-mud-1,,EseEjja,mud,wašapa,wašapa,w a ʃ a p a,None,Key2021,5193,,,,None,7466,w a ʃ a p a,?,"['w', 'a', 'ʃ', 'a', 'p', 'a']"
EseEjja-sand-1,,EseEjja,sand,meši-hahi,meši-hahi,m e ʃ i + h a h i,None,Key2021,2928,,,,None,3249 3251,m e ʃ i + h a h i,dust dust,"['m', 'e', 'ʃ', 'i', '+', 'h', 'a', 'h', 'i']"
EseEjja-plain-1,,EseEjja,plain,haha-haha,haha-haha,h a h a + h a h a,None,Key2021,5559,,,,None,8535 8535,h a h a + h a h a,?,"['h', 'a', 'h', 'a', '+', 'h', 'a', 'h', 'a']"
EseEjja-water-1,,EseEjja,water,ena,ena,n a,None,Key2021,2210,,,,None,25,- - - n a ( - ),water,"['n', 'a']"
EseEjja-lake-1,,EseEjja,lake,ɓai,ɓai,ɓ a i,None,Key2021,4689,,,,None,6266,ɓ a i,lake,"['ɓ', 'a', 'i']"
EseEjja-springorwell-1,,EseEjja,springorwell,xani,xani,x a n i,None,Key2021,1432,,,,None,1677,x a n i,opening,"['x', 'a', 'n', 'i']"
EseEjja-springorwell-2,,EseEjja,springorwell,čixoko,čixoko,tʃ i x o k o,None,Key2021,1992,,,,None,226,tʃ i x o k o,?,"['tʃ', 'i', 'x', 'o', 'k', 'o']"
EseEjja-springorwell-3,,EseEjja,springorwell,eteoxi,eteoxi,t eo x i,None,Key2021,251,,,,None,10823,t eo x ( i ),?,"['t', 'eo', 'x', 'i']"
EseEjja-forest-1,,EseEjja,forest,eɓio,eɓio,ɓ i o,None,Key2021,4096,,,,None,460,ɓ i o,forest,"['ɓ', 'i', 'o']"
EseEjja-tree-1,,EseEjja,tree,akʷi,akʷi,a kʷ i,None,Key2021,5088,,,,None,72,- a kʷ i,tree,"['a', 'kʷ', 'i']"
EseEjja-sky-1,,EseEjja,sky,eya,eya,j a,None,Key2021,4198,,,,None,49,j a,sky,"['j', 'a']"
EseEjja-sun-1,,EseEjja,sun,išeki,išeki,i ʃ e k i,None,Key2021,377,,,,None,11157,( i ) ʃ e k i,?,"['i', 'ʃ', 'e', 'k', 'i']"
EseEjja-sun-2,,EseEjja,sun,ešeki,ešeki,ʃ e k i,None,Key2021,377,,,,None,11157,( - ) ʃ e k i,sun,"['ʃ', 'e', 'k', 'i']"
EseEjja-moon-1,,EseEjja,moon,ɓaʔi,ɓaʔi,ɓ a ʔ i,None,Key2021,4280,,,,None,51,ɓ a ʔ i - -,sun/moon,"['ɓ', 'a', 'ʔ', 'i']"
EseEjja-star-1,,EseEjja,star,mahameta,mahameta,m a h a m e t a,None,Key2021,287,,,,None,10910,m a h a m e t a,?,"['m', 'a', 'h', 'a', 'm', 'e', 't', 'a']"
EseEjja-lightning-1,,EseEjja,lightning,poxexi,poxexi,p o x e x i,None,Key2021,4827,,,,None,6698,p o x e x i,?,"['p', 'o', 'x', 'e', 'x', 'i']"
EseEjja-thunder-1,,EseEjja,thunder,kʷehi,kʷehi,kʷ e h i,None,Key2021,567,,,,None,11717,kʷ e h i,thunder,"['kʷ', 'e', 'h', 'i']"
EseEjja-thunder-2,,EseEjja,thunder,kʷehe,kʷehe,kʷ e h e,None,Key2021,567,,,,None,11717,kʷ e h e,?,"['kʷ', 'e', 'h', 'e']"
EseEjja-rainbow-1,,EseEjja,rainbow,sihiani,sihiani,s i h i a n i,None,Key2021,2059,,,,None,234,s i h i a n i,?,"['s', 'i', 'h', 'i', 'a', 'n', 'i']"
EseEjja-lightradiation-1,,EseEjja,lightradiation,heahaʔa-,heahaʔa-,h e a h a ʔ a,None,Key2021,4808,,,,None,6646,h e a h a ʔ a,?,"['h', 'e', 'a', 'h', 'a', 'ʔ', 'a']"
EseEjja-darkness-1,,EseEjja,darkness,-apo,-apo,a p o,None,Key2021,2424,,,,None,2725,a p o,dark,"['a', 'p', 'o']"
EseEjja-shade-1,,EseEjja,shade,e-šawa,e-šawa,ʃ a w a,None,Key2021,6009,,,,None,9655,ʃ a w a ( - ),?,"['ʃ', 'a', 'w', 'a']"
EseEjja-shade-2,,EseEjja,shade,e-axaɲa,e-axaɲa,a x a ɲ a,None,Key2021,1711,,,,None,198,a x a ɲ a,?,"['a', 'x', 'a', 'ɲ', 'a']"
EseEjja-dew-1,,EseEjja,dew,mahametana,mahametana,m a h a m e t a n a,None,Key2021,2590,,,,None,2908,m a h a m e t a n a,?,"['m', 'a', 'h', 'a', 'm', 'e', 't', 'a', 'n', 'a']"
EseEjja-dew-2,,EseEjja,dew,eši'o,eši'o,ʃ i o,None,Key2021,2588,,,,None,2905,ʃ i - o,?,"['ʃ', 'i', 'o']"
EseEjja-wind-1,,EseEjja,wind,ɓeni,ɓeni,ɓ e n i,None,Key2021,948,,,,None,12833,ɓ e n i,?,"['ɓ', 'e', 'n', 'i']"
EseEjja-cloud-1,,EseEjja,cloud,ɓo,ɓo,ɓ o,None,Key2021,1163,,,,None,14,ɓ o ( - - ),cloud,"['ɓ', 'o']"
EseEjja-cloud-2,,EseEjja,cloud,-haʔa,-haʔa,h a ʔ a,None,Key2021,1929,,,,None,220,h a ʔ a,?,"['h', 'a', 'ʔ', 'a']"
EseEjja-fog-1,,EseEjja,fog,wohaɓo,wohaɓo,w o h a ɓ o,None,Key2021,4062,,,,None,4506,w o h a ɓ o,?,"['w', 'o', 'h', 'a', 'ɓ', 'o']"
EseEjja-rainprecipitation-1,,EseEjja,rainprecipitation,ena,ena,n a,None,Key2021,2210,,,,None,25,- - - n a ( - ),water,"['n', 'a']"
EseEjja-fire-1,,EseEjja,fire,kʷa-ki,kʷa-ki,kʷ a + k i,None,Key2021,2121,,,,None,240 235,kʷ a + k i,fire ash,"['kʷ', 'a', '+', 'k', 'i']"
EseEjja-smokeexhaust-1,,EseEjja,smokeexhaust,wičača,wičača,w i tʃ a tʃ a,None,Key2021,89,,,,None,10349,w i tʃ a tʃ a,smoke,"['w', 'i', 'tʃ', 'a', 'tʃ', 'a']"
EseEjja-ash-1,,EseEjja,ash,kʷaki-maxo,kʷaki-maxo,kʷ a + k i + m a x o,None,Key2021,2125,,,,None,240 235 4293,kʷ a + k i + m a x o,fire ash dust,"['kʷ', 'a', '+', 'k', 'i', '+', 'm', 'a', 'x', 'o']"
EseEjja-ash-2,,EseEjja,ash,kʷaki-powi,kʷaki-powi,kʷ a + k i + p o w i,None,Key2021,2124,,,,None,240 235 241,kʷ a + k i + p o w i,fire ash ash,"['kʷ', 'a', '+', 'k', 'i', '+', 'p', 'o', 'w', 'i']"
EseEjja-burnsomething-1,,EseEjja,burnsomething,kiyo-,kiyo-,k i j o,None,Key2021,4529,,,,None,5811,k i j o,burn,"['k', 'i', 'j', 'o']"
EseEjja-burning-1,,EseEjja,burning,hihi-,hihi-,h i h i,None,Key2021,5308,,,,None,78,h i ( h i ),burn,"['h', 'i', 'h', 'i']"
EseEjja-lightignite-1,,EseEjja,lightignite,hihi-,hihi-,h i h i,None,Key2021,5308,,,,None,78,h i ( h i ),burn,"['h', 'i', 'h', 'i']"
EseEjja-lightignite-2,,EseEjja,lightignite,košo-,košo-,k o ʃ o,None,Key2021,2883,,,,None,320,k o ʃ o,?,"['k', 'o', 'ʃ', 'o']"
EseEjja-lightignite-3,,EseEjja,lightignite,ɗeʔɗo-,ɗeʔɗo-,ɗ e ʔ ɗ o,None,Key2021,2162,,,,None,244,ɗ e ʔ ɗ o,fog?,"['ɗ', 'e', 'ʔ', 'ɗ', 'o']"
EseEjja-extinguish-1,,EseEjja,extinguish,čiyo-,čiyo-,tʃ i + j o,None,Key2021,2074,,,,None,236 266,tʃ i + j o,fire ?,"['tʃ', 'i', '+', 'j', 'o']"
EseEjja-extinguish-2,,EseEjja,extinguish,kixoyo-,kixoyo-,k i x o + j o,None,Key2021,3247,,,,None,3553 279,k i x o + j o,?,"['k', 'i', 'x', 'o', '+', 'j', 'o']"
EseEjja-extinguish-3,,EseEjja,extinguish,čiʔ-,čiʔ-,tʃ i + ʔ,None,Key2021,2074,,,,None,236 266,tʃ i + ʔ -,fire ?,"['tʃ', 'i', '+', 'ʔ']"
EseEjja-firewood-1,,EseEjja,firewood,kʷa-ki,kʷa-ki,kʷ a + k i,None,Key2021,2121,,,,None,240 235,kʷ a + k i,fire ash,"['kʷ', 'a', '+', 'k', 'i']"
EseEjja-firewood-2,,EseEjja,firewood,eši,eši,ʃ i,None,Key2021,3896,,,,None,4206,ʃ i,?,"['ʃ', 'i']"
EseEjja-charcoal-1,,EseEjja,charcoal,kʷaki-powi,kʷaki-powi,kʷ a + k i + p o w i,None,Key2021,2124,,,,None,240 235 241,kʷ a + k i + p o w i,fire ash ash,"['kʷ', 'a', '+', 'k', 'i', '+', 'p', 'o', 'w', 'i']"
EseEjja-charcoal-2,,EseEjja,charcoal,koxašae,koxašae,k o x a + ʃ a e,None,Key2021,1538,,,,None,1789 282,k o x a + ʃ a e,?,"['k', 'o', 'x', 'a', '+', 'ʃ', 'a', 'e']"
EseEjja-person-1,,EseEjja,person,-dexa,-dexa,d e x a,None,Key2021,2628,,,,None,296,d e x a,person,"['d', 'e', 'x', 'a']"
EseEjja-person-2,,EseEjja,person,-pona,-pona,p o n a,None,Key2021,895,,,,None,127,p o n a,woman,"['p', 'o', 'n', 'a']"
EseEjja-man-1,,EseEjja,man,e-ɗexa,e-ɗexa,ɗ e x a,None,Key2021,2628,,,,None,296,ɗ e x a,person,"['ɗ', 'e', 'x', 'a']"
EseEjja-woman-1,,EseEjja,woman,e-pona,e-pona,p o n a,None,Key2021,895,,,,None,127,p o n a,woman,"['p', 'o', 'n', 'a']"
EseEjja-boy-1,,EseEjja,boy,e-šoʔi-dexa,e-šoʔi-dexa,ʃ o ʔ i + d e x a,None,Key2021,5987,,,,None,96 296,( - ) ʃ o ʔ i + d e x a,young person,"['ʃ', 'o', 'ʔ', 'i', '+', 'd', 'e', 'x', 'a']"
EseEjja-youngman-1,,EseEjja,youngman,ešoʔi,ešoʔi,ʃ o ʔ i,None,Key2021,5984,,,,None,96,( - ) ʃ o ʔ i,young,"['ʃ', 'o', 'ʔ', 'i']"
EseEjja-youngman-2,,EseEjja,youngman,ošoʔi-yawe,ošoʔi-yawe,o ʃ o ʔ i + j a w e,None,Key2021,5984,,,,None,96 5940,( o ) ʃ o ʔ i + j a w e -,marry,"['o', 'ʃ', 'o', 'ʔ', 'i', '+', 'j', 'a', 'w', 'e']"
EseEjja-girl-1,,EseEjja,girl,e-šoʔi-pona,e-šoʔi-pona,ʃ o ʔ i + p o n a,None,Key2021,5986,,,,None,96 127,( - ) ʃ o ʔ i + p o n a,young woman,"['ʃ', 'o', 'ʔ', 'i', '+', 'p', 'o', 'n', 'a']"
EseEjja-youngwoman-1,,EseEjja,youngwoman,ešoʔipona,ešoʔipona,ʃ o ʔ i + p o n a,None,Key2021,5986,,,,None,96 127,( - ) ʃ o ʔ i + p o n a,young woman,"['ʃ', 'o', 'ʔ', 'i', '+', 'p', 'o', 'n', 'a']"
EseEjja-childyounghuman-1,,EseEjja,childyounghuman,e-ɓakʷa,e-ɓakʷa,ɓ a kʷ a,None,Key2021,3297,,,,None,360,ɓ a kʷ a,child,"['ɓ', 'a', 'kʷ', 'a']"
EseEjja-childyounghuman-2,,EseEjja,childyounghuman,e-šoʔinee,e-šoʔinee,ʃ o ʔ i + n ee,None,Key2021,5985,,,,None,96 126,( - ) ʃ o ʔ i + n ee,young ?,"['ʃ', 'o', 'ʔ', 'i', '+', 'n', 'ee']"
EseEjja-baby-1,,EseEjja,baby,ešoʔi,ešoʔi,ʃ o ʔ i,None,Key2021,5984,,,,None,96,( - ) ʃ o ʔ i,young,"['ʃ', 'o', 'ʔ', 'i']"
EseEjja-husband-1,,EseEjja,husband,e-yawe,e-yawe,j a w e,None,Key2021,4584,,,,None,5940,j a w e -,marry,"['j', 'a', 'w', 'e']"
EseEjja-wife-1,,EseEjja,wife,e-wanase,e-wanase,w a n a + s e,None,Key2021,4991,,,,None,7052 1596,( - - ) w a n a + s e,marry ?,"['w', 'a', 'n', 'a', '+', 's', 'e']"
EseEjja-wife-2,,EseEjja,wife,činani,činani,tʃ i n a n i,None,Key2021,1837,,,,None,2106,tʃ i n a n i,?,"['tʃ', 'i', 'n', 'a', 'n', 'i']"
EseEjja-marry-1,,EseEjja,marry,xawanaki-,xawanaki-,x a w a n a + k i,None,Key2021,4990,,,,None,7052 1425,x a w a n a + k i,marry go,"['x', 'a', 'w', 'a', 'n', 'a', '+', 'k', 'i']"
EseEjja-father-1,,EseEjja,father,kaka,kaka,k a k a,None,Key2021,3588,,,,None,3877,k a k a,?,"['k', 'a', 'k', 'a']"
EseEjja-mother-1,,EseEjja,mother,nae,nae,n a e,None,Key2021,5153,,,,None,7349,n a e,mother,"['n', 'a', 'e']"
EseEjja-olderbrother-1,,EseEjja,olderbrother,e-ɗoe,e-ɗoe,ɗ o e,None,Key2021,5383,,,,None,8009,ɗ o e,?,"['ɗ', 'o', 'e']"
EseEjja-olderbrother-2,,EseEjja,olderbrother,e-nono,e-nono,n o n o,None,Key2021,5385,,,,None,8010,n o n o,older_brother,"['n', 'o', 'n', 'o']"
EseEjja-youngerbrother-1,,EseEjja,youngerbrother,čawa,čawa,tʃ a w a,None,Key2021,1698,,,,None,1956,tʃ a w a,child,"['tʃ', 'a', 'w', 'a']"
EseEjja-oldersister-1,,EseEjja,oldersister,xoʔi,xoʔi,x o ʔ i,None,Key2021,3474,,,,None,377,x o ʔ i,?,"['x', 'o', 'ʔ', 'i']"
EseEjja-oldersister-2,,EseEjja,oldersister,šewi,šewi,ʃ e + w i,None,Key2021,5348,,,,None,7918 4274,ʃ e - - + w i ),old,"['ʃ', 'e', '+', 'w', 'i']"
EseEjja-youngersister-1,,EseEjja,youngersister,čewi,čewi,tʃ e w i,None,Key2021,1098,,,,None,13312,tʃ e w i,?,"['tʃ', 'e', 'w', 'i']"
EseEjja-oldman-1,,EseEjja,oldman,e-dexa-tii,e-dexa-tii,d e x a + t i i,None,Key2021,2633,,,,None,296 7921,d e x a + t i ( i ),person old,"['d', 'e', 'x', 'a', '+', 't', 'i', 'i']"
EseEjja-oldwoman-1,,EseEjja,oldwoman,e-pona-tii,e-pona-tii,p o n a + t i i,None,Key2021,898,,,,None,127 7921,p o n a + t i i,woman old,"['p', 'o', 'n', 'a', '+', 't', 'i', 'i']"
EseEjja-orphan-1,,EseEjja,orphan,nae'ma,nae'ma,n a e + m a,None,Key2021,5154,,,,None,7349 404,n a e + m a,mother neg,"['n', 'a', 'e', '+', 'm', 'a']"
EseEjja-orphan-2,,EseEjja,orphan,či'ma,či'ma,tʃ i + m a,None,Key2021,5436,,,,None,8146 404,tʃ i + m a - -,neg,"['tʃ', 'i', '+', 'm', 'a']"
EseEjja-orphan-3,,EseEjja,orphan,e-či-mano,e-či-mano,tʃ i + m a n o,None,Key2021,5436,,,,None,8146 6345,tʃ i + m a n o,die,"['tʃ', 'i', '+', 'm', 'a', 'n', 'o']"
EseEjja-i-1,,EseEjja,i,e,e,e,None,Key2021,3834,,,,None,413,- e -,1sg,['e']
EseEjja-thou-1,,EseEjja,thou,mi,mi,m i,None,Key2021,512,,,,None,11571,m i,2sg,"['m', 'i']"
EseEjja-we-1,,EseEjja,we,ekʷana,ekʷana,kʷ a n a,None,Key2021,170,,,,None,10628,kʷ a n a,pl,"['kʷ', 'a', 'n', 'a']"
EseEjja-you-1,,EseEjja,you,mikiana,mikiana,m i + !kj/kʷ a n a,None,Key2021,513,,,,None,11571 10628,m i + !kj/kʷ a n a,2sg pl,"['m', 'i', '+', '!kj/kʷ', 'a', 'n', 'a']"
EseEjja-they-1,,EseEjja,they,okʷana,okʷana,o + kʷ a n a,None,Key2021,468,,,,None,11429 10628,o + kʷ a n a,3sg pl,"['o', '+', 'kʷ', 'a', 'n', 'a']"
EseEjja-they-2,,EseEjja,they,oyakʷana,oyakʷana,o j a + kʷ a n a,None,Key2021,1388,,,,None,1622 10628,o j a + kʷ a n a,pl,"['o', 'j', 'a', '+', 'kʷ', 'a', 'n', 'a']"
EseEjja-animal-1,,EseEjja,animal,ixiakaxi,ixiakaxi,i x i a k a x i,None,Key2021,4668,,,,None,62,i x i a k a x i,?,"['i', 'x', 'i', 'a', 'k', 'a', 'x', 'i']"
EseEjja-pig-1,,EseEjja,pig,ɲo,ɲo,ɲ o,None,Key2021,5527,,,,None,8433,ɲ o,?,"['ɲ', 'o']"
EseEjja-pig-2,,EseEjja,pig,wo,wo,w o,None,Key2021,5528,,,,None,8434,w o,?,"['w', 'o']"
EseEjja-chicken-1,,EseEjja,chicken,kačina-ha-ɓakʷa,kačina-ha-ɓakʷa,k a tʃ i n a + h a + ɓ a kʷ a,None,Key2021,3899,,,,None,421 1897 434,k a tʃ i n a + h a - + ɓ a kʷ a,?,"['k', 'a', 'tʃ', 'i', 'n', 'a', '+', 'h', 'a', '+', 'ɓ', 'a', 'kʷ', 'a']"
EseEjja-duck-1,,EseEjja,duck,xoxi,xoxi,x o x i,None,Key2021,2903,,,,None,3220,x o x i,?,"['x', 'o', 'x', 'i']"
EseEjja-nest-1,,EseEjja,nest,xani,xani,x a n i,None,Key2021,1432,,,,None,1677,x a n i,opening,"['x', 'a', 'n', 'i']"
EseEjja-bird-1,,EseEjja,bird,kʷičoxi,kʷičoxi,kʷ i tʃ o x i,None,Key2021,5763,,,,None,910,kʷ i tʃ o x i,?,"['kʷ', 'i', 'tʃ', 'o', 'x', 'i']"
EseEjja-vulture-1,,EseEjja,vulture,ɓeʔo,ɓeʔo,ɓ e ʔ o,None,Key2021,2172,,,,None,2453,ɓ e - - - ʔ o -,?,"['ɓ', 'e', 'ʔ', 'o']"
EseEjja-vulture-2,,EseEjja,vulture,ɓaɓaʔai,ɓaɓaʔai,ɓ a ɓ a ʔ a i,None,Key2021,738,,,,None,12278,ɓ a - ɓ a ʔ a i,?,"['ɓ', 'a', 'ɓ', 'a', 'ʔ', 'a', 'i']"
EseEjja-bat-1,,EseEjja,bat,ɓiɲa,ɓiɲa,ɓ i ɲ a,None,Key2021,4320,,,,None,517,ɓ i ɲ a,?,"['ɓ', 'i', 'ɲ', 'a']"
EseEjja-parrot-1,,EseEjja,parrot,ičako,ičako,i tʃ a k o,None,Key2021,5483,,,,None,8281,( i ) tʃ a - k - o,?,"['i', 'tʃ', 'a', 'k', 'o']"
EseEjja-owl-1,,EseEjja,owl,ɓio-ɓio,ɓio-ɓio,ɓ i o + ɓ i o,None,Key2021,4097,,,,None,460 460,ɓ i o + ɓ i o,forest forest,"['ɓ', 'i', 'o', '+', 'ɓ', 'i', 'o']"
EseEjja-owl-2,,EseEjja,owl,pexe-pexe,pexe-pexe,p e x e + p e x e,None,Key2021,4098,,,,None,462 462,p e x e + p e x e,?,"['p', 'e', 'x', 'e', '+', 'p', 'e', 'x', 'e']"
EseEjja-dog-1,,EseEjja,dog,iɲaewa,iɲaewa,i ɲ a + e w a,None,Key2021,2865,,,,None,3185 3028,i ɲ a + e w a,dog ?,"['i', 'ɲ', 'a', '+', 'e', 'w', 'a']"
EseEjja-cat-1,,EseEjja,cat,miči,miči,m i tʃ i,None,Key2021,1382,,,,Quechua,1617,m i tʃ i,Q_cat,"['m', 'i', 'tʃ', 'i']"
EseEjja-fish-1,,EseEjja,fish,hai,hai,h a i,None,Key2021,3945,,,,None,4255,h a i,?,"['h', 'a', 'i']"
EseEjja-deer-1,,EseEjja,deer,ɗokʷe-i,ɗokʷe-i,ɗ o kʷ e + i,None,Key2021,4125,,,,None,472 192,ɗ o kʷ e + i,?,"['ɗ', 'o', 'kʷ', 'e', '+', 'i']"
EseEjja-louse-1,,EseEjja,louse,ɓi'aʔ,ɓi'aʔ,ɓ i !aʔ/a,None,Key2021,4663,,,,None,617,ɓ i - !aʔ/a,insect,"['ɓ', 'i', '!aʔ/a']"
EseEjja-ant-1,,EseEjja,ant,šeme,šeme,ʃ e m e,None,Key2021,5374,,,,None,80,ʃ e m e,?,"['ʃ', 'e', 'm', 'e']"
EseEjja-spider-1,,EseEjja,spider,ɓaša,ɓaša,ɓ a ʃ a,None,Key2021,192,,,,None,10664,ɓ a ʃ a,?,"['ɓ', 'a', 'ʃ', 'a']"
EseEjja-bee-1,,EseEjja,bee,wini,wini,w i n i,None,Key2021,4508,,,,None,5746,w i n i,bee,"['w', 'i', 'n', 'i']"
EseEjja-bee-2,,EseEjja,bee,meme,meme,m e m e,None,Key2021,4930,,,,None,687,m e m e,?,"['m', 'e', 'm', 'e']"
EseEjja-wasp-1,,EseEjja,wasp,ɓia,ɓia,ɓ i a,None,Key2021,4663,,,,None,617,ɓ i - a,insect,"['ɓ', 'i', 'a']"
EseEjja-flyinsect-1,,EseEjja,flyinsect,mee-mee,mee-mee,m e e + m e e,None,Key2021,3196,,,,None,353 353,m e e + m e e,?,"['m', 'e', 'e', '+', 'm', 'e', 'e']"
EseEjja-flyinsect-2,,EseEjja,flyinsect,bee,bee,b e e,None,Key2021,4046,,,,None,4454,b e e,?,"['b', 'e', 'e']"
EseEjja-mosquito-1,,EseEjja,mosquito,ɗi,ɗi,ɗ i,None,Key2021,5136,,,,None,7323,ɗ i ( - ),?,"['ɗ', 'i']"
EseEjja-worm-1,,EseEjja,worm,kono,kono,k o n o,None,Key2021,4258,,,,None,501,k o n o,?,"['k', 'o', 'n', 'o']"
EseEjja-worm-2,,EseEjja,worm,koxokʷaši,koxokʷaši,k o x o kʷ a ʃ i,None,Key2021,979,,,,None,12946,k o x o kʷ a ʃ i,?,"['k', 'o', 'x', 'o', 'kʷ', 'a', 'ʃ', 'i']"
EseEjja-snake-1,,EseEjja,snake,peeyo,peeyo,p e e j o,None,Key2021,114,,,,None,10443,p e e j o,?,"['p', 'e', 'e', 'j', 'o']"
EseEjja-snake-2,,EseEjja,snake,-ɓakʷa-,-ɓakʷa-,ɓ a kʷ a,None,Key2021,4273,,,,None,506,ɓ a kʷ a,?,"['ɓ', 'a', 'kʷ', 'a']"
EseEjja-butterfly-1,,EseEjja,butterfly,xapipi,xapipi,x a p i p i,None,Key2021,1302,,,,None,1532,x a p i p - i,?,"['x', 'a', 'p', 'i', 'p', 'i']"
EseEjja-snail-1,,EseEjja,snail,sixaxa,sixaxa,s i x a x a,None,Key2021,4346,,,,None,524,s i x a x a,?,"['s', 'i', 'x', 'a', 'x', 'a']"
EseEjja-snail-2,,EseEjja,snail,šemo,šemo,ʃ e m o,None,Key2021,107,,,,None,10416,ʃ e m o,?,"['ʃ', 'e', 'm', 'o']"
EseEjja-frog-1,,EseEjja,frog,ena-wio,ena-wio,n a + w i o,None,Key2021,2211,,,,None,25 528,- - - n a ( - ) + w i o,water ?,"['n', 'a', '+', 'w', 'i', 'o']"
EseEjja-frog-2,,EseEjja,frog,poxo-poxo,poxo-poxo,p o x o + p o x o,None,Key2021,4146,,,,None,4771 4771,p o x o + p o x o,?,"['p', 'o', 'x', 'o', '+', 'p', 'o', 'x', 'o']"
EseEjja-lizard-1,,EseEjja,lizard,šanei,šanei,ʃ a n e i,None,Key2021,4850,,,,None,6772,ʃ a n e i,?,"['ʃ', 'a', 'n', 'e', 'i']"
EseEjja-lizard-2,,EseEjja,lizard,šaexame,šaexame,ʃ a e x a m e,None,Key2021,4357,,,,None,530,ʃ a e x a m e,?,"['ʃ', 'a', 'e', 'x', 'a', 'm', 'e']"
EseEjja-turtle-1,,EseEjja,turtle,šapoxene,šapoxene,ʃ a p o x e n e,None,Key2021,672,,,,None,12073,ʃ a p o x e n e,?,"['ʃ', 'a', 'p', 'o', 'x', 'e', 'n', 'e']"
EseEjja-turtle-2,,EseEjja,turtle,ɗaki-ai,ɗaki-ai,ɗ a k i + a i,None,Key2021,1343,,,,None,1579 12069,ɗ a k i + - a - i,clothes ?,"['ɗ', 'a', 'k', 'i', '+', 'a', 'i']"
EseEjja-body-1,,EseEjja,body,e-yami,e-yami,j a m i,None,Key2021,5021,,,,None,7088,j a m i,meat,"['j', 'a', 'm', 'i']"
EseEjja-skin-1,,EseEjja,skin,e'he,e'he,h e,None,Key2021,1198,,,,None,143,h e - ( - ),skin,"['h', 'e']"
EseEjja-skin-2,,EseEjja,skin,e-heei,e-heei,h e e i,None,Key2021,1198,,,,None,143,h e e ( i ),?,"['h', 'e', 'e', 'i']"
EseEjja-hairhead-1,,EseEjja,hairhead,e-woxaɲa,e-woxaɲa,w o x a + ɲ a,None,Key2021,4434,,,,None,556 1044,w o x a + ( - ) - ɲ a,head hair,"['w', 'o', 'x', 'a', '+', 'ɲ', 'a']"
EseEjja-hairhead-2,,EseEjja,hairhead,e-iɲa,e-iɲa,i ɲ a,None,Key2021,111,,,,None,1044,( - ) i ɲ a,hair,"['i', 'ɲ', 'a']"
EseEjja-beard-1,,EseEjja,beard,e-kʷe-kʷe,e-kʷe-kʷe,kʷ e + kʷ e,None,Key2021,5042,,,,None,710 710,kʷ e + kʷ e,mouth_prefix head?,"['kʷ', 'e', '+', 'kʷ', 'e']"
EseEjja-hairbody-1,,EseEjja,hairbody,e-yam-iɲa,e-yam-iɲa,j a m + i ɲ a,None,Key2021,4354,,,,None,5289 1044,j a m + ( - ) i ɲ a,hair hair,"['j', 'a', 'm', '+', 'i', 'ɲ', 'a']"
EseEjja-blood-1,,EseEjja,blood,e'na,e'na,n a,None,Key2021,84,,,,None,1033,n a,blood,"['n', 'a']"
EseEjja-bone-1,,EseEjja,bone,e'saʔ,e'saʔ,s !aʔ/a,None,Key2021,536,,,,None,1163,s !aʔ/a ( - - ) -,bone,"['s', '!aʔ/a']"
EseEjja-rib-1,,EseEjja,rib,e-ɗoxo-xanixi,e-ɗoxo-xanixi,ɗ o x o + x a n i x i,None,Key2021,5734,,,,None,9013 9014,ɗ o x o + x a n i x i,?,"['ɗ', 'o', 'x', 'o', '+', 'x', 'a', 'n', 'i', 'x', 'i']"
EseEjja-hornanatomy-1,,EseEjja,hornanatomy,ešiana,ešiana,ʃ i a n a,None,Key2021,4518,,,,None,5781,( ʃ i ) - a n a,?,"['ʃ', 'i', 'a', 'n', 'a']"
EseEjja-tail-1,,EseEjja,tail,e-waʔo,e-waʔo,w a ʔ o,None,Key2021,420,,,,None,11280,( - ) w a ( ʔ o ),?,"['w', 'a', 'ʔ', 'o']"
EseEjja-back-1,,EseEjja,back,e-hakaxa,e-hakaxa,h a + k a + x a,None,Key2021,3046,,,,None,3369 1255 3369,h a + ) k a ( + x a,_:bp-round/small _:verbal small_round_obj,"['h', 'a', '+', 'k', 'a', '+', 'x', 'a']"
EseEjja-head-1,,EseEjja,head,e-sapa,e-sapa,s a + p a,None,Key2021,538,,,,None,1163 193,s a ( - - ) - + p a,bone head,"['s', 'a', '+', 'p', 'a']"
EseEjja-head-2,,EseEjja,head,e-woxa,e-woxa,w o x a,None,Key2021,4433,,,,None,556,w o x a,head,"['w', 'o', 'x', 'a']"
EseEjja-brain-1,,EseEjja,brain,e-sapa-ɗoxo,e-sapa-ɗoxo,s a + p a + ɗ o x o,None,Key2021,539,,,,None,1163 193 826,s a ( - - ) - + p a + ɗ o x o,bone head ?,"['s', 'a', '+', 'p', 'a', '+', 'ɗ', 'o', 'x', 'o']"
EseEjja-face-1,,EseEjja,face,e-bose,e-bose,b o s e,None,Key2021,4984,,,,None,704,b o ( s e ),head/face,"['b', 'o', 's', 'e']"
