DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Chacobo	124	THORN	thorn	espina	espinho	moxa
Chacobo	78	THAT	that	eso, ese, aquel	esse	naa, toa
Chacobo	1214	THIS	this	este	este	naa, toa
Chacobo	505	PARENTS	parents	padres	pais	nabo
Chacobo	2374	DREAM	dream	sueño	SONHO / SONHAR	namahai cato
Chacobo	690	BOTTOM	bottom	fondo	fundo	napata
Chacobo	2159	GROUND	ground	piso		napata
Chacobo	689	BETWEEN	between	entre		naxërëquë
Chacobo	136	HERE	here	aquí, acá	aqui	nëa
Chacobo	1094	FASTEN	fasten	amarrar		nëxahaina
Chacobo	2019	HAMMOCK	hammock	hamaca, chinchorro	rede	nishi
Chacobo	1674	POOR	poor	pobre	pobre	noiti
Chacobo	3020	BREAK (BREAKING)	break (breaking)	romperse, quebrarse	quebrar(-se) / romper(-se)	noshihaina
Chacobo	2117	DESIRE	desire	desear		ó quëëhaina
Chacobo	3913	COUGH (ACT OF COUGHING)	cough (act of coughing)	toser		ocohaina
Chacobo	1253	RAIN (RAINING)	rain (raining)	llover		oi iquina
Chacobo	1342	SUMMER	summer	verano	verão	oi tiya
Chacobo	739	FEED	feed	alimentar, dar de comer		orihuahaina
Chacobo	3472	DANCE (MOVEMENT)	dance (movement)	baile, danza		pabëhai cato
Chacobo	2409	BROWN	brown	moreno		pachë
Chacobo	1182	NOISE	noise	ruido		pacotsa
Chacobo	1129	PAINFUL	painful	doloroso		pahë
Chacobo	2561	HURT (SENSE PAIN)	hurt (sense pain)	doler		pahënahaina
Chacobo	750	DROP	drop	caer		paquëhaina
Chacobo	463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar		paquëhaina
Chacobo	3861	FAIL	fail	fallar, fracasar		paquëhaina, yoinahaina
Chacobo	1533	BE HUNGRY	be hungry	tener hambre, hambriento	TER FOME	paxnahaina
Chacobo	1836	VAGINA	vagina	vagina	vagina	piaxë, tsacaxë
Chacobo	1334	GUTS	guts	intestinos, tripas	vísceras	poco
Chacobo	675	FAECES (EXCREMENT)	faeces (excrement)	heces	fezes	pohi
Chacobo	681	DESTROY	destroy	destruir	destruir	potas-haina
Chacobo	3463	RIVERBANK	riverbank	orilla, ribera		quëbichi
Chacobo	1275	ANSWER	answer	contestar, responder	responder	quëbihaina
Chacobo	231	SHAVE	shave	afeitarse	nadadeira	quëni acaina
Chacobo	251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	quënohaina
Chacobo	1096	SONG	song	canción		quëquëti
Chacobo	1005	TWINS	twins	gemelos, mellizos	gêmeos	rabë cohai ca baquë
Chacobo	492	THREE	three	tres	três	rabë-huësti
Chacobo	1500	FOUR	four	cuatro	quatro	rabë-rabë
Chacobo	493	FIVE	five	cinco	cinco	rabë-rabë-huësti
Chacobo	1411	LIE (REST)	lie (rest)	acostarse	DEITAR (-SE)	racahaina
Chacobo	1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo	raquëhaina
Chacobo	2006	FILL	fill	llenar		rëahaina
Chacobo	1883	IN FRONT OF	in front of	delante	frente	rëquë
Chacobo	999	JOINT	joint	articulaciones		rëxquëti
Chacobo	1827	HARVEST CROPS	harvest crops	cosechar		risahaina
Chacobo	8	CURSE	curse	maldecir	amaldiçoar	roahaina
Chacobo	1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar	romëhacaina
Chacobo	388	FISHNET	fishnet	red, atarraya	rede de pesca	sani biti nishi
Chacobo	2638	FISHING	fishing	pescar	pescar	sani tanahaina
Chacobo	2492	BOIL (SOMETHING)	boil (something)	hervir, cocer		shërëhaina
Chacobo	2271	THINK	think	pensar	pensar	shinahaina
Chacobo	179	RIPEN	ripen	madurar		shinihaina
Chacobo	2113	OLD (USED)	old (used)	usado, viejo (de cosas)		siri, yosi
Chacobo	2112	OLD (AGED)	old (aged)	viejo		siri, yosi
Chacobo	2468	BAG	bag	bolsa		sota
Chacobo	2790	HIGH OR TALL	high or tall	alto		tëtëca
Chacobo	2411	HURT (SOMEBODY)	hurt (somebody)	herir		tsacahaina
Chacobo	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	tsahohaina
Chacobo	2297	DUSK	dusk	anochecer, atardecer		tsëmohaina
Chacobo	2341	CLOUDY	cloudy	nublado		tsëmonaha ca
Chacobo	378	PINCH	pinch	pellizcar	beliscar	tsomihaina
Chacobo	1407	BREATHE	breathe	respirar	respirar	xacahaina
Chacobo	928	EMBRACE	embrace	abrazar (abrazo)	abraçar	xëcohaina
Chacobo	1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	cheirar	xëjëhacaina
Chacobo	1491	MOUSE	mouse	ratón	camundongo	xoya
Chacobo	1490	RAT	rat	rata	RATO	xoyahua
Chacobo	1340	WITH	with	con		ya
Chacobo	3609	TOWN OR VILLAGE	town or village	pueblo, ciudad	cidade pequena ou vila	yacata, maxo
Chacobo	1240	NOT	not	no	não	yama, ma
Chacobo	1711	TELL	tell	contar, narrar	dizer	yoahaina
Chacobo	3923	FEMALE ANIMAL	female animal	hembra		yohina ahuini
Chacobo	1086	WORK (ACTIVITY)	work (activity)	trabajar		yonocohaina
Chacobo	360	FAN (ACTION)	fan (action)	abanicar, aventar	ventilar, abanar	jiihacaina
Chacobo	1434	STAB	stab	achurar, acuchillar		
Chacobo	1906	SOUR	sour	ácido, agrio	ácido, azedo	
Chacobo	46	HOLLOW OUT	hollow out	ahuecar	esburacar, cavar	
Chacobo	1937	THERE	there	allí	lá	
Chacobo	1860	BEAD	bead	chaquira, perla	contas, miçanga	
Chacobo	269	COOKED	cooked	cocido, cocinado	cozinhado, cozido	
Chacobo	2866	DROP (SOMETHING)	drop (something)	dejar caer	deixar cair	
Chacobo	2223	BE ANGRY	be angry	enojado		
Chacobo	2003	FLOW	flow	fluir, correr	fluir	
Chacobo	21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	
Chacobo	2390	PECCARY	peccary	pecarí		
Chacobo	1660	LOSE	lose	perder		
Chacobo	544	SPICY	spicy	picante		
Chacobo	3080	SPLIT OPEN	split open	rajar		
Chacobo	870	BREATH	breath	respiro	hálito	
Chacobo	379	BLUNT	blunt	romo, embotado	embotado, rombudo	
Chacobo	377	LOUD	loud	ruidoso	ruidoso, barulhento	
Chacobo	155	CHOP	chop	tajar, cortar		
Chacobo	1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar	
Chacobo	1075	TRAP (PITFALL)	trap (pitfall)	trampa	cilada, armadilha	
Chacobo	1837	VULVA	vulva	vulva	órgão sexual feminino	
Chacobo	864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo	moranga	
