DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM
Cavinena	2827	MENSTRUATE	menstruate	menstruar		
Cavinena	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	muco	
Cavinena	143	HUMID	humid	mojado		
Cavinena	2069	SOAK (VERB)	soak (verb)	mojar		nacataya
Cavinena	2324	GET WET	get wet	mojarse		
Cavinena	639	MOUNTAIN	mountain	montaña, cerro	serra	emata
Cavinena	2409	BROWN	brown	moreno		sehuesehue
Cavinena	1494	DIE	die	morir	morrer	majoya
Cavinena	3452	MUCH	much	mucho		omada, jetiama
Cavinena	1625	DEAD	dead	muerto	morto	emajo
Cavinena	1240	NOT	not	no	não	aijama
Cavinena	2341	CLOUDY	cloudy	nublado		apoapo
Cavinena	694	GET	get	obtener, recibir	obter, conseguir	inatsaya
Cavinena	3749	HATE (LOATHING)	hate (loathing)	odiar		ojebaya
Cavinena	1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	cheirar	jiroya
Cavinena	2124	SMELL	smell	olor	cheirar	huanida
Cavinena	3463	RIVERBANK	riverbank	orilla, ribera		jiroro
Cavinena	1142	URINE	urine	orina	urina	
Cavinena	505	PARENTS	parents	padres	pais	
Cavinena	593	POTATO	potato	papa	batata	
Cavinena	2390	PECCARY	peccary	pecarí		
Cavinena	2070	COMB (VERB)	comb (verb)	peinar		
Cavinena	580	FUR	fur	pellejo	pelo	
Cavinena	2614	SKIN (ANIMAL)	skin (animal)	pellejo, piel		
Cavinena	2271	THINK	think	pensar	pensar	inimetopoya
Cavinena	1660	LOSE	lose	perder		apotaya
Cavinena	423	GET LOST	get lost	perderse	PERDER-SE	
Cavinena	1047	PURSUE	pursue	perseguir	perseguir	topojodya
Cavinena	2638	FISHING	fishing	pescar	pescar	motyaya
Cavinena	544	SPICY	spicy	picante		jijidaque
Cavinena	857	STONE	stone	piedra	pedra	tomo
Cavinena	2613	SKIN (HUMAN)	skin (human)	piel		ebiti
Cavinena	2159	GROUND	ground	piso		yahua
Cavinena	1674	POOR	poor	pobre	pobre	nerecada
Cavinena	2907	ROT	rot	pudrirse		
